,p1_sum_spe_last,p2_sum_spe_last
102,377.5,475.5
103,240.0,285.0
104,135.0,488.0
105,252.5,211.25
106,160.0,323.0
107,40.0,278.75
108,361.25,285.5
109,248.75,485.5
110,235.0,352.5
111,233.75,401.25
112,187.5,231.75
113,317.5,332.5
114,273.75,326.75
115,177.5,371.75
116,332.5,500.5
117,400.0,246.75
118,218.75,489.25
119,137.5,400.0
120,162.5,535.0
121,130.0,312.5
122,155.0,278.0
123,250.0,315.0
124,230.0,399.25
125,290.0,308.0
126,97.5,216.75
127,270.0,254.25
128,81.25,332.5
129,300.0,254.25
130,245.0,338.75
131,240.0,290.0
132,160.0,404.25
133,110.0,193.5
134,295.0,353.75
135,177.5,264.25
136,375.0,395.0
137,130.0,463.0
138,335.0,368.75
139,200.0,373.5
140,250.0,305.5
141,187.5,332.5
142,137.5,406.75
143,310.0,388.75
144,320.0,383.75
145,131.25,429.25
146,136.25,300.0
147,120.0,213.75
148,153.75,305.5
149,278.75,570.0
150,285.0,407.5
151,177.5,308.75
152,315.0,271.25
153,135.0,242.5
154,132.5,400.0
155,290.0,312.5
156,312.5,505.5
157,205.0,313.75
158,232.5,261.25
159,165.0,265.5
160,370.0,440.5
161,98.75,525.0
162,228.75,373.75
163,80.0,300.0
164,173.75,193.75
165,332.5,301.75
166,297.5,268.75
167,170.0,213.0
168,248.75,405.0
169,85.0,452.5
170,55.0,155.0
171,122.5,285.0
172,246.25,318.0
173,250.0,270.0
174,305.0,302.5
175,277.5,480.0
176,183.75,382.5
177,165.0,403.0
178,120.0,293.75
179,97.5,275.0
180,133.75,394.25
181,205.0,187.5
182,120.0,331.25
183,195.0,354.25
184,175.0,447.5
185,350.0,307.5
186,190.0,322.5
187,217.5,465.0
188,115.0,305.0
189,307.5,359.25
190,93.75,254.25
191,126.25,213.75
192,125.0,276.25
193,50.0,233.5
194,112.5,307.5
195,160.0,369.25
196,272.5,358.5
197,201.25,455.0
198,80.0,440.5
199,190.0,264.25
200,80.0,318.75
201,67.5,400.0
202,196.25,216.25
203,192.5,238.75
204,270.0,283.0
205,110.0,356.25
206,182.5,461.0
207,380.0,400.0
208,265.0,461.0
209,170.0,415.25
210,315.0,342.25
211,385.0,378.0
212,200.0,361.25
213,255.0,313.75
214,238.75,349.25
215,350.0,335.0
216,290.0,435.5
217,17.5,550.5
218,275.0,385.5
219,165.0,420.0
220,175.0,437.5
221,330.0,269.25
222,55.0,205.0
223,91.25,361.25
224,220.0,287.5
225,146.25,348.75
226,71.25,191.75
227,117.5,333.0
228,220.0,225.0
229,360.0,303.5
230,217.5,365.0
231,195.0,352.25
232,163.75,401.5
233,222.5,332.5
234,300.0,315.5
235,287.5,305.0
236,200.0,327.25
237,177.5,295.5
238,108.75,440.0
239,327.5,413.75
240,130.0,307.5
241,137.5,218.75
242,165.0,482.5
243,255.0,383.5
244,177.5,347.5
245,300.0,342.5
246,410.0,246.25
247,170.0,427.5
248,100.0,330.0
249,205.0,370.0
250,232.5,409.25
251,395.0,205.0
252,42.5,416.5
253,172.5,440.5
254,87.5,289.25
255,155.0,186.25
256,145.0,253.0
257,218.75,333.0
258,56.25,438.75
259,222.5,325.0
260,195.0,280.5
261,217.5,400.0
262,182.5,405.0
263,60.0,269.25
264,455.0,408.0
265,207.5,435.5
266,55.0,465.5
267,228.75,281.25
268,237.5,373.0
269,110.0,333.0
270,145.0,374.25
271,160.0,403.0
272,105.0,266.0
273,158.75,278.5
274,333.75,273.75
275,135.0,417.5
276,62.5,315.0
277,157.5,283.75
278,137.5,298.0
279,167.5,328.75
280,120.0,231.25
281,143.75,408.75
282,246.25,323.0
283,145.0,203.75
284,157.5,230.5
285,318.75,277.25
286,138.75,327.5
287,290.0,376.25
288,440.0,361.25
289,247.5,324.25
290,215.0,354.25
291,237.5,410.0
292,155.0,435.0
293,285.0,323.75
294,180.0,460.0
295,275.0,437.5
296,273.75,385.5
297,290.0,470.0
298,175.0,388.0
299,295.0,267.5
300,142.5,375.0
301,205.0,416.0
302,117.5,423.75
303,81.25,320.5
304,230.0,387.5
305,240.0,270.0
306,345.0,420.5
307,360.0,368.0
308,250.0,361.25
309,320.0,253.75
310,195.0,335.5
311,195.0,403.0
312,177.5,313.0
313,303.75,379.75
314,60.0,385.5
315,310.0,430.5
316,120.0,264.25
317,235.0,393.75
318,175.0,313.75
319,170.0,435.5
320,358.75,255.0
321,280.0,425.0
322,123.75,453.75
323,347.5,329.25
324,251.25,362.5
325,0.0,410.0
326,112.5,424.25
327,200.0,305.5
328,145.0,162.5
329,235.0,343.0
330,320.0,387.5
331,160.0,321.75
332,30.0,400.0
333,102.5,575.0
334,30.0,365.5
335,157.5,397.5
336,107.5,417.5
337,193.75,383.0
338,150.0,171.25
339,167.5,304.25
340,220.0,300.0
341,250.0,235.0
342,205.0,367.5
343,231.25,273.0
344,315.0,485.5
345,345.0,222.5
346,163.75,369.25
347,235.0,267.5
348,133.75,383.0
349,192.5,403.0
350,273.75,398.75
351,270.0,396.75
352,78.75,346.75
353,190.0,321.25
354,312.5,295.5
355,260.0,443.75
356,241.25,202.5
357,165.0,261.25
358,105.0,369.25
359,400.0,346.25
360,57.5,250.5
361,315.0,323.75
362,233.75,398.0
363,125.0,399.25
364,140.0,125.0
365,337.5,351.75
366,342.5,390.0
367,50.0,540.0
368,190.0,383.75
369,250.0,446.0
370,138.75,420.0
371,115.0,378.0
372,200.0,355.0
373,220.0,310.0
374,85.0,228.75
375,128.75,320.5
376,138.75,442.5
377,185.0,432.5
378,355.0,241.25
379,170.0,360.0
380,177.5,446.0
381,200.0,346.25
382,155.0,348.0
383,395.0,284.25
384,303.75,390.0
385,220.0,260.0
386,108.75,275.25
387,237.5,512.5
388,260.0,372.5
389,126.25,298.75
390,295.0,325.5
391,285.0,320.5
392,305.0,480.0
393,286.25,495.5
394,152.5,297.5
395,268.75,373.0
396,152.5,211.25
397,238.75,335.0
398,151.25,298.75
399,160.0,205.5
400,237.5,311.75
401,243.75,175.0
402,150.0,200.5
403,245.0,222.5
404,185.0,169.25
405,238.75,333.5
406,243.75,385.5
407,290.0,156.25
408,335.0,318.0
409,250.0,291.25
410,120.0,385.0
411,222.5,315.5
412,247.5,301.75
413,177.5,410.0
414,210.0,216.75
415,250.0,352.5
416,60.0,340.0
417,263.75,292.5
418,260.0,230.5
419,275.0,303.75
420,287.5,195.0
421,275.0,417.5
422,457.5,261.25
423,357.5,180.0
424,410.0,356.25
425,150.0,377.5
426,171.25,470.5
427,150.0,165.5
428,170.0,398.0
429,245.0,247.5
430,178.75,316.25
431,260.0,382.5
432,432.5,480.0
433,200.0,290.5
434,166.25,427.5
435,157.5,283.5
436,138.75,432.5
437,225.0,313.75
438,285.0,260.0
439,200.0,352.5
440,235.0,358.0
441,245.0,241.25
442,87.5,216.75
443,305.0,363.0
444,175.0,420.0
445,245.0,354.25
446,182.5,340.0
447,112.5,264.25
448,181.25,465.0
449,217.5,384.75
450,177.5,316.75
451,122.5,303.75
452,360.0,222.5
453,210.0,271.25
454,177.5,266.25
455,0.0,425.0
456,145.0,362.5
457,392.5,388.75
458,175.0,374.0
459,242.5,295.5
460,273.75,286.75
461,395.0,257.5
462,95.0,220.0
463,67.5,398.0
464,142.5,319.25
465,285.0,351.25
466,305.0,291.25
467,172.5,229.25
468,252.5,340.0
469,275.0,408.0
470,40.0,176.25
471,125.0,183.0
472,260.0,403.75
473,160.0,323.0
474,196.25,300.0
475,323.75,334.75
476,130.0,276.25
477,85.0,209.25
478,126.25,265.0
479,197.5,248.0
480,187.5,389.25
481,265.0,345.0
482,140.0,436.0
483,160.0,400.0
484,155.0,357.25
485,63.75,445.5
486,263.75,284.25
487,148.75,301.75
488,55.0,370.0
489,181.25,260.5
490,222.5,313.0
491,90.0,281.75
492,248.75,433.0
493,132.5,365.5
494,50.0,357.5
495,325.0,158.75
496,265.0,168.0
497,212.5,255.0
498,145.0,375.0
499,227.5,268.75
500,155.0,328.0
501,53.75,425.0
502,160.0,418.75
503,140.0,285.0
504,152.5,210.0
505,97.5,233.0
506,372.5,345.5
507,152.5,307.5
508,277.5,327.5
509,227.5,437.5
510,120.0,287.25
511,410.0,332.5
512,210.0,393.75
513,97.5,377.5
514,108.75,357.25
515,223.75,405.5
516,213.75,225.0
517,201.25,400.0
518,255.0,290.0
519,370.0,306.25
520,235.0,299.25
521,288.75,352.5
522,221.25,260.0
523,220.0,358.75
524,100.0,137.5
525,180.0,384.25
526,212.5,264.25
527,168.75,355.5
528,151.25,233.75
529,221.25,410.5
530,462.5,386.25
531,217.5,380.0
532,115.0,284.75
533,203.75,231.25
534,205.0,360.0
535,207.5,370.5
536,43.75,303.75
537,157.5,216.25
538,292.5,332.5
539,215.0,480.0
540,265.0,313.0
541,128.75,383.0
542,105.0,462.5
543,140.0,327.25
544,0.0,381.25
545,151.25,404.25
546,330.0,290.0
547,181.25,510.5
548,217.5,370.0
549,33.75,402.25
550,410.0,443.0
551,220.0,188.75
552,20.0,368.75
553,220.0,346.25
554,240.0,307.5
555,325.0,319.75
556,170.0,435.0
557,205.0,350.0
558,172.5,281.25
559,357.5,323.75
560,277.5,413.75
561,252.5,470.0
562,80.0,330.5
563,208.75,309.25
564,385.0,472.5
565,212.5,305.5
566,217.5,271.25
567,242.5,490.5
568,285.0,198.75
569,130.0,230.5
570,208.75,408.0
571,165.0,420.5
572,80.0,201.25
573,105.0,332.5
574,235.0,401.0
575,173.75,205.0
576,200.0,266.25
577,210.0,151.75
578,222.5,220.5
579,82.5,358.75
580,165.0,302.5
581,223.75,393.0
582,102.5,248.75
583,190.0,313.75
584,172.5,307.5
585,181.25,313.75
586,93.75,206.75
587,166.25,260.5
588,278.75,219.25
589,152.5,315.5
590,313.75,315.5
591,130.0,272.25
592,190.0,346.25
593,160.0,385.0
594,207.5,313.75
595,222.5,328.0
596,175.0,441.5
597,157.5,378.75
598,265.0,474.25
599,205.0,233.75
600,170.0,260.5
601,182.5,455.0
602,152.5,400.0
603,251.25,520.0
604,40.0,362.5
605,255.0,263.75
606,120.0,350.5
607,227.5,403.0
608,13.75,313.5
609,250.0,422.5
610,225.0,269.25
611,175.0,351.25
612,97.5,383.5
613,295.0,318.0
614,262.5,418.75
615,205.0,262.5
616,120.0,380.0
617,125.0,320.0
618,255.0,272.5
619,232.5,397.5
620,337.5,238.75
621,110.0,266.25
622,127.5,426.0
623,145.0,375.0
624,325.0,295.0
625,335.0,246.25
626,168.75,209.25
627,147.5,302.5
628,210.0,398.75
629,192.5,359.25
630,165.0,371.75
631,140.0,248.75
632,280.0,391.75
633,160.0,345.0
634,257.5,363.0
635,236.25,348.0
636,100.0,370.5
637,150.0,342.5
638,178.75,421.25
639,370.0,233.75
640,130.0,368.75
641,135.0,339.75
642,253.75,385.5
643,200.0,328.0
644,13.75,344.75
645,177.5,405.0
646,310.0,147.5
647,110.0,214.25
648,203.75,428.0
649,157.5,273.75
650,298.75,350.0
651,135.0,336.25
652,217.5,345.5
653,55.0,309.25
654,260.0,380.0
655,191.25,249.75
656,392.5,248.0
657,337.5,362.5
658,287.5,302.5
659,270.0,317.5
660,138.75,450.5
661,181.25,313.0
662,28.75,425.0
663,265.0,363.75
664,310.0,366.75
665,148.75,585.5
666,190.0,300.0
667,187.5,286.25
668,97.5,286.75
669,100.0,281.25
670,248.75,385.5
671,55.0,317.5
672,165.0,378.0
673,90.0,427.5
674,177.5,191.25
675,230.0,360.0
676,182.5,285.0
677,210.0,329.25
678,0.0,234.25
679,55.0,334.25
680,230.0,530.0
681,240.0,295.0
682,210.0,303.75
683,325.0,377.5
684,302.5,440.5
685,298.75,261.25
686,170.0,292.5
687,260.0,313.75
688,183.75,325.0
689,278.75,440.5
690,21.25,355.5
691,340.0,490.0
692,110.0,225.0
693,185.0,317.5
694,182.5,318.0
695,281.25,377.5
696,325.0,325.0
697,448.75,311.75
698,165.0,196.75
699,130.0,430.0
700,255.0,393.0
701,267.5,309.25
702,67.5,356.25
703,235.0,477.5
704,182.5,370.5
705,380.0,294.25
706,205.0,380.0
707,260.0,356.25
708,450.0,298.0
709,360.0,352.5
710,195.0,223.75
711,215.0,421.0
712,105.0,388.5
713,158.75,236.75
714,245.0,173.75
715,242.5,298.75
716,225.0,405.0
717,148.75,320.5
718,225.0,342.5
719,347.5,324.25
720,200.0,262.5
721,405.0,385.0
722,176.25,286.75
723,55.0,273.0
724,240.0,396.75
725,105.0,510.5
726,205.0,327.5
727,312.5,371.25
728,193.75,322.5
729,105.0,290.5
730,215.0,409.25
731,122.5,441.25
732,175.0,229.25
733,300.0,332.25
734,210.0,314.25
735,302.5,221.25
736,295.0,331.75
737,195.0,345.0
738,97.5,226.25
739,220.0,371.0
740,255.0,296.25
741,185.0,220.0
742,125.0,234.25
743,30.0,274.25
744,290.0,327.25
745,242.5,390.0
746,162.5,363.0
747,237.5,271.25
748,33.75,411.0
749,70.0,522.5
750,245.0,284.75
751,108.75,381.75
752,85.0,318.0
753,220.0,285.0
754,270.0,490.5
755,310.0,323.0
756,325.0,270.0
757,162.5,417.5
758,280.0,320.5
759,412.5,468.75
760,250.0,368.0
761,240.0,330.0
762,157.5,400.0
763,205.0,358.5
764,272.5,280.5
765,400.0,394.25
766,130.0,246.75
767,290.0,349.25
768,110.0,275.5
769,255.0,456.0
770,207.5,375.0
771,345.0,300.5
772,237.5,317.5
773,277.5,358.75
774,133.75,355.0
775,122.5,375.5
776,182.5,423.5
777,335.0,220.5
778,290.0,347.25
779,430.0,445.0
780,310.0,292.5
781,115.0,326.75
782,195.0,348.75
783,230.0,392.5
784,290.0,388.0
785,115.0,486.5
786,240.0,333.0
787,311.25,318.0
788,212.5,362.5
789,43.75,311.25
790,155.0,385.5
791,295.0,368.0
792,101.25,326.25
793,112.5,385.0
794,263.75,465.0
795,225.0,327.5
796,180.0,438.75
797,77.5,373.5
798,162.5,312.5
799,235.0,380.5
800,275.0,408.5
801,125.0,295.0
802,280.0,435.0
803,235.0,286.25
804,272.5,389.25
805,110.0,267.5
806,242.5,226.75
807,70.0,442.5
808,225.0,238.75
809,112.5,322.5
810,242.5,224.25
811,240.0,270.0
812,202.5,356.25
813,280.0,377.5
814,115.0,236.25
815,177.5,313.75
816,345.0,406.5
817,122.5,197.5
818,222.5,348.0
819,252.5,237.5
820,222.5,371.75
821,318.75,434.25
822,195.0,372.5
823,245.0,350.0
824,110.0,380.75
825,195.0,385.5
826,207.5,395.0
827,135.0,375.0
828,357.5,368.75
829,322.5,407.5
830,110.0,130.0
831,0.0,307.5
832,108.75,236.75
833,67.5,289.25
834,130.0,440.5
835,207.5,342.25
836,120.0,290.5
837,165.0,268.5
838,122.5,387.5
839,97.5,262.5
840,227.5,326.75
841,261.25,408.0
842,398.75,310.0
843,95.0,318.75
844,273.75,407.5
845,120.0,432.5
846,217.5,299.25
847,425.0,402.5
848,247.5,418.75
849,85.0,365.5
850,235.0,299.25
851,246.25,233.75
852,333.75,357.5
853,130.0,399.25
854,165.0,281.0
855,297.5,438.75
856,230.0,325.0
857,160.0,338.0
858,291.25,460.0
859,290.0,297.5
860,232.5,320.0
861,320.0,288.75
862,221.25,347.5
863,125.0,286.75
864,73.75,318.5
865,67.5,438.75
866,270.0,347.5
867,345.0,381.75
868,245.0,335.5
869,225.0,362.5
870,285.0,301.0
871,315.0,419.25
872,155.0,268.75
873,190.0,258.75
874,176.25,367.5
875,60.0,307.5
876,222.5,295.0
877,135.0,301.0
878,52.5,360.0
879,337.5,394.25
880,175.0,375.5
881,235.0,448.0
882,310.0,308.75
883,82.5,334.25
884,202.5,510.0
885,210.0,223.75
886,250.0,455.0
887,30.0,337.5
888,130.0,338.0
889,277.5,358.75
890,127.5,438.75
891,243.75,413.75
892,150.0,180.0
893,217.5,376.75
894,186.25,380.0
895,127.5,461.5
896,495.0,265.0
897,135.0,403.75
898,340.0,298.5
899,111.25,355.5
900,277.5,276.25
901,67.5,399.25
902,217.5,244.25
903,225.0,311.25
904,307.5,268.75
905,98.75,301.25
906,123.75,350.5
907,100.0,382.5
908,345.0,345.0
909,140.0,357.5
910,395.0,383.75
911,260.0,215.0
912,162.5,363.75
913,288.75,425.5
914,170.0,316.75
915,411.25,378.75
916,237.5,445.5
917,215.0,363.75
918,225.0,195.5
919,217.5,506.0
920,260.0,367.5
921,290.0,352.5
922,202.5,409.25
923,105.0,291.25
924,267.5,515.5
925,325.0,348.75
926,215.0,386.5
927,82.5,300.0
928,192.5,339.25
929,355.0,264.25
930,290.0,305.0
931,185.0,297.5
932,160.0,363.0
933,150.0,122.5
934,162.5,409.25
935,165.0,397.5
936,125.0,442.0
937,267.5,283.0
938,133.75,366.25
939,350.0,540.0
940,268.75,471.0
941,50.0,335.0
942,121.25,420.0
943,280.0,356.75
944,252.5,251.75
945,123.75,155.0
946,150.0,295.0
947,80.0,303.75
948,200.0,294.25
949,160.0,415.0
950,297.5,278.5
951,165.0,335.5
952,150.0,227.5
953,165.0,295.0
954,207.5,340.5
955,260.0,393.75
956,23.75,332.5
957,190.0,338.0
958,215.0,315.0
959,355.0,372.5
960,162.5,310.0
961,263.75,378.75
962,245.0,267.5
963,43.75,258.75
964,130.0,301.25
965,170.0,273.75
966,110.0,410.5
967,307.5,345.0
968,275.0,510.0
969,360.0,321.25
970,195.0,317.25
971,165.0,355.5
972,0.0,403.0
973,53.75,345.0
974,175.0,400.0
975,251.25,340.0
976,260.0,410.0
977,167.5,294.25
978,195.0,405.5
979,200.0,500.0
980,80.0,366.75
981,268.75,324.25
982,110.0,353.5
983,237.5,328.75
984,227.5,272.25
985,370.0,226.75
986,13.75,405.5
987,242.5,383.75
988,162.5,408.0
989,100.0,387.5
990,310.0,520.0
991,365.0,307.5
992,110.0,387.5
993,310.0,280.5
994,80.0,313.0
995,290.0,383.75
996,17.5,268.75
997,205.0,301.75
998,225.0,308.0
999,332.5,213.0
1000,217.5,460.0
1001,150.0,340.5
1002,140.0,337.5
1003,270.0,323.0
1004,50.0,186.25
1005,160.0,525.0
1006,270.0,400.0
1007,205.0,356.75
1008,145.0,343.0
1009,252.5,410.0
1010,167.5,483.0
1011,142.5,226.25
1012,173.75,303.0
1013,111.25,284.75
1014,230.0,283.75
1015,158.75,393.0
1016,176.25,332.5
1017,180.0,465.0
1018,275.0,430.5
1019,215.0,371.0
1020,170.0,455.5
1021,217.5,288.0
1022,182.5,255.5
1023,158.75,503.75
1024,150.0,226.25
1025,335.0,301.25
1026,201.25,311.25
1027,142.5,470.0
1028,182.5,385.0
1029,330.0,368.75
1030,55.0,355.5
1031,357.5,399.25
1032,141.25,402.5
1033,237.5,283.75
1034,225.0,327.5
1035,375.0,283.0
1036,27.5,360.5
1037,68.75,275.5
1038,217.5,356.75
1039,82.5,399.25
1040,140.0,354.25
1041,310.0,380.0
1042,342.5,289.25
1043,160.0,185.0
1044,42.5,373.5
1045,205.0,252.5
1046,122.5,212.5
1047,237.5,342.5
1048,298.75,340.0
1049,132.5,232.5
1050,321.25,406.25
1051,250.0,292.5
1052,127.5,155.0
1053,146.25,267.5
1054,300.0,301.75
1055,212.5,400.0
1056,207.5,308.0
1057,335.0,322.5
1058,330.0,341.0
1059,357.5,263.75
1060,200.0,323.75
1061,360.0,358.0
1062,380.0,262.5
1063,117.5,276.25
1064,90.0,323.0
1065,85.0,317.5
1066,78.75,505.5
1067,222.5,438.75
1068,281.25,410.0
1069,97.5,344.75
1070,30.0,178.0
1071,190.0,380.0
1072,230.0,228.5
1073,237.5,482.5
1074,305.0,358.0
1075,80.0,303.0
1076,235.0,188.0
1077,347.5,268.0
1078,237.5,291.75
1079,43.75,244.25
1080,340.0,231.25
1081,125.0,440.0
1082,350.0,295.0
1083,67.5,459.25
1084,343.75,335.0
1085,206.25,440.5
1086,160.0,128.75
1087,377.5,465.0
1088,110.0,247.25
1089,300.0,398.0
1090,212.5,336.25
1091,157.5,315.0
1092,350.0,365.0
1093,173.75,321.25
1094,170.0,217.5
1095,300.0,286.75
1096,205.0,319.75
1097,30.0,435.5
1098,146.25,476.25
1099,305.0,390.0
1100,92.5,335.5
1101,82.5,212.5
1102,175.0,387.5
1103,215.0,347.5
1104,73.75,338.75
1105,320.0,334.25
1106,150.0,440.5
1107,385.0,340.5
1108,122.5,205.0
1109,70.0,237.5
1110,190.0,316.25
1111,250.0,406.25
1112,270.0,379.25
1113,115.0,270.0
1114,160.0,306.25
1115,277.5,287.5
1116,220.0,400.0
1117,335.0,415.0
1118,100.0,382.5
1119,200.0,290.0
1120,267.5,290.0
1121,210.0,368.0
1122,186.25,215.5
1123,160.0,350.5
1124,42.5,240.0
1125,180.0,260.5
1126,260.0,311.25
1127,190.0,400.0
1128,245.0,277.5
1129,225.0,298.75
1130,368.75,373.75
1131,368.75,505.0
1132,110.0,520.0
1133,230.0,412.5
1134,247.5,203.75
1135,55.0,390.0
1136,258.75,265.0
1137,90.0,322.5
1138,251.25,302.5
1139,175.0,388.0
1140,110.0,330.0
1141,117.5,362.5
1142,170.0,296.75
1143,292.5,365.5
1144,90.0,380.5
1145,211.25,465.0
1146,106.25,366.0
1147,135.0,291.25
1148,135.0,222.5
1149,193.75,336.25
1150,205.0,261.75
1151,262.5,376.75
1152,225.0,215.0
1153,285.0,384.25
1154,230.0,281.25
1155,53.75,358.5
1156,237.5,244.75
1157,321.25,330.0
1158,96.25,352.5
1159,122.5,350.0
1160,240.0,263.75
1161,255.0,337.5
1162,30.0,255.0
1163,370.0,490.5
1164,400.0,440.5
1165,193.75,190.5
1166,212.5,313.5
1167,175.0,343.75
1168,192.5,334.25
1169,160.0,375.5
1170,210.0,287.5
1171,425.0,343.75
1172,157.5,302.25
1173,245.0,435.5
1174,285.0,291.25
1175,230.0,380.5
1176,266.25,358.75
1177,228.75,278.75
1178,133.75,160.0
1179,287.5,373.0
1180,205.0,254.75
1181,290.0,297.5
1182,163.75,256.75
1183,450.0,331.25
1184,210.0,235.5
1185,197.5,391.25
1186,360.0,361.75
1187,133.75,231.25
1188,238.75,393.0
1189,246.25,330.5
1190,200.0,318.5
1191,360.0,330.0
1192,210.0,475.5
1193,222.5,411.0
1194,37.5,285.5
1195,420.0,370.0
1196,160.0,202.5
1197,235.0,440.0
1198,72.5,365.0
1199,165.0,395.0
1200,277.5,450.0
1201,206.25,284.25
1202,225.0,122.5
1203,160.0,441.0
1204,70.0,331.75
1205,278.75,203.75
1206,333.75,488.0
1207,177.5,296.25
1208,220.0,496.0
1209,208.75,390.0
1210,105.0,321.25
1211,280.0,353.75
1212,42.5,238.75
1213,290.0,349.75
1214,215.0,254.25
1215,77.5,434.25
1216,233.75,455.5
1217,328.75,373.5
1218,470.0,345.0
1219,215.0,367.5
1220,195.0,258.0
1221,220.0,218.0
1222,23.75,387.5
1223,242.5,258.0
1224,140.0,420.0
1225,282.5,413.0
1226,270.0,367.5
1227,50.0,305.5
1228,245.0,440.5
1229,42.5,212.5
1230,195.0,326.75
1231,245.0,356.75
1232,248.75,426.75
1233,250.0,250.5
1234,115.0,476.25
1235,315.0,368.75
1236,210.0,303.0
1237,285.0,347.5
1238,305.0,267.5
1239,122.5,360.0
1240,385.0,396.0
1241,212.5,331.75
1242,235.0,200.0
1243,230.0,280.0
1244,180.0,208.75
1245,37.5,176.25
1246,292.5,358.0
1247,375.0,336.25
1248,157.5,360.0
1249,265.0,278.0
1250,233.75,409.25
1251,128.75,234.25
1252,300.0,480.5
1253,165.0,285.0
1254,205.0,401.25
1255,280.0,387.5
1256,195.0,339.25
1257,310.0,187.5
1258,196.25,358.75
1259,383.75,343.0
1260,150.0,211.75
1261,110.0,337.5
1262,272.5,315.0
1263,237.5,470.0
1264,172.5,368.75
1265,305.0,365.0
1266,227.5,341.0
1267,148.75,265.0
1268,212.5,401.25
1269,337.5,305.0
1270,172.5,298.0
1271,350.0,328.0
1272,232.5,295.0
1273,66.25,383.0
1274,237.5,399.25
1275,148.75,392.5
1276,385.0,225.5
1277,137.5,331.25
1278,146.25,341.25
1279,110.0,266.25
1280,245.0,301.0
1281,30.0,270.0
1282,121.25,333.75
1283,213.75,185.0
1284,180.0,341.25
1285,170.0,214.25
1286,300.0,388.0
1287,360.0,223.75
1288,125.0,234.25
1289,110.0,431.5
1290,50.0,244.75
1291,260.0,232.5
1292,27.5,372.5
1293,0.0,163.75
1294,182.5,403.0
1295,195.0,366.0
1296,27.5,335.5
1297,430.0,477.5
1298,163.75,454.25
1299,170.0,238.5
1300,447.5,550.5
1301,128.75,254.25
1302,82.5,480.5
1303,243.75,340.0
1304,265.0,370.5
1305,185.0,163.75
1306,55.0,432.5
1307,188.75,378.5
1308,63.75,161.75
1309,195.0,301.25
1310,160.0,418.0
1311,115.0,292.5
1312,195.0,128.75
1313,345.0,397.5
1314,235.0,480.5
1315,327.5,276.75
1316,0.0,274.25
1317,176.25,399.25
1318,265.0,279.25
1319,225.0,420.5
1320,330.0,383.0
1321,390.0,216.25
1322,182.5,328.75
1323,236.25,231.75
1324,275.0,420.0
1325,153.75,326.75
1326,382.5,276.25
1327,170.0,268.0
1328,220.0,245.5
1329,190.0,451.0
1330,140.0,324.25
1331,27.5,335.0
1332,182.5,360.5
1333,225.0,288.0
1334,262.5,273.0
1335,310.0,440.0
1336,281.25,233.0
1337,96.25,535.0
1338,137.5,367.5
1339,420.0,457.5
1340,110.0,236.75
1341,370.0,300.0
1342,142.5,355.5
1343,235.0,371.25
1344,215.0,399.25
1345,145.0,324.25
1346,237.5,197.5
1347,133.75,407.5
1348,100.0,470.0
1349,385.0,480.0
1350,337.5,216.25
1351,145.0,351.0
1352,255.0,363.0
1353,197.5,385.0
1354,170.0,370.0
1355,145.0,176.75
1356,223.75,400.0
1357,145.0,385.0
1358,255.0,390.0
