,p2_sum_def_last
273,353.8
274,415.0
275,370.0
276,430.0
277,410.0
278,381.9
279,485.0
280,460.0
281,435.0
282,366.9
283,295.0
284,416.9
285,363.8
286,390.0
287,325.0
288,490.0
289,391.9
290,356.9
291,295.0
292,480.0
293,370.0
294,330.0
295,450.0
296,391.9
297,395.0
298,326.9
299,345.0
300,380.0
301,363.8
302,380.0
303,411.9
304,305.0
305,335.0
306,406.9
307,566.9
308,528.0
309,345.0
310,356.9
311,416.9
312,381.9
313,353.8
314,386.9
315,361.9
316,446.9
317,380.0
318,395.0
319,421.9
320,405.0
321,490.0
322,515.0
323,441.9
324,285.0
325,325.0
326,521.9
327,474.9
328,425.0
329,371.9
330,375.0
331,341.9
332,455.0
333,415.0
334,216.9
335,310.0
336,405.0
337,346.9
338,230.0
339,296.9
340,270.0
341,455.0
342,585.0
343,306.9
344,421.9
345,490.0
346,446.9
347,340.0
348,436.9
349,356.9
350,345.0
351,506.9
352,411.9
353,455.0
354,411.9
355,515.0
356,415.0
357,445.0
358,396.9
359,465.0
360,366.9
361,370.0
362,446.9
363,416.9
364,270.0
365,406.9
366,365.0
367,435.0
368,375.0
369,493.8
370,415.0
371,471.9
372,395.0
373,555.0
374,375.0
375,486.9
376,380.0
377,474.5
378,405.0
379,290.0
380,503.8
381,480.0
382,421.9
383,411.9
384,445.0
385,330.0
386,400.70000000000005
387,355.0
388,405.0
389,390.0
390,311.9
391,421.9
392,360.0
393,436.9
394,295.0
395,396.9
396,380.0
397,295.0
398,375.0
399,376.9
400,456.9
401,330.0
402,391.9
403,300.0
404,326.9
405,433.8
406,331.9
407,355.0
408,436.9
409,365.0
410,420.0
411,356.9
412,586.9
413,425.0
414,266.9
415,545.0
416,500.0
417,180.0
418,291.9
419,475.0
420,325.0
421,395.0
422,430.0
423,380.0
424,380.0
425,345.0
426,521.9
427,276.9
428,391.9
429,460.0
430,330.0
431,335.0
432,380.0
433,406.9
434,440.0
435,403.8
436,395.0
437,370.0
438,365.0
439,450.0
440,491.9
441,470.0
442,441.9
443,501.9
444,345.0
445,416.9
446,550.0
447,336.9
448,415.0
449,378.8
450,416.9
451,410.0
452,330.0
453,460.0
454,380.0
455,350.0
456,440.0
457,330.0
458,395.70000000000005
459,406.9
460,391.9
461,395.0
462,275.0
463,436.9
464,366.9
465,355.0
466,390.0
467,366.9
468,225.0
469,471.9
470,335.0
471,441.9
472,425.0
473,396.9
474,330.0
475,508.8
476,535.0
477,376.9
478,340.0
479,306.9
480,411.9
481,365.0
482,371.8
483,450.0
484,413.8
485,344.9
486,441.9
487,481.9
488,290.0
489,406.9
490,476.9
491,526.9
492,356.9
493,431.9
494,455.0
495,190.0
496,371.9
497,480.0
498,380.0
499,285.0
500,416.9
501,375.0
502,530.0
503,200.0
504,430.0
505,481.9
506,431.9
507,390.0
508,295.0
509,420.0
510,403.8
511,405.0
512,315.0
513,430.0
514,378.8
515,426.9
516,425.0
517,455.0
518,340.0
519,455.0
520,271.9
521,380.0
522,375.0
523,435.0
524,195.0
525,381.9
526,481.9
527,486.9
528,375.0
529,486.9
530,345.0
531,395.0
532,363.8
533,355.0
534,315.0
535,421.9
536,335.0
537,455.0
538,455.0
539,380.0
540,511.9
541,456.9
542,365.0
543,353.8
544,465.0
545,496.9
546,375.0
547,456.9
548,395.0
549,443.8
550,366.9
551,380.0
552,425.0
553,345.0
554,380.0
555,333.8
556,523.0
557,515.0
558,335.0
559,440.0
560,460.0
561,395.0
562,301.9
563,396.9
564,474.5
565,361.9
566,405.0
567,406.9
568,355.0
569,411.9
570,411.9
571,446.9
572,285.0
573,455.0
574,381.8
575,330.0
576,380.0
577,391.9
578,426.9
579,385.0
580,245.0
581,341.9
582,435.0
583,455.0
584,335.0
585,455.0
586,356.9
587,361.9
588,511.9
589,356.9
590,496.9
591,403.8
592,395.0
593,285.0
594,455.0
595,281.9
596,500.70000000000005
597,415.0
598,421.9
599,345.0
600,366.9
601,370.0
602,310.0
603,475.0
604,420.0
605,470.0
606,566.9
607,416.9
608,293.8
609,330.0
610,406.9
611,355.0
612,413.8
613,346.9
614,490.0
615,615.0
616,415.0
617,295.0
618,445.0
619,455.0
620,440.0
621,380.0
622,403.8
623,350.0
624,535.0
625,455.0
626,441.9
627,225.0
628,320.0
629,511.9
630,436.9
631,295.0
632,491.9
633,335.0
634,306.9
635,421.9
636,436.9
637,370.0
638,635.0
639,340.0
640,505.0
641,368.8
642,421.9
643,371.9
644,298.8
645,335.0
646,320.0
647,356.9
648,366.9
649,335.0
650,535.0
651,420.0
652,491.9
653,281.9
654,340.0
655,451.8
656,496.9
657,455.0
658,365.0
659,430.0
660,341.9
661,351.9
662,425.0
663,575.0
664,406.9
665,431.9
666,415.0
667,425.0
668,421.9
669,465.0
670,411.9
671,375.0
672,341.9
673,460.0
674,300.0
675,415.0
676,415.0
677,461.9
678,416.9
679,421.9
680,530.0
681,330.0
682,520.0
683,455.0
684,416.9
685,285.0
686,415.0
687,455.0
688,290.0
689,381.9
690,296.9
691,400.0
692,335.0
693,475.0
694,376.9
695,435.0
696,420.0
697,521.9
698,366.9
699,365.0
700,501.9
701,281.9
702,365.0
703,470.0
704,441.9
705,391.9
706,275.0
707,425.0
708,281.9
709,485.0
710,265.0
711,458.8
712,398.8
713,466.9
714,380.0
715,330.0
716,415.0
717,496.9
718,345.0
719,391.9
720,615.0
721,420.0
722,576.9
723,331.9
724,341.9
725,436.9
726,400.0
727,380.0
728,435.0
729,211.9
730,366.9
731,410.0
732,426.9
733,468.8
734,461.9
735,380.0
736,511.9
737,430.0
738,495.0
739,398.8
740,520.0
741,290.0
742,391.9
743,376.9
744,378.8
745,400.0
746,381.9
747,410.0
748,403.8
749,470.0
750,408.8
751,386.9
752,376.9
753,370.0
754,341.9
755,366.9
756,380.0
757,370.0
758,361.9
759,355.0
760,441.9
761,370.0
762,455.0
763,438.8
764,426.9
765,366.9
766,331.9
767,366.9
768,306.9
769,528.8
770,415.0
771,356.9
772,455.0
773,455.0
774,375.0
775,446.9
776,273.8
777,471.9
778,378.8
779,465.0
780,395.0
781,471.9
782,380.0
783,455.0
784,356.9
785,465.70000000000005
786,441.9
787,591.9
788,330.0
789,380.0
790,361.9
791,411.9
792,385.0
793,435.0
794,380.0
795,390.0
796,380.0
797,403.8
798,435.0
799,381.9
800,378.8
801,345.0
802,390.0
803,465.0
804,406.9
805,525.0
806,396.9
807,380.0
808,550.0
809,380.0
810,331.9
811,380.0
812,405.0
813,425.0
814,335.0
815,455.0
816,630.7
817,415.0
818,531.9
819,300.0
820,366.9
821,481.9
822,345.0
823,470.0
824,477.6
825,366.9
826,405.0
827,415.0
828,370.0
829,385.0
830,375.0
831,335.0
832,366.9
833,366.9
834,381.9
835,458.8
836,421.9
837,408.8
838,300.0
839,370.0
840,451.9
841,376.9
842,475.0
843,470.0
844,355.0
845,440.0
846,331.9
847,370.0
848,290.0
849,451.9
850,376.9
851,365.0
852,405.0
853,446.9
854,498.8
855,380.0
856,330.0
857,451.9
858,435.0
859,345.0
860,465.0
861,270.0
862,420.0
863,351.9
864,318.8
865,355.0
866,455.0
867,381.9
868,356.9
869,555.0
870,428.8
871,406.9
872,490.0
873,450.0
874,345.0
875,480.0
876,430.0
877,493.8
878,515.0
879,366.9
880,421.9
881,291.9
882,405.0
883,521.9
884,380.0
885,330.0
886,460.0
887,355.0
888,401.9
889,480.0
890,380.0
891,370.0
892,360.0
893,381.9
894,370.0
895,490.70000000000005
896,355.0
897,395.0
898,373.8
899,376.9
900,310.0
901,416.9
902,401.9
903,470.0
904,550.0
905,365.0
906,241.9
907,390.0
908,335.0
909,370.0
910,410.0
911,475.0
912,415.0
913,381.9
914,416.9
915,415.0
916,341.9
917,365.0
918,361.9
919,443.8
920,245.0
921,500.0
922,391.9
923,415.0
924,406.9
925,425.0
926,455.70000000000005
927,270.0
928,331.9
929,356.9
930,490.0
931,460.0
932,506.9
933,220.0
934,366.9
935,380.0
936,512.6
937,391.9
938,355.0
939,515.0
940,373.8
941,490.0
942,465.0
943,391.9
944,471.9
945,295.0
946,515.0
947,430.0
948,281.9
949,410.0
950,353.8
951,416.9
952,300.0
953,345.0
954,441.9
955,380.0
956,455.0
957,506.9
958,480.0
959,470.0
960,420.0
961,320.0
962,450.0
963,370.0
964,395.0
965,290.0
966,391.9
967,410.0
968,475.0
969,450.0
970,403.8
971,441.9
972,416.9
973,415.0
974,455.0
975,330.0
976,425.0
977,351.9
978,356.9
979,370.0
980,376.9
981,391.9
982,353.8
983,330.0
984,438.8
985,356.9
986,446.9
987,395.0
988,376.9
989,295.0
990,330.0
991,450.0
992,375.0
993,271.9
994,361.9
995,395.0
996,275.0
997,416.9
998,401.9
999,331.9
1000,330.0
1001,431.9
1002,390.0
1003,366.9
1004,310.0
1005,503.0
1006,455.0
1007,456.9
1008,306.9
1009,295.0
1010,376.9
1011,450.0
1012,331.9
1013,408.8
1014,340.0
1015,571.9
1016,478.0
1017,380.0
1018,316.9
1019,613.8
1020,451.9
1021,416.9
1022,431.9
1023,425.0
1024,390.0
1025,510.0
1026,380.0
1027,395.0
1028,500.0
1029,370.0
1030,376.9
1031,381.9
1032,375.0
1033,455.0
1034,370.0
1035,391.9
1036,366.9
1037,326.9
1038,366.9
1039,396.9
1040,551.9
1041,395.0
1042,401.9
1043,130.0
1044,403.8
1045,250.0
1046,220.0
1047,375.0
1048,450.0
1049,335.0
1050,435.0
1051,350.0
1052,330.0
1053,380.0
1054,391.9
1055,310.0
1056,466.9
1057,595.0
1058,458.8
1059,280.0
1060,370.0
1061,281.9
1062,350.0
1063,285.0
1064,466.9
1065,340.0
1066,376.9
1067,380.0
1068,395.0
1069,458.8
1070,386.9
1071,460.0
1072,458.8
1073,440.0
1074,281.9
1075,426.9
1076,381.9
1077,281.9
1078,376.9
1079,401.9
1080,455.0
1081,370.0
1082,390.0
1083,451.9
1084,520.0
1085,416.9
1086,340.0
1087,380.0
1088,363.8
1089,366.9
1090,465.0
1091,380.0
1092,310.0
1093,455.0
1094,400.0
1095,391.9
1096,413.8
1097,349.9
1098,435.0
1099,400.0
1100,281.9
1101,345.0
1102,295.0
1103,285.0
1104,360.0
1105,456.9
1106,311.9
1107,541.9
1108,358.0
1109,385.0
1110,480.0
1111,345.0
1112,461.9
1113,380.0
1114,350.0
1115,290.0
1116,455.0
1117,430.0
1118,605.0
1119,390.0
1120,330.0
1121,506.9
1122,411.9
1123,471.9
1124,335.0
1125,391.9
1126,315.0
1127,455.0
1128,375.0
1129,285.0
1130,360.0
1131,490.0
1132,380.0
1133,315.0
1134,370.0
1135,480.0
1136,455.0
1137,355.0
1138,340.0
1139,356.9
1140,300.0
1141,405.0
1142,366.9
1143,391.9
1144,431.9
1145,410.0
1146,378.8
1147,310.0
1148,310.0
1149,420.0
1150,271.9
1151,416.9
1152,375.0
1153,446.9
1154,310.0
1155,603.8
1156,398.8
1157,425.0
1158,380.0
1159,610.0
1160,450.0
1161,335.0
1162,630.0
1163,316.9
1164,416.9
1165,411.9
1166,438.8
1167,375.0
1168,446.9
1169,386.9
1170,390.0
1171,330.0
1172,413.8
1173,391.9
1174,390.0
1175,386.9
1176,375.0
1177,305.0
1178,390.0
1179,391.9
1180,318.8
1181,390.0
1182,326.9
1183,370.0
1184,381.9
1185,395.0
1186,416.9
1187,455.0
1188,316.9
1189,391.9
1190,318.8
1191,395.0
1192,341.9
1193,403.8
1194,296.9
1195,440.0
1196,370.0
1197,370.0
1198,340.0
1199,635.0
1200,410.0
1201,441.9
1202,365.0
1203,273.8
1204,416.9
1205,315.0
1206,456.9
1207,465.0
1208,393.8
1209,380.0
1210,420.0
1211,530.0
1212,450.0
1213,508.8
1214,266.9
1215,396.9
1216,396.9
1217,403.8
1218,475.0
1219,380.0
1220,361.9
1221,336.9
1222,495.0
1223,401.9
1224,440.0
1225,486.9
1226,475.0
1227,266.9
1228,416.9
1229,250.0
1230,391.9
1231,366.9
1232,426.9
1233,506.9
1234,435.0
1235,370.0
1236,551.9
1237,470.0
1238,295.0
1239,335.0
1240,438.8
1241,511.9
1242,410.0
1243,345.0
1244,500.0
1245,265.0
1246,361.9
1247,455.0
1248,380.0
1249,501.9
1250,331.9
1251,476.9
1252,456.9
1253,555.0
1254,450.0
1255,425.0
1256,416.9
1257,380.0
1258,365.0
1259,451.9
1260,386.9
1261,445.0
1262,415.0
1263,395.0
1264,490.0
1265,465.0
1266,458.8
1267,515.0
1268,380.0
1269,370.0
1270,281.9
1271,351.9
1272,255.0
1273,431.9
1274,416.9
1275,375.0
1276,366.9
1277,370.0
1278,380.0
1279,395.0
1280,313.8
1281,345.0
1282,345.0
1283,295.0
1284,415.0
1285,356.9
1286,356.9
1287,545.0
1288,366.9
1289,475.70000000000005
1290,393.8
1291,510.0
1292,260.0
1293,310.0
1294,416.9
1295,373.8
1296,386.9
1297,435.0
1298,456.9
1299,463.8
1300,436.9
1301,376.9
1302,601.9
1303,430.0
1304,441.9
1305,365.0
1306,474.5
1307,403.8
1308,386.9
1309,260.0
1310,416.9
1311,415.0
1312,360.0
1313,345.0
1314,366.9
1315,416.9
1316,391.9
1317,416.9
1318,416.9
1319,471.9
1320,366.9
1321,420.0
1322,285.0
1323,376.9
1324,475.0
1325,506.9
1326,285.0
1327,291.9
1328,326.9
1329,498.8
1330,351.9
1331,295.0
1332,366.9
1333,471.9
1334,386.9
1335,405.0
1336,366.9
1337,480.0
1338,465.0
1339,355.0
1340,321.9
1341,415.0
1342,406.9
1343,315.0
1344,416.9
1345,376.9
1346,465.0
1347,490.0
1348,375.0
1349,380.0
1350,490.0
1351,293.8
1352,376.9
1353,450.0
1354,265.0
1355,411.9
1356,450.0
1357,420.0
1358,380.0
1359,475.0
1360,516.9
1361,461.9
1362,416.9
1363,360.0
1364,335.0
1365,335.70000000000005
1366,520.0
1367,445.0
1368,415.0
1369,210.0
1370,321.9
1371,675.0
1372,510.0
1373,386.9
1374,363.8
1375,450.0
1376,441.9
1377,366.9
1378,335.0
1379,403.8
1380,425.0
1381,445.0
1382,436.9
1383,530.0
1384,370.0
1385,468.8
1386,450.0
1387,470.0
1388,496.9
1389,363.8
1390,385.0
1391,420.0
1392,500.0
1393,416.9
1394,480.0
1395,330.0
1396,270.0
1397,370.0
1398,406.9
1399,465.0
1400,276.9
1401,380.0
1402,455.0
1403,251.9
1404,330.0
1405,268.8
1406,500.0
1407,330.0
1408,366.9
1409,353.8
1410,365.0
1411,330.0
1412,466.9
1413,465.0
1414,370.0
1415,315.0
1416,413.8
1417,410.0
1418,406.9
1419,475.0
1420,498.8
1421,390.0
1422,370.0
1423,391.9
1424,356.9
1425,285.0
1426,425.0
1427,400.0
1428,291.9
1429,395.0
1430,375.0
1431,380.0
1432,415.0
1433,390.0
1434,355.0
1435,405.0
1436,370.0
1437,310.0
1438,345.0
1439,335.0
1440,491.9
1441,475.0
1442,380.0
1443,316.9
1444,305.0
1445,410.0
1446,416.9
1447,461.9
1448,375.0
1449,365.0
1450,268.8
1451,490.0
1452,370.0
1453,395.0
1454,421.9
1455,381.9
1456,610.0
1457,431.9
1458,455.0
1459,345.0
1460,395.0
1461,395.0
1462,450.0
1463,415.0
1464,475.0
1465,421.9
1466,420.0
1467,446.9
1468,416.9
1469,401.9
1470,441.9
1471,411.9
1472,455.0
1473,376.9
1474,376.9
1475,435.0
1476,542.6
1477,391.9
1478,500.0
1479,425.0
1480,425.0
1481,435.0
1482,590.0
1483,380.0
1484,315.0
1485,370.0
1486,316.9
1487,375.0
1488,480.0
1489,421.9
1490,416.9
1491,376.9
1492,421.9
1493,340.0
1494,391.9
1495,376.9
1496,465.0
1497,380.0
1498,465.0
1499,345.0
1500,380.0
1501,646.9
1502,543.8
1503,395.0
1504,430.0
1505,281.9
1506,301.9
1507,305.0
1508,400.0
1509,346.9
1510,355.0
1511,370.0
1512,378.8
1513,383.8
1514,456.9
1515,356.9
1516,330.0
1517,510.0
1518,380.0
1519,271.9
1520,370.0
1521,465.0
1522,410.0
1523,441.9
1524,321.9
1525,415.0
1526,490.0
1527,275.0
1528,430.0
1529,380.0
1530,506.9
1531,620.0
1532,336.9
1533,438.8
1534,396.9
1535,370.0
1536,378.8
1537,485.0
1538,366.9
1539,485.0
1540,445.0
1541,316.9
1542,406.9
1543,441.9
1544,330.0
1545,431.9
1546,358.8
1547,331.9
1548,310.0
1549,390.0
1550,453.8
1551,481.9
1552,476.9
1553,345.0
1554,420.0
1555,420.0
1556,370.0
1557,493.8
1558,335.0
1559,355.0
1560,405.0
1561,446.9
1562,340.0
1563,411.9
1564,295.0
1565,381.9
1566,461.9
1567,395.0
1568,546.9
1569,318.8
1570,515.0
1571,500.0
1572,416.9
1573,380.0
1574,391.9
1575,275.0
1576,366.9
1577,375.0
1578,350.0
1579,353.8
1580,376.9
1581,378.8
1582,406.9
1583,381.9
1584,376.9
1585,341.9
1586,366.9
1587,450.0
1588,345.0
1589,375.0
1590,355.0
1591,373.8
1592,380.0
1593,428.0
1594,345.0
1595,506.9
1596,370.0
1597,415.0
1598,330.0
1599,265.0
1600,395.0
1601,401.9
1602,416.9
1603,406.9
1604,446.9
1605,428.8
1606,306.9
1607,411.9
1608,415.0
1609,419.9
1610,461.9
1611,366.9
1612,366.9
1613,340.0
1614,440.0
1615,405.0
1616,370.0
1617,375.0
1618,416.9
1619,511.9
1620,366.9
1621,371.9
1622,405.0
1623,265.0
1624,471.9
1625,520.0
1626,250.0
1627,471.9
1628,476.9
1629,455.0
1630,401.9
1631,390.0
1632,480.0
1633,400.0
1634,411.9
1635,416.9
1636,356.9
1637,441.9
1638,415.0
1639,380.0
1640,338.8
1641,375.0
1642,465.0
1643,405.0
1644,440.0
1645,330.0
1646,376.9
1647,405.0
1648,515.0
1649,370.0
1650,380.0
1651,335.0
1652,356.9
1653,621.9
1654,290.0
1655,375.0
1656,400.0
1657,465.0
1658,451.9
1659,435.0
1660,335.0
1661,366.9
1662,405.0
1663,521.9
1664,411.9
1665,306.9
1666,403.8
1667,401.9
1668,255.0
1669,500.0
1670,391.9
1671,425.0
1672,486.9
1673,410.0
1674,360.0
1675,366.9
1676,471.9
1677,313.8
1678,435.0
1679,391.9
1680,475.0
1681,465.0
1682,471.9
1683,225.0
1684,330.0
1685,295.0
1686,441.9
1687,455.0
1688,340.0
1689,475.0
1690,356.9
1691,465.0
1692,366.9
1693,346.9
1694,416.9
1695,245.0
1696,455.0
1697,310.0
1698,345.0
1699,515.0
1700,320.0
1701,470.0
1702,330.0
1703,406.9
1704,403.8
1705,290.0
1706,404.9
1707,366.9
1708,455.0
1709,385.0
1710,380.0
1711,380.0
1712,620.0
1713,510.0
1714,370.0
1715,381.9
1716,420.0
1717,453.8
1718,406.9
1719,400.70000000000005
1720,375.0
1721,455.0
1722,540.0
1723,370.0
1724,461.9
1725,395.0
1726,363.8
1727,485.70000000000005
1728,366.9
1729,476.9
1730,455.0
1731,356.9
1732,521.9
1733,401.9
1734,395.0
1735,330.0
1736,380.0
1737,406.9
1738,405.0
1739,410.0
1740,370.0
1741,475.0
1742,281.9
1743,481.9
1744,461.9
1745,330.0
1746,400.0
1747,383.8
1748,400.0
1749,470.0
1750,410.0
1751,441.9
1752,350.0
1753,490.0
1754,469.5
1755,370.0
1756,450.0
1757,391.9
1758,343.8
1759,511.9
1760,550.0
1761,416.9
1762,300.0
1763,410.0
1764,363.8
1765,330.0
1766,510.0
1767,588.8
1768,471.9
1769,461.9
1770,441.9
1771,363.8
1772,311.9
1773,421.9
1774,460.0
1775,351.9
1776,455.0
1777,331.9
1778,495.0
1779,371.9
1780,395.0
1781,325.0
1782,351.9
1783,455.0
1784,405.0
1785,391.9
1786,411.9
1787,430.0
1788,471.9
1789,366.9
1790,395.0
1791,473.8
1792,380.0
1793,400.0
1794,386.9
1795,413.0
1796,383.0
1797,425.0
1798,370.0
1799,376.9
1800,420.0
1801,506.9
1802,391.9
1803,378.8
1804,386.9
1805,290.0
1806,415.0
1807,475.0
1808,380.0
1809,466.9
1810,370.0
1811,285.0
1812,430.0
1813,271.9
1814,261.9
1815,380.0
1816,211.9
1817,390.0
1818,376.9
1819,416.9
1820,366.9
1821,438.8
1822,590.0
1823,341.9
1824,380.0
1825,401.9
1826,405.0
1827,380.0
1828,401.9
1829,366.9
1830,376.9
1831,421.9
1832,448.8
1833,396.9
1834,441.9
1835,378.0
1836,295.0
1837,351.9
1838,380.0
1839,341.9
1840,416.9
1841,330.0
1842,510.0
1843,395.70000000000005
1844,530.0
1845,391.9
1846,485.70000000000005
1847,406.9
1848,350.0
1849,363.8
1850,375.0
1851,366.9
1852,405.0
1853,378.8
1854,321.9
1855,260.0
1856,395.0
1857,425.0
1858,356.9
1859,476.9
1860,465.0
1861,395.0
1862,476.9
1863,455.0
1864,523.8
1865,445.0
1866,335.0
1867,400.0
1868,550.0
1869,498.8
1870,490.0
1871,391.9
1872,460.0
1873,415.0
1874,365.0
1875,321.9
1876,466.9
1877,441.9
1878,455.0
1879,366.9
1880,376.9
1881,386.9
1882,425.0
1883,371.9
1884,403.8
1885,496.9
1886,365.0
1887,461.9
1888,285.0
1889,330.0
1890,416.9
1891,491.9
1892,461.9
1893,376.9
1894,270.0
1895,430.70000000000005
1896,468.8
1897,455.0
1898,393.8
1899,420.0
1900,380.0
1901,523.8
1902,316.9
1903,381.9
1904,366.9
1905,375.0
1906,455.0
1907,506.9
1908,441.9
1909,376.9
1910,295.0
1911,316.9
1912,458.8
1913,298.8
1914,375.0
1915,210.0
1916,509.9
1917,365.0
1918,375.0
1919,445.0
1920,455.0
1921,288.8
1922,415.0
1923,180.0
1924,493.8
1925,410.0
1926,420.0
1927,403.8
1928,380.0
1929,396.9
1930,470.0
1931,406.9
1932,400.0
1933,381.9
1934,365.0
1935,250.0
1936,200.0
1937,455.0
1938,375.0
1939,455.0
1940,396.9
1941,465.0
1942,401.9
1943,495.0
1944,305.0
1945,310.0
1946,411.9
1947,461.9
1948,423.0
1949,403.8
1950,530.0
1951,435.0
1952,450.0
1953,370.0
1954,375.0
1955,525.0
1956,445.0
1957,335.0
1958,391.9
1959,486.9
1960,330.0
1961,415.0
1962,300.0
1963,415.0
1964,330.0
1965,381.9
1966,340.0
1967,291.9
1968,375.0
1969,455.0
1970,380.0
1971,553.8
1972,471.9
1973,395.0
1974,483.8
1975,395.0
1976,441.9
1977,366.9
1978,405.0
1979,530.0
1980,380.0
1981,310.0
1982,451.9
1983,441.9
1984,485.0
1985,405.0
1986,366.9
1987,555.0
1988,376.9
1989,536.9
1990,455.0
1991,356.9
1992,435.0
1993,363.8
1994,416.9
1995,363.8
1996,366.9
1997,411.9
1998,416.9
1999,300.0
2000,495.0
2001,391.9
2002,441.9
2003,346.9
2004,338.8
2005,376.9
2006,370.0
2007,466.9
2008,316.9
2009,383.8
2010,451.9
2011,495.0
2012,361.9
2013,366.9
2014,370.0
2015,505.0
2016,366.9
2017,345.0
2018,360.0
2019,315.0
2020,355.0
2021,533.8
2022,338.8
2023,391.9
2024,373.8
2025,468.8
2026,455.0
2027,475.0
2028,300.0
2029,433.8
2030,155.0
2031,431.9
2032,351.9
2033,465.0
2034,445.0
2035,430.0
2036,385.0
2037,435.0
2038,361.9
2039,320.0
2040,410.0
2041,480.0
2042,236.9
2043,428.8
2044,456.9
2045,370.0
2046,390.0
2047,248.8
2048,430.0
2049,500.0
2050,455.0
2051,350.0
2052,265.0
2053,496.9
2054,441.9
2055,345.0
2056,310.0
2057,290.0
2058,420.0
2059,380.0
2060,455.0
2061,425.0
2062,381.9
2063,511.9
2064,360.0
2065,420.0
2066,410.0
2067,471.9
2068,366.9
2069,410.0
2070,380.0
2071,355.0
2072,575.0
2073,326.9
2074,385.0
2075,486.9
2076,420.0
2077,420.0
2078,200.0
2079,410.0
2080,411.9
2081,350.0
2082,395.0
2083,391.9
2084,435.0
2085,306.9
2086,335.0
2087,370.0
2088,431.9
2089,356.9
2090,360.0
2091,301.9
2092,376.9
2093,391.9
2094,300.0
2095,290.0
2096,450.0
2097,415.0
2098,405.0
2099,351.9
2100,435.0
2101,350.0
2102,335.0
2103,416.9
2104,405.0
2105,396.9
2106,375.0
2107,321.9
2108,420.0
2109,330.0
2110,370.0
2111,456.9
2112,251.9
2113,310.0
2114,426.9
2115,380.0
2116,345.0
2117,370.0
2118,416.9
2119,364.9
2120,455.0
2121,410.0
2122,281.9
2123,370.0
2124,405.0
2125,410.0
2126,380.70000000000005
2127,391.9
2128,318.8
2129,346.9
