,p2_sum_atk_last
378,440.0
379,350.0
380,596.8
381,530.0
382,478.9
383,478.9
384,460.0
385,395.0
386,461.70000000000005
387,405.0
388,470.0
389,405.0
390,333.9
391,463.9
392,415.0
393,557.9
394,355.0
395,478.9
396,420.0
397,340.0
398,405.0
399,438.9
400,513.9
401,410.0
402,473.9
403,335.0
404,398.9
405,462.8
406,373.9
407,405.0
408,408.9
409,425.0
410,475.0
411,403.9
412,527.9
413,470.0
414,283.9
415,519.0
416,470.0
417,205.0
418,323.9
419,455.0
420,390.0
421,465.0
422,445.0
423,435.0
424,435.0
425,404.0
426,533.9
427,333.9
428,458.9
429,445.0
430,335.0
431,380.0
432,435.0
433,473.9
434,544.0
435,452.8
436,450.0
437,360.0
438,430.0
439,474.0
440,498.9
441,505.0
442,493.9
443,463.9
444,420.0
445,468.9
446,440.0
447,403.9
448,470.0
449,442.8
450,468.9
451,495.0
452,395.0
453,525.0
454,435.0
455,420.0
456,485.0
457,410.0
458,416.70000000000005
459,428.9
460,473.9
461,435.0
462,290.0
463,448.9
464,418.9
465,425.0
466,474.0
467,443.9
468,240.0
469,458.9
470,380.0
471,498.9
472,410.0
473,333.9
474,370.0
475,537.8
476,450.0
477,443.9
478,375.0
479,323.9
480,438.9
481,345.0
482,426.8
483,425.0
484,457.8
485,367.9
486,498.9
487,513.9
488,350.0
489,393.9
490,453.9
491,543.9
492,413.9
493,463.9
494,450.0
495,260.0
496,298.9
497,515.0
498,450.0
499,360.0
500,438.9
501,445.0
502,530.0
503,265.0
504,405.0
505,518.9
506,503.9
507,440.0
508,360.0
509,475.0
510,452.8
511,375.0
512,340.0
513,380.0
514,422.8
515,493.9
516,455.0
517,515.0
518,405.0
519,530.0
520,323.9
521,435.0
522,360.0
523,470.0
524,250.0
525,448.9
526,543.9
527,478.9
528,445.0
529,458.9
530,425.0
531,465.0
532,427.8
533,340.0
534,325.0
535,443.9
536,400.0
537,515.0
538,485.0
539,435.0
540,488.9
541,513.9
542,464.0
543,407.8
544,520.0
545,553.9
546,445.0
547,513.9
548,435.0
549,502.8
550,423.9
551,420.0
552,470.0
553,405.0
554,435.0
555,367.8
556,538.0
557,470.0
558,380.0
559,445.0
560,520.0
561,450.0
562,313.9
563,443.9
564,524.5
565,428.9
566,470.0
567,418.9
568,360.0
569,453.9
570,458.9
571,478.9
572,330.0
573,485.0
574,435.8
575,325.0
576,435.0
577,418.9
578,393.9
579,440.0
580,245.0
581,413.9
582,425.0
583,515.0
584,400.0
585,515.0
586,403.9
587,428.9
588,488.9
589,403.9
590,513.9
591,447.8
592,450.0
593,355.0
594,450.0
595,348.9
596,491.70000000000005
597,470.0
598,483.9
599,345.0
600,403.9
601,435.0
602,370.0
603,535.0
604,455.0
605,515.0
606,548.9
607,468.9
608,347.8
609,410.0
610,458.9
611,425.0
612,477.8
613,368.9
614,450.0
615,575.0
616,490.0
617,355.0
618,455.0
619,440.0
620,485.0
621,435.0
622,477.8
623,380.0
624,609.0
625,515.0
626,448.9
627,240.0
628,335.0
629,528.9
630,423.9
631,340.0
632,428.9
633,400.0
634,363.9
635,508.9
636,353.9
637,435.0
638,535.0
639,380.0
640,515.0
641,387.8
642,508.9
643,433.9
644,317.8
645,380.0
646,330.0
647,423.9
648,418.9
649,385.0
650,500.0
651,475.0
652,568.9
653,323.9
654,360.0
655,501.8
656,473.9
657,515.0
658,440.0
659,505.0
660,413.9
661,373.9
662,480.0
663,580.0
664,458.9
665,483.9
666,490.0
667,470.0
668,493.9
669,495.0
670,438.9
671,445.0
672,388.9
673,435.0
674,365.0
675,485.0
676,485.0
677,518.9
678,468.9
679,478.9
680,555.0
681,430.0
682,555.0
683,515.0
684,468.9
685,360.0
686,470.0
687,515.0
688,315.0
689,433.9
690,318.9
691,410.0
692,380.0
693,535.0
694,443.9
695,425.0
696,489.0
697,528.9
698,383.9
699,380.0
700,458.9
701,323.9
702,420.0
703,405.0
704,498.9
705,458.9
706,370.0
707,400.0
708,343.9
709,465.0
710,285.0
711,472.8
712,457.8
713,478.9
714,420.0
715,410.0
716,490.0
717,468.9
718,430.0
719,453.9
720,575.0
721,475.0
722,488.9
723,393.9
724,388.9
725,448.9
726,490.0
727,435.0
728,495.0
729,263.9
730,418.9
731,425.0
732,448.9
733,532.8
734,448.9
735,450.0
736,513.9
737,465.0
738,534.0
739,462.8
740,455.0
741,350.0
742,418.9
743,423.9
744,442.8
745,465.0
746,458.9
747,445.0
748,452.8
749,490.0
750,506.8
751,423.9
752,443.9
753,440.0
754,371.4
755,418.9
756,450.0
757,450.0
758,343.9
759,405.0
760,468.9
761,435.0
762,515.0
763,487.8
764,358.9
765,423.9
766,393.9
767,443.9
768,328.9
769,582.8
770,490.0
771,383.9
772,515.0
773,515.0
774,450.0
775,498.9
776,287.8
777,493.9
778,442.8
779,500.0
780,500.0
781,488.9
782,450.0
783,530.0
784,433.9
785,486.70000000000005
786,498.9
787,573.9
788,340.0
789,435.0
790,428.9
791,403.9
792,440.0
793,459.0
794,450.0
795,460.0
796,435.0
797,452.8
798,475.0
799,433.9
800,402.8
801,444.0
802,460.0
803,455.0
804,458.9
805,480.0
806,423.9
807,435.0
808,535.0
809,410.0
810,393.9
811,450.0
812,444.0
813,415.0
814,385.0
815,515.0
816,571.7
817,470.0
818,593.9
819,335.0
820,423.9
821,408.9
822,405.0
823,530.0
824,520.6
825,393.9
826,435.0
827,490.0
828,435.0
829,315.0
830,430.0
831,380.0
832,418.9
833,443.9
834,433.9
835,442.8
836,508.9
837,467.8
838,375.0
839,420.0
840,498.9
841,443.9
842,554.0
843,550.0
844,405.0
845,535.0
846,373.9
847,450.0
848,295.0
849,523.9
850,443.9
851,420.0
852,490.0
853,528.9
854,522.8
855,435.0
856,320.0
857,478.9
858,499.0
859,345.0
860,450.0
861,270.0
862,455.0
863,358.9
864,357.8
865,430.0
866,515.0
867,433.9
868,433.9
869,555.0
870,486.8
871,488.9
872,450.0
873,525.0
874,425.0
875,470.0
876,470.0
877,527.8
878,515.0
879,373.9
880,503.9
881,363.9
882,490.0
883,583.9
884,410.0
885,380.0
886,545.0
887,415.0
888,468.9
889,495.0
890,435.0
891,435.0
892,415.0
893,428.9
894,360.0
895,516.7
896,425.0
897,450.0
898,432.8
899,443.9
900,375.0
901,468.9
902,473.9
903,530.0
904,604.0
905,400.0
906,253.9
907,440.0
908,400.0
909,450.0
910,455.0
911,455.0
912,490.0
913,448.9
914,468.9
915,470.0
916,408.9
917,430.0
918,417.9
919,507.8
920,315.0
921,545.0
922,438.9
923,470.0
924,413.9
925,455.0
926,481.70000000000005
927,330.0
928,368.9
929,433.9
930,470.0
931,540.0
932,583.9
933,225.0
934,423.9
935,435.0
936,435.6
937,473.9
938,405.0
939,540.0
940,432.8
941,475.0
942,515.0
943,458.9
944,488.9
945,360.0
946,425.0
947,465.0
948,348.9
949,465.0
950,427.8
951,468.9
952,360.0
953,370.0
954,477.9
955,435.0
956,440.0
957,543.9
958,515.0
959,435.0
960,475.0
961,374.0
962,510.0
963,420.0
964,450.0
965,355.0
966,453.9
967,495.0
968,505.0
969,370.0
970,467.8
971,468.9
972,468.9
973,490.0
974,515.0
975,410.0
976,470.0
977,353.9
978,348.9
979,430.0
980,443.9
981,453.9
982,427.8
983,410.0
984,487.8
985,418.9
986,443.9
987,450.0
988,438.9
989,355.0
990,390.0
991,525.0
992,445.0
993,338.9
994,428.9
995,450.0
996,305.0
997,468.9
998,428.9
999,388.9
1000,410.0
1001,343.9
1002,445.0
1003,423.9
1004,320.0
1005,564.0
1006,515.0
1007,513.9
1008,363.9
1009,355.0
1010,423.9
1011,510.0
1012,373.9
1013,392.8
1014,375.0
1015,518.9
1016,544.0
1017,450.0
1018,393.9
1019,522.8
1020,523.9
1021,418.9
1022,423.9
1023,465.0
1024,430.0
1025,490.0
1026,435.0
1027,450.0
1028,495.0
1029,450.0
1030,443.9
1031,433.9
1032,445.0
1033,515.0
1034,435.0
1035,418.9
1036,418.9
1037,388.9
1038,438.9
1039,473.9
1040,582.9
1041,375.0
1042,453.9
1043,140.0
1044,452.8
1045,305.0
1046,225.0
1047,445.0
1048,510.0
1049,400.0
1050,510.0
1051,375.0
1052,260.0
1053,400.0
1054,453.9
1055,370.0
1056,478.9
1057,585.0
1058,427.8
1059,345.0
1060,450.0
1061,323.9
1062,360.0
1063,340.0
1064,478.9
1065,375.0
1066,423.9
1067,435.0
1068,445.0
1069,532.8
1070,482.9
1071,425.0
1072,427.8
1073,514.0
1074,323.9
1075,393.9
1076,477.9
1077,323.9
1078,443.9
1079,473.9
1080,515.0
1081,450.0
1082,460.0
1083,468.9
1084,470.0
1085,468.9
1086,375.0
1087,450.0
1088,427.8
1089,443.9
1090,445.0
1091,435.0
1092,315.0
1093,515.0
1094,485.0
1095,418.9
1096,422.8
1097,357.9
1098,490.0
1099,465.0
1100,343.9
1101,405.0
1102,340.0
1103,355.0
1104,360.0
1105,513.9
1106,368.9
1107,478.9
1108,424.0
1109,400.0
1110,525.0
1111,405.0
1112,418.9
1113,435.0
1114,340.0
1115,350.0
1116,515.0
1117,505.0
1118,595.0
1119,445.0
1120,395.0
1121,403.9
1122,453.9
1123,528.9
1124,370.0
1125,458.9
1126,340.0
1127,515.0
1128,395.0
1129,360.0
1130,300.0
1131,450.0
1132,430.0
1133,325.0
1134,450.0
1135,485.0
1136,450.0
1137,390.0
1138,400.0
1139,418.9
1140,360.0
1141,395.0
1142,433.9
1143,418.9
1144,458.9
1145,485.0
1146,407.8
1147,355.0
1148,335.0
1149,475.0
1150,338.9
1151,468.9
1152,445.0
1153,498.9
1154,380.0
1155,542.8
1156,442.8
1157,460.0
1158,435.0
1159,560.0
1160,510.0
1161,385.0
1162,579.0
1163,373.9
1164,468.9
1165,478.9
1166,507.8
1167,430.0
1168,438.9
1169,467.9
1170,460.0
1171,390.0
1172,417.8
1173,458.9
1174,460.0
1175,413.9
1176,460.0
1177,350.0
1178,405.0
1179,453.9
1180,377.8
1181,450.0
1182,308.9
1183,435.0
1184,433.9
1185,450.0
1186,468.9
1187,515.0
1188,393.9
1189,438.9
1190,357.8
1191,500.0
1192,413.9
1193,452.8
1194,323.9
1195,479.0
1196,440.0
1197,450.0
1198,325.0
1199,535.0
1200,485.0
1201,498.9
1202,430.0
1203,287.8
1204,468.9
1205,385.0
1206,513.9
1207,430.0
1208,417.8
1209,450.0
1210,475.0
1211,610.0
1212,525.0
1213,467.8
1214,283.9
1215,428.9
1216,478.9
1217,452.8
1218,455.0
1219,450.0
1220,438.9
1221,313.9
1222,560.0
1223,368.9
1224,470.0
1225,473.9
1226,435.0
1227,333.9
1228,468.9
1229,315.0
1230,438.9
1231,433.9
1232,413.9
1233,513.9
1234,495.0
1235,450.0
1236,523.9
1237,445.0
1238,360.0
1239,385.0
1240,487.8
1241,468.9
1242,465.0
1243,410.0
1244,495.0
1245,330.0
1246,428.9
1247,515.0
1248,435.0
1249,568.9
1250,388.9
1251,398.9
1252,498.9
1253,564.0
1254,470.0
1255,510.0
1256,468.9
1257,494.0
1258,445.0
1259,503.9
1260,413.9
1261,525.0
1262,490.0
1263,450.0
1264,490.0
1265,480.0
1266,427.8
1267,450.0
1268,435.0
1269,450.0
1270,343.9
1271,413.9
1272,285.0
1273,468.9
1274,468.9
1275,445.0
1276,443.9
1277,435.0
1278,450.0
1279,445.0
1280,367.8
1281,410.0
1282,370.0
1283,360.0
1284,490.0
1285,423.9
1286,418.9
1287,460.0
1288,383.9
1289,541.7
1290,417.8
1291,485.0
1292,285.0
1293,390.0
1294,468.9
1295,432.8
1296,413.9
1297,430.0
1298,528.9
1299,527.8
1300,448.9
1301,388.9
1302,578.9
1303,485.0
1304,498.9
1305,435.0
1306,529.5
1307,422.8
1308,413.9
1309,330.0
1310,468.9
1311,490.0
1312,360.0
1313,420.0
1314,423.9
1315,428.9
1316,458.9
1317,468.9
1318,468.9
1319,458.9
1320,443.9
1321,475.0
1322,335.0
1323,443.9
1324,510.0
1325,438.9
1326,340.0
1327,323.9
1328,308.9
1329,427.8
1330,358.9
1331,340.0
1332,418.9
1333,443.9
1334,482.9
1335,470.0
1336,418.9
1337,470.0
1338,490.0
1339,405.0
1340,348.9
1341,485.0
1342,458.9
1343,320.0
1344,468.9
1345,428.9
1346,415.0
1347,470.0
1348,390.0
1349,435.0
1350,485.0
1351,347.8
1352,443.9
1353,450.0
1354,325.0
1355,478.9
1356,425.0
1357,475.0
1358,435.0
1359,535.0
1360,498.9
1361,443.9
1362,468.9
1363,355.0
1364,385.0
1365,351.70000000000005
1366,505.0
1367,475.0
1368,490.0
1369,265.0
1370,363.9
1371,575.0
1372,570.0
1373,408.9
1374,427.8
1375,425.0
1376,498.9
1377,418.9
1378,385.0
1379,452.8
1380,380.0
1381,454.0
1382,488.9
1383,530.0
1384,450.0
1385,537.8
1386,525.0
1387,430.0
1388,473.9
1389,402.8
1390,445.0
1391,475.0
1392,490.0
1393,468.9
1394,495.0
1395,375.0
1396,290.0
1397,435.0
1398,458.9
1399,495.0
1400,333.9
1401,435.0
1402,515.0
1403,268.9
1404,390.0
1405,332.8
1406,495.0
1407,410.0
1408,443.9
1409,427.8
1410,355.0
1411,395.0
1412,453.9
1413,435.0
1414,420.0
1415,325.0
1416,417.8
1417,495.0
1418,473.9
1419,420.0
1420,452.8
1421,460.0
1422,450.0
1423,468.9
1424,423.9
1425,340.0
1426,470.0
1427,485.0
1428,323.9
1429,465.0
1430,445.0
1431,435.0
1432,485.0
1433,405.0
1434,395.0
1435,450.0
1436,420.0
1437,335.0
1438,370.0
1439,380.0
1440,408.9
1441,535.0
1442,450.0
1443,373.9
1444,325.0
1445,440.0
1446,463.9
1447,448.9
1448,445.0
1449,445.0
1450,332.8
1451,470.0
1452,435.0
1453,500.0
1454,393.9
1455,373.9
1456,575.0
1457,443.9
1458,515.0
1459,425.0
1460,450.0
1461,450.0
1462,510.0
1463,420.0
1464,455.0
1465,453.9
1466,475.0
1467,438.9
1468,468.9
1469,368.9
1470,383.9
1471,448.9
1472,515.0
1473,443.9
1474,423.9
1475,510.0
1476,480.6
1477,458.9
1478,485.0
1479,470.0
1480,387.5
1481,525.0
1482,550.0
1483,450.0
1484,340.0
1485,395.0
1486,358.9
1487,445.0
1488,400.0
1489,403.9
1490,483.9
1491,443.9
1492,483.9
1493,305.0
1494,473.9
1495,388.9
1496,520.0
1497,435.0
1498,475.0
1499,355.0
1500,435.0
1501,573.9
1502,577.8
1503,420.0
1504,469.0
1505,323.9
1506,333.9
1507,325.0
1508,415.0
1509,368.9
1510,365.0
1511,450.0
1512,442.8
1513,392.8
1514,547.9
1515,388.9
1516,395.0
1517,445.0
1518,439.0
1519,338.9
1520,435.0
1521,450.0
1522,460.0
1523,498.9
1524,383.9
1525,490.0
1526,430.0
1527,300.0
1528,465.0
1529,450.0
1530,542.9
1531,599.0
1532,363.9
1533,507.8
1534,498.9
1535,440.0
1536,442.8
1537,445.0
1538,418.9
1539,445.0
1540,430.0
1541,373.9
1542,413.9
1543,468.9
1544,410.0
1545,503.9
1546,402.8
1547,393.9
1548,375.0
1549,375.0
1550,522.8
1551,543.9
1552,453.9
1553,430.0
1554,475.0
1555,475.0
1556,440.0
1557,562.8
1558,360.0
1559,425.0
1560,490.0
1561,503.9
1562,415.0
1563,393.9
1564,360.0
1565,433.9
1566,518.9
1567,435.0
1568,493.9
1569,357.8
1570,480.0
1571,455.0
1572,468.9
1573,435.0
1574,418.9
1575,315.0
1576,443.9
1577,445.0
1578,375.0
1579,427.8
1580,443.9
1581,422.8
1582,458.9
1583,448.9
1584,443.9
1585,388.9
1586,433.9
1587,505.0
1588,410.0
1589,445.0
1590,489.0
1591,432.8
1592,435.0
1593,504.0
1594,370.0
1595,543.9
1596,450.0
1597,490.0
1598,340.0
1599,295.0
1600,500.0
1601,478.9
1602,483.9
1603,458.9
1604,488.9
1605,507.8
1606,328.9
1607,478.9
1608,485.0
1609,402.9
1610,503.9
1611,418.9
1612,418.9
1613,305.0
1614,485.0
1615,470.0
1616,450.0
1617,445.0
1618,488.9
1619,528.9
1620,443.9
1621,438.9
1622,435.0
1623,300.0
1624,528.9
1625,455.0
1626,305.0
1627,388.9
1628,597.9
1629,515.0
1630,473.9
1631,460.0
1632,495.0
1633,505.0
1634,478.9
1635,448.9
1636,348.9
1637,498.9
1638,425.0
1639,450.0
1640,342.8
1641,445.0
1642,495.0
1643,435.0
1644,400.0
1645,355.0
1646,443.9
1647,470.0
1648,560.0
1649,425.0
1650,435.0
1651,385.0
1652,418.9
1653,568.9
1654,355.0
1655,430.0
1656,410.0
1657,505.0
1658,523.9
1659,495.0
1660,380.0
1661,423.9
1662,435.0
1663,583.9
1664,463.9
1665,378.9
1666,452.8
1667,473.9
1668,330.0
1669,480.0
1670,403.9
1671,355.0
1672,507.9
1673,465.0
1674,459.0
1675,443.9
1676,488.9
1677,367.8
1678,430.0
1679,453.9
1680,470.0
1681,450.0
1682,528.9
1683,280.0
1684,410.0
1685,340.0
1686,498.9
1687,450.0
1688,325.0
1689,455.0
1690,383.9
1691,574.0
1692,438.9
1693,363.9
1694,468.9
1695,295.0
1696,515.0
1697,370.0
1698,405.0
1699,610.0
1700,340.0
1701,545.0
1702,410.0
1703,458.9
1704,452.8
1705,350.0
1706,392.9
1707,443.9
1708,515.0
1709,395.0
1710,450.0
1711,435.0
1712,570.0
1713,440.0
1714,450.0
1715,433.9
1716,475.0
1717,536.8
1718,423.9
1719,461.70000000000005
1720,430.0
1721,515.0
1722,480.0
1723,440.0
1724,503.9
1725,445.0
1726,427.8
1727,525.7
1728,443.9
1729,433.9
1730,485.0
1731,403.9
1732,528.9
1733,478.9
1734,450.0
1735,410.0
1736,450.0
1737,433.9
1738,470.0
1739,460.0
1740,430.0
1741,435.0
1742,323.9
1743,373.9
1744,418.9
1745,380.0
1746,485.0
1747,407.8
1748,385.0
1749,550.0
1750,325.0
1751,433.9
1752,380.0
1753,450.0
1754,484.5
1755,440.0
1756,510.0
1757,418.9
1758,357.8
1759,468.9
1760,590.0
1761,468.9
1762,375.0
1763,445.0
1764,427.8
1765,410.0
1766,590.0
1767,591.8
1768,488.9
1769,518.9
1770,443.9
1771,427.8
1772,313.9
1773,408.9
1774,520.0
1775,413.9
1776,515.0
1777,373.9
1778,555.0
1779,438.9
1780,450.0
1781,400.0
1782,413.9
1783,515.0
1784,435.0
1785,458.9
1786,408.9
1787,465.0
1788,533.9
1789,418.9
1790,465.0
1791,507.8
1792,435.0
1793,385.0
1794,393.9
1795,484.0
1796,414.0
1797,469.0
1798,420.0
1799,423.9
1800,450.0
1801,468.9
1802,403.9
1803,447.8
1804,393.9
1805,320.0
1806,470.0
1807,495.0
1808,494.0
1809,498.9
1810,420.0
1811,355.0
1812,505.0
1813,343.9
1814,353.9
1815,450.0
1816,263.9
1817,494.0
1818,428.9
1819,468.9
1820,418.9
1821,507.8
1822,525.0
1823,408.9
1824,435.0
1825,473.9
1826,435.0
1827,450.0
1828,453.9
1829,403.9
1830,343.9
1831,443.9
1832,487.8
1833,478.9
1834,468.9
1835,438.0
1836,360.0
1837,423.9
1838,435.0
1839,408.9
1840,468.9
1841,410.0
1842,485.0
1843,381.70000000000005
1844,435.0
1845,458.9
1846,471.70000000000005
1847,458.9
1848,360.0
1849,427.8
1850,370.0
1851,433.9
1852,435.0
1853,422.8
1854,368.9
1855,335.0
1856,465.0
1857,400.0
1858,418.9
1859,482.9
1860,495.0
1861,435.0
1862,558.9
1863,485.0
1864,512.8
1865,460.0
1866,400.0
1867,475.0
1868,505.0
1869,472.8
1870,470.0
1871,358.9
1872,455.0
1873,490.0
1874,445.0
1875,363.9
1876,478.9
1877,498.9
1878,515.0
1879,443.9
1880,443.9
1881,468.9
1882,470.0
1883,438.9
1884,467.8
1885,403.9
1886,445.0
1887,438.9
1888,340.0
1889,390.0
1890,448.9
1891,563.9
1892,353.9
1893,443.9
1894,330.0
1895,480.70000000000005
1896,477.8
1897,515.0
1898,452.8
1899,475.0
1900,435.0
1901,512.8
1902,373.9
1903,433.9
1904,443.9
1905,445.0
1906,515.0
1907,558.9
1908,468.9
1909,408.9
1910,340.0
1911,373.9
1912,472.8
1913,297.8
1914,445.0
1915,265.0
1916,532.9
1917,415.0
1918,430.0
1919,430.0
1920,515.0
1921,297.8
1922,420.0
1923,190.0
1924,547.8
1925,425.0
1926,405.0
1927,452.8
1928,450.0
1929,463.9
1930,435.0
1931,448.9
1932,445.0
1933,433.9
1934,445.0
1935,305.0
1936,215.0
1937,515.0
1938,445.0
1939,515.0
1940,408.9
1941,505.0
1942,423.9
1943,505.0
1944,340.0
1945,370.0
1946,463.9
1947,508.9
1948,463.0
1949,452.8
1950,435.0
1951,495.0
1952,510.0
1953,440.0
1954,445.0
1955,475.0
1956,435.0
1957,385.0
1958,473.9
1959,463.9
1960,390.0
1961,470.0
1962,375.0
1963,490.0
1964,410.0
1965,448.9
1966,405.0
1967,348.9
1968,445.0
1969,515.0
1970,435.0
1971,527.8
1972,578.9
1973,420.0
1974,537.8
1975,450.0
1976,498.9
1977,388.9
1978,470.0
1979,540.0
1980,435.0
1981,375.0
1982,507.9
1983,443.9
1984,520.0
1985,509.0
1986,433.9
1987,510.0
1988,443.9
1989,443.9
1990,515.0
1991,418.9
1992,485.0
1993,432.8
1994,468.9
1995,427.8
1996,423.9
1997,418.9
1998,448.9
1999,335.0
2000,385.0
2001,418.9
2002,498.9
2003,428.9
2004,397.8
2005,413.9
2006,445.0
2007,538.9
2008,393.9
2009,392.8
2010,523.9
2011,560.0
2012,413.9
2013,438.9
2014,450.0
2015,480.0
2016,418.9
2017,405.0
2018,445.0
2019,340.0
2020,365.0
2021,472.8
2022,337.8
2023,438.9
2024,437.8
2025,452.8
2026,515.0
2027,535.0
2028,365.0
2029,457.8
2030,205.0
2031,418.9
2032,373.9
2033,495.0
2034,450.0
2035,465.0
2036,400.0
2037,525.0
2038,428.9
2039,390.0
2040,460.0
2041,470.0
2042,273.9
2043,432.8
2044,513.9
2045,435.0
2046,460.0
2047,272.8
2048,520.0
2049,554.0
2050,480.0
2051,400.0
2052,280.0
2053,562.9
2054,498.9
2055,415.0
2056,350.0
2057,335.0
2058,475.0
2059,430.0
2060,515.0
2061,440.0
2062,433.9
2063,488.9
2064,380.0
2065,475.0
2066,455.0
2067,488.9
2068,418.9
2069,485.0
2070,435.0
2071,425.0
2072,490.0
2073,398.9
2074,455.0
2075,418.9
2076,475.0
2077,450.0
2078,255.0
2079,420.0
2080,398.9
2081,390.0
2082,450.0
2083,418.9
2084,435.0
2085,308.9
2086,380.0
2087,450.0
2088,443.9
2089,413.9
2090,465.0
2091,333.9
2092,443.9
2093,398.9
2094,375.0
2095,350.0
2096,505.0
2097,485.0
2098,435.0
2099,373.9
2100,455.0
2101,360.0
2102,360.0
2103,468.9
2104,470.0
2105,438.9
2106,375.0
2107,363.9
2108,475.0
2109,405.0
2110,420.0
2111,513.9
2112,268.9
2113,340.0
2114,388.9
2115,450.0
2116,405.0
2117,435.0
2118,468.9
2119,387.9
2120,510.0
2121,425.0
2122,323.9
2123,435.0
2124,470.0
2125,495.0
2126,381.70000000000005
2127,418.9
2128,357.8
2129,368.9
2130,553.9
2131,425.0
