,p1_sum_atk_last,p2_sum_atk_last
247,329.0,425.0
248,205.0,435.0
249,150.0,425.0
250,260.0,418.9
251,230.0,405.0
252,115.0,536.7
253,270.0,433.9
254,225.0,478.9
255,205.0,285.0
256,185.0,368.9
257,480.0,498.9
258,175.0,480.0
259,240.0,355.0
260,275.0,413.9
261,155.0,455.0
262,190.0,495.0
263,160.0,543.9
264,430.0,408.9
265,355.0,563.9
266,95.0,467.9
267,260.0,495.0
268,250.0,458.9
269,100.0,498.9
270,55.0,588.9
271,105.0,468.9
272,145.0,427.8
273,280.0,427.8
274,430.0,490.0
275,210.0,450.0
276,205.0,405.0
277,190.0,410.0
278,325.0,403.9
279,335.0,505.0
280,50.0,490.0
281,160.0,510.0
282,360.0,418.9
283,185.0,360.0
284,205.0,468.9
285,375.0,407.8
286,140.0,460.0
287,430.0,370.0
288,275.0,470.0
289,265.0,453.9
290,280.0,418.9
291,305.0,355.0
292,210.0,470.0
293,245.0,435.0
294,205.0,410.0
295,180.0,425.0
296,375.0,418.9
297,260.0,450.0
298,195.0,398.9
299,395.0,385.0
300,205.0,450.0
301,315.0,427.8
302,210.0,450.0
303,165.0,453.9
304,150.0,325.0
305,290.0,400.0
306,340.0,433.9
307,355.0,508.9
308,285.0,454.0
309,330.0,385.0
310,245.0,433.9
311,305.0,468.9
312,260.0,433.9
313,355.0,407.8
314,85.0,453.9
315,250.0,418.9
316,50.0,513.9
317,125.0,435.0
318,320.0,450.0
319,185.0,458.9
320,320.0,375.0
321,235.0,470.0
322,300.0,540.0
323,335.0,498.9
324,355.0,355.0
325,0.0,405.0
326,185.0,508.9
327,280.0,457.9
328,330.0,470.0
329,260.0,403.9
330,400.0,445.0
331,250.0,408.9
332,110.0,515.0
333,320.0,505.0
334,110.0,213.9
335,340.0,355.0
336,55.0,470.0
337,435.0,448.9
338,95.0,215.0
339,300.0,358.9
340,165.0,245.0
341,285.0,515.0
342,210.0,605.0
343,250.0,378.9
344,375.0,482.9
345,400.0,470.0
346,285.0,503.9
347,125.0,325.0
348,175.0,448.9
349,260.0,418.9
350,355.0,425.0
351,260.0,443.9
352,200.0,453.9
353,165.0,515.0
354,230.0,343.9
355,270.0,495.0
356,510.0,490.0
357,160.0,465.0
358,100.0,443.9
359,340.0,455.0
360,115.0,428.9
361,320.0,450.0
362,285.0,428.9
363,160.0,468.9
364,150.0,335.0
365,385.0,458.9
366,375.0,445.0
367,5.0,495.0
368,215.0,445.0
369,275.0,427.8
370,120.0,470.0
371,75.0,443.9
372,280.0,410.0
373,165.0,510.0
374,145.0,425.0
375,290.0,488.9
376,175.0,435.0
377,170.0,529.5
378,240.0,440.0
379,55.0,350.0
380,200.0,596.8
381,244.0,530.0
382,310.0,478.9
383,230.0,478.9
384,509.0,460.0
385,175.0,395.0
386,190.0,461.70000000000005
387,180.0,405.0
388,130.0,470.0
389,305.0,405.0
390,335.0,333.9
391,245.0,463.9
392,290.0,415.0
393,360.0,557.9
394,215.0,355.0
395,259.0,478.9
396,215.0,420.0
397,265.0,340.0
398,180.0,405.0
399,105.0,438.9
400,180.0,513.9
401,245.0,410.0
402,210.0,473.9
403,255.0,335.0
404,160.0,398.9
405,400.0,462.8
406,245.0,373.9
407,220.0,405.0
408,305.0,408.9
409,255.0,425.0
410,50.0,475.0
411,195.0,403.9
412,130.0,527.9
413,305.0,470.0
414,190.0,283.9
415,240.0,519.0
416,160.0,470.0
417,215.0,205.0
418,210.0,323.9
419,180.0,455.0
420,265.0,390.0
421,285.0,465.0
422,435.0,445.0
423,435.0,435.0
424,290.0,435.0
425,170.0,404.0
426,285.0,533.9
427,220.0,333.9
428,260.0,458.9
429,275.0,445.0
430,305.0,335.0
431,195.0,380.0
432,450.0,435.0
433,235.0,473.9
434,310.0,544.0
435,190.0,452.8
436,170.0,450.0
437,170.0,360.0
438,195.0,430.0
439,245.0,474.0
440,380.0,498.9
441,385.0,505.0
442,160.0,493.9
443,230.0,463.9
444,145.0,420.0
445,250.0,468.9
446,285.0,440.0
447,95.0,403.9
448,230.0,470.0
449,280.0,442.8
450,295.0,468.9
451,150.0,495.0
452,385.0,395.0
453,210.0,525.0
454,200.0,435.0
455,0.0,420.0
456,55.0,485.0
457,475.0,410.0
458,260.0,416.70000000000005
459,155.0,428.9
460,225.0,473.9
461,335.0,435.0
462,295.0,290.0
463,195.0,448.9
464,205.0,418.9
465,245.0,425.0
466,230.0,474.0
467,190.0,443.9
468,360.0,240.0
469,250.0,458.9
470,105.0,380.0
471,165.0,498.9
472,230.0,410.0
473,180.0,333.9
474,285.0,370.0
475,375.0,537.8
476,65.0,450.0
477,145.0,443.9
478,285.0,375.0
479,230.0,323.9
480,150.0,438.9
481,105.0,345.0
482,140.0,426.8
483,70.0,425.0
484,205.0,457.8
485,100.0,367.9
486,335.0,498.9
487,320.0,513.9
488,200.0,350.0
489,290.0,393.9
490,260.0,453.9
491,264.0,543.9
492,420.0,413.9
493,250.0,463.9
494,5.0,450.0
495,265.0,260.0
496,305.0,298.9
497,430.0,515.0
498,230.0,450.0
499,380.0,360.0
500,300.0,438.9
501,160.0,445.0
502,105.0,530.0
503,210.0,265.0
504,115.0,405.0
505,210.0,518.9
506,340.0,503.9
507,215.0,440.0
508,340.0,360.0
509,395.0,475.0
510,245.0,452.8
511,355.0,375.0
512,125.0,340.0
513,270.0,380.0
514,209.0,422.8
515,275.0,493.9
516,260.0,455.0
517,330.0,515.0
518,285.0,405.0
519,405.0,530.0
520,125.0,323.9
521,275.0,435.0
522,440.0,360.0
523,190.0,470.0
524,90.0,250.0
525,160.0,448.9
526,225.0,543.9
527,280.0,478.9
528,180.0,445.0
529,320.0,458.9
530,445.0,425.0
531,155.0,465.0
532,255.0,427.8
533,220.0,340.0
534,255.0,325.0
535,310.0,443.9
536,205.0,400.0
537,190.0,515.0
538,275.0,485.0
539,160.0,435.0
540,380.0,488.9
541,165.0,513.9
542,100.0,464.0
543,210.0,407.8
544,0.0,520.0
545,180.0,553.9
546,240.0,445.0
547,275.0,513.9
548,155.0,435.0
549,90.0,502.8
550,355.0,423.9
551,230.0,420.0
552,115.0,470.0
553,115.0,405.0
554,355.0,435.0
555,240.0,367.8
556,170.0,538.0
557,390.0,470.0
558,190.0,380.0
559,230.0,445.0
560,290.0,520.0
561,360.0,450.0
562,115.0,313.9
563,285.0,443.9
564,470.0,524.5
565,300.0,428.9
566,260.0,470.0
567,155.0,418.9
568,245.0,360.0
569,315.0,453.9
570,285.0,458.9
571,195.0,478.9
572,115.0,330.0
573,270.0,485.0
574,125.0,435.8
575,200.0,325.0
576,130.0,435.0
577,255.0,418.9
578,305.0,393.9
579,270.0,440.0
580,195.0,245.0
581,220.0,413.9
582,160.0,425.0
583,215.0,515.0
584,295.0,400.0
585,305.0,515.0
586,210.0,403.9
587,330.0,428.9
588,240.0,488.9
589,340.0,403.9
590,340.0,513.9
591,65.0,447.8
592,180.0,450.0
593,105.0,355.0
594,190.0,450.0
595,130.0,348.9
596,145.0,491.70000000000005
597,190.0,470.0
598,335.0,483.9
599,210.0,345.0
600,55.0,403.9
601,295.0,435.0
602,260.0,370.0
603,270.0,535.0
604,130.0,455.0
605,155.0,515.0
606,50.0,548.9
607,285.0,468.9
608,95.0,347.8
609,245.0,410.0
610,345.0,458.9
611,145.0,425.0
612,210.0,477.8
613,405.0,368.9
614,270.0,450.0
615,270.0,575.0
616,210.0,490.0
617,275.0,355.0
618,330.0,455.0
619,285.0,440.0
620,385.0,485.0
621,100.0,435.0
622,200.0,477.8
623,55.0,380.0
624,240.0,609.0
625,250.0,515.0
626,240.0,448.9
627,260.0,240.0
628,185.0,335.0
629,400.0,528.9
630,255.0,423.9
631,200.0,340.0
632,155.0,428.9
633,105.0,400.0
634,410.0,363.9
635,345.0,508.9
636,205.0,353.9
637,180.0,435.0
638,220.0,535.0
639,230.0,380.0
640,140.0,515.0
641,90.0,387.8
642,190.0,508.9
643,235.0,433.9
644,95.0,317.8
645,325.0,380.0
646,320.0,330.0
647,100.0,423.9
648,310.0,418.9
649,190.0,385.0
650,290.0,500.0
651,210.0,475.0
652,245.0,568.9
653,95.0,323.9
654,130.0,360.0
655,260.0,501.8
656,505.0,473.9
657,385.0,515.0
658,265.0,440.0
659,349.0,505.0
660,125.0,413.9
661,305.0,373.9
662,75.0,480.0
663,250.0,580.0
664,265.0,458.9
665,375.0,483.9
666,215.0,490.0
667,240.0,470.0
668,210.0,493.9
669,90.0,495.0
670,415.0,438.9
671,95.0,445.0
672,160.0,388.9
673,195.0,435.0
674,260.0,365.0
675,200.0,485.0
676,190.0,485.0
677,190.0,518.9
678,0.0,468.9
679,200.0,478.9
680,270.0,555.0
681,300.0,430.0
682,180.0,555.0
683,265.0,515.0
684,345.0,468.9
685,360.0,360.0
686,260.0,470.0
687,320.0,515.0
688,155.0,315.0
689,350.0,433.9
690,85.0,318.9
691,380.0,410.0
692,100.0,380.0
693,295.0,535.0
694,175.0,443.9
695,385.0,425.0
696,375.0,489.0
697,425.0,528.9
698,185.0,383.9
699,139.0,380.0
700,390.0,458.9
701,290.0,323.9
702,230.0,420.0
703,434.0,405.0
704,175.0,498.9
705,245.0,458.9
706,325.0,370.0
707,270.0,400.0
708,305.0,343.9
709,355.0,465.0
710,185.0,285.0
711,200.0,472.8
712,145.0,457.8
713,290.0,478.9
714,250.0,420.0
715,155.0,410.0
716,170.0,490.0
717,275.0,468.9
718,150.0,430.0
719,355.0,453.9
720,165.0,575.0
721,490.0,475.0
722,265.0,488.9
723,95.0,393.9
724,295.0,388.9
725,100.0,448.9
726,190.0,490.0
727,335.0,435.0
728,235.0,495.0
729,100.0,263.9
730,200.0,418.9
731,105.0,425.0
732,265.0,448.9
733,305.0,532.8
734,145.0,448.9
735,345.0,450.0
736,250.0,513.9
737,245.0,465.0
738,150.0,534.0
739,190.0,462.8
740,285.0,455.0
741,140.0,350.0
742,415.0,418.9
743,50.0,423.9
744,415.0,442.8
745,155.0,465.0
746,150.0,458.9
747,310.0,445.0
748,210.0,452.8
749,240.0,490.0
750,250.0,506.8
751,190.0,423.9
752,97.5,443.9
753,190.0,440.0
754,245.0,371.4
755,335.0,418.9
756,230.0,450.0
757,370.0,450.0
758,299.0,343.9
759,340.0,405.0
760,285.0,468.9
761,165.0,435.0
762,190.0,515.0
763,190.0,487.8
764,265.0,358.9
765,515.0,423.9
766,255.0,393.9
767,170.0,443.9
768,100.0,328.9
769,260.0,582.8
770,310.0,490.0
771,420.0,383.9
772,305.0,515.0
773,310.0,515.0
774,150.0,450.0
775,105.0,498.9
776,230.0,287.8
777,365.0,493.9
778,449.0,442.8
779,365.0,500.0
780,380.0,500.0
781,255.0,488.9
782,250.0,450.0
783,150.0,530.0
784,355.0,433.9
785,280.0,486.70000000000005
786,410.0,498.9
787,355.0,573.9
788,310.0,340.0
789,205.0,435.0
790,205.0,428.9
791,355.0,403.9
792,155.0,440.0
793,95.0,459.0
794,510.0,450.0
795,175.0,460.0
796,135.0,435.0
797,380.0,452.8
798,150.0,475.0
799,290.0,433.9
800,260.0,402.8
801,100.0,444.0
802,260.0,460.0
803,230.0,455.0
804,250.0,458.9
805,235.0,480.0
806,155.0,423.9
807,180.0,435.0
808,175.0,535.0
809,95.0,410.0
810,235.0,393.9
811,280.0,450.0
812,275.0,444.0
813,335.0,415.0
814,75.0,385.0
815,165.0,515.0
816,365.0,571.7
817,105.0,470.0
818,195.0,593.9
819,170.0,335.0
820,250.0,423.9
821,385.0,408.9
822,197.5,405.0
823,250.0,530.0
824,165.0,520.6
825,150.0,393.9
826,145.0,435.0
827,210.0,490.0
828,445.0,435.0
829,385.0,315.0
830,90.0,430.0
831,0.0,380.0
832,190.0,418.9
833,100.0,443.9
834,165.0,433.9
835,190.0,442.8
836,50.0,508.9
837,80.0,467.8
838,105.0,375.0
839,210.0,420.0
840,295.0,498.9
841,230.0,443.9
842,490.0,554.0
843,225.0,550.0
844,290.0,405.0
845,245.0,535.0
846,260.0,373.9
847,375.0,450.0
848,130.0,295.0
849,205.0,523.9
850,230.0,443.9
851,355.0,420.0
852,350.0,490.0
853,200.0,528.9
854,160.0,522.8
855,375.0,435.0
856,210.0,320.0
857,105.0,478.9
858,359.0,499.0
859,220.0,345.0
860,285.0,450.0
861,400.0,270.0
862,275.0,455.0
863,335.0,358.9
864,280.0,357.8
865,100.0,430.0
866,350.0,515.0
867,355.0,433.9
868,265.0,433.9
869,175.0,555.0
870,270.0,486.8
871,340.0,488.9
872,185.0,450.0
873,215.0,525.0
874,255.0,425.0
875,85.0,470.0
876,305.0,470.0
877,210.0,527.8
878,135.0,515.0
879,350.0,373.9
880,184.0,503.9
881,225.0,363.9
882,250.0,490.0
883,185.0,583.9
884,300.0,410.0
885,155.0,380.0
886,435.0,545.0
887,75.0,415.0
888,255.0,468.9
889,345.0,495.0
890,285.0,435.0
891,440.0,435.0
892,230.0,415.0
893,260.0,428.9
894,215.0,360.0
895,185.0,516.7
896,320.0,425.0
897,150.0,450.0
898,305.0,432.8
899,320.0,443.9
900,390.0,375.0
901,195.0,468.9
902,260.0,473.9
903,150.0,530.0
904,220.0,604.0
905,290.0,400.0
906,195.0,253.9
907,90.0,440.0
908,220.0,400.0
909,210.0,450.0
910,230.0,455.0
911,245.0,455.0
912,220.0,490.0
913,355.0,448.9
914,260.0,468.9
915,405.0,470.0
916,180.0,408.9
917,100.0,430.0
918,355.0,417.9
919,280.0,507.8
920,310.0,315.0
921,360.0,545.0
922,265.0,438.9
923,100.0,470.0
924,290.0,413.9
925,240.0,455.0
926,275.0,481.70000000000005
927,70.0,330.0
928,345.0,368.9
929,350.0,433.9
930,415.0,470.0
931,234.0,540.0
932,105.0,583.9
933,95.0,225.0
934,165.0,423.9
935,75.0,435.0
936,190.0,435.6
937,415.0,473.9
938,215.0,405.0
939,390.0,540.0
940,375.0,432.8
941,5.0,475.0
942,212.5,515.0
943,155.0,458.9
944,305.0,488.9
945,225.0,360.0
946,95.0,425.0
947,115.0,465.0
948,165.0,348.9
949,70.0,465.0
950,250.0,427.8
951,80.0,468.9
952,95.0,360.0
953,240.0,370.0
954,305.0,477.9
955,195.0,435.0
956,50.0,440.0
957,215.0,543.9
958,200.0,515.0
959,420.0,435.0
960,235.0,475.0
961,380.0,374.0
962,145.0,510.0
963,205.0,420.0
964,200.0,450.0
965,185.0,355.0
966,100.0,453.9
967,245.0,495.0
968,385.0,505.0
969,355.0,370.0
970,190.0,467.8
971,195.0,468.9
972,0.0,468.9
973,160.0,490.0
974,165.0,515.0
975,275.0,410.0
976,235.0,470.0
977,190.0,353.9
978,185.0,348.9
979,235.0,430.0
980,115.0,443.9
981,360.0,453.9
982,165.0,427.8
983,430.0,410.0
984,360.0,487.8
985,350.0,418.9
986,95.0,443.9
987,355.0,450.0
988,235.0,438.9
989,90.0,355.0
990,335.0,390.0
991,360.0,525.0
992,310.0,445.0
993,270.0,338.9
994,115.0,428.9
995,355.0,450.0
996,105.0,305.0
997,390.0,468.9
998,175.0,428.9
999,230.0,388.9
1000,155.0,410.0
1001,210.0,343.9
1002,165.0,445.0
1003,245.0,423.9
1004,5.0,320.0
1005,180.0,564.0
1006,349.0,515.0
1007,215.0,513.9
1008,230.0,363.9
1009,415.0,355.0
1010,210.0,423.9
1011,200.0,510.0
1012,389.0,373.9
1013,320.0,392.8
1014,150.0,375.0
1015,280.0,518.9
1016,265.0,544.0
1017,205.0,450.0
1018,385.0,393.9
1019,200.0,522.8
1020,260.0,523.9
1021,260.0,418.9
1022,175.0,423.9
1023,260.0,465.0
1024,160.0,430.0
1025,240.0,490.0
1026,245.0,435.0
1027,175.0,450.0
1028,175.0,495.0
1029,240.0,450.0
1030,95.0,443.9
1031,305.0,433.9
1032,285.0,445.0
1033,180.0,515.0
1034,250.0,435.0
1035,335.0,418.9
1036,65.0,418.9
1037,205.0,388.9
1038,260.0,438.9
1039,195.0,473.9
1040,165.0,582.9
1041,230.0,375.0
1042,445.0,453.9
1043,105.0,140.0
1044,115.0,452.8
1045,150.0,305.0
1046,150.0,225.0
1047,180.0,445.0
1048,195.0,510.0
1049,155.0,400.0
1050,515.0,510.0
1051,255.0,375.0
1052,190.0,260.0
1053,155.0,400.0
1054,245.0,453.9
1055,285.0,370.0
1056,310.0,478.9
1057,330.0,585.0
1058,340.0,427.8
1059,230.0,345.0
1060,395.0,450.0
1061,265.0,323.9
1062,295.0,360.0
1063,295.0,340.0
1064,210.0,478.9
1065,205.0,375.0
1066,145.0,423.9
1067,310.0,435.0
1068,385.0,445.0
1069,210.0,532.8
1070,50.0,482.9
1071,275.0,425.0
1072,90.0,427.8
1073,389.0,514.0
1074,305.0,323.9
1075,185.0,393.9
1076,100.0,477.9
1077,355.0,323.9
1078,180.0,443.9
1079,205.0,473.9
1080,245.0,515.0
1081,160.0,450.0
1082,500.0,460.0
1083,100.0,468.9
1084,365.0,470.0
1085,275.0,468.9
1086,105.0,375.0
1087,340.0,450.0
1088,165.0,427.8
1089,355.0,443.9
1090,285.0,445.0
1091,240.0,435.0
1092,240.0,315.0
1093,260.0,515.0
1094,55.0,485.0
1095,255.0,418.9
1096,207.5,422.8
1097,50.0,357.9
1098,285.0,490.0
1099,290.0,465.0
1100,175.0,343.9
1101,100.0,405.0
1102,260.0,340.0
1103,275.0,355.0
1104,55.0,360.0
1105,255.0,513.9
1106,95.0,368.9
1107,335.0,478.9
1108,105.0,424.0
1109,105.0,400.0
1110,199.0,525.0
1111,255.0,405.0
1112,260.0,418.9
1113,130.0,435.0
1114,70.0,340.0
1115,280.0,350.0
1116,295.0,515.0
1117,525.0,505.0
1118,205.0,595.0
1119,235.0,445.0
1120,290.0,395.0
1121,190.0,403.9
1122,285.0,453.9
1123,70.0,528.9
1124,115.0,370.0
1125,340.0,458.9
1126,195.0,340.0
1127,165.0,515.0
1128,275.0,395.0
1129,150.0,360.0
1130,470.0,300.0
1131,350.0,450.0
1132,50.0,430.0
1133,150.0,325.0
1134,265.0,450.0
1135,95.0,485.0
1136,225.0,450.0
1137,195.0,390.0
1138,445.0,400.0
1139,260.0,418.9
1140,100.0,360.0
1141,175.0,395.0
1142,55.0,433.9
1143,275.0,418.9
1144,195.0,458.9
1145,415.0,485.0
1146,150.0,407.8
1147,210.0,355.0
1148,190.0,335.0
1149,375.0,475.0
1150,150.0,338.9
1151,415.0,468.9
1152,150.0,445.0
1153,360.0,498.9
1154,140.0,380.0
1155,160.0,542.8
1156,180.0,442.8
1157,515.0,460.0
1158,305.0,435.0
1159,70.0,560.0
1160,230.0,510.0
1161,155.0,385.0
1162,75.0,579.0
1163,230.0,373.9
1164,340.0,468.9
1165,335.0,478.9
1166,220.0,507.8
1167,235.0,430.0
1168,260.0,438.9
1169,175.0,467.9
1170,155.0,460.0
1171,455.0,390.0
1172,190.0,417.8
1173,275.0,458.9
1174,335.0,460.0
1175,210.0,413.9
1176,400.0,460.0
1177,310.0,350.0
1178,175.0,405.0
1179,260.0,453.9
1180,210.0,377.8
1181,235.0,450.0
1182,200.0,308.9
1183,325.0,435.0
1184,270.0,433.9
1185,395.0,450.0
1186,355.0,468.9
1187,175.0,515.0
1188,270.0,393.9
1189,230.0,438.9
1190,165.0,357.8
1191,365.0,500.0
1192,190.0,413.9
1193,260.0,452.8
1194,160.0,323.9
1195,355.0,479.0
1196,105.0,440.0
1197,350.0,450.0
1198,190.0,325.0
1199,195.0,535.0
1200,310.0,485.0
1201,275.0,498.9
1202,170.0,430.0
1203,105.0,287.8
1204,180.0,468.9
1205,400.0,385.0
1206,380.0,513.9
1207,200.0,430.0
1208,255.0,417.8
1209,245.0,450.0
1210,100.0,475.0
1211,270.0,610.0
1212,115.0,525.0
1213,220.0,467.8
1214,200.0,283.9
1215,105.0,428.9
1216,285.0,478.9
1217,340.0,452.8
1218,450.0,455.0
1219,200.0,450.0
1220,210.0,438.9
1221,335.0,313.9
1222,50.0,560.0
1223,155.0,368.9
1224,210.0,470.0
1225,290.0,473.9
1226,260.0,435.0
1227,5.0,333.9
1228,310.0,468.9
1229,115.0,315.0
1230,295.0,438.9
1231,260.0,433.9
1232,415.0,413.9
1233,325.0,513.9
1234,180.0,495.0
1235,240.0,450.0
1236,465.0,523.9
1237,130.0,445.0
1238,290.0,360.0
1239,105.0,385.0
1240,245.0,487.8
1241,285.0,468.9
1242,125.0,465.0
1243,285.0,410.0
1244,340.0,495.0
1245,125.0,330.0
1246,240.0,428.9
1247,465.0,515.0
1248,165.0,435.0
1249,305.0,568.9
1250,260.0,388.9
1251,250.0,398.9
1252,215.0,498.9
1253,80.0,564.0
1254,340.0,470.0
1255,155.0,510.0
1256,260.0,468.9
1257,265.0,494.0
1258,285.0,445.0
1259,435.0,503.9
1260,95.0,413.9
1261,190.0,525.0
1262,250.0,490.0
1263,180.0,450.0
1264,190.0,490.0
1265,355.0,480.0
1266,285.0,427.8
1267,125.0,450.0
1268,285.0,435.0
1269,380.0,450.0
1270,305.0,343.9
1271,365.0,413.9
1272,170.0,285.0
1273,165.0,468.9
1274,305.0,468.9
1275,320.0,445.0
1276,460.0,443.9
1277,340.0,435.0
1278,155.0,450.0
1279,165.0,445.0
1280,310.0,367.8
1281,110.0,410.0
1282,310.0,370.0
1283,260.0,360.0
1284,135.0,490.0
1285,55.0,423.9
1286,270.0,418.9
1287,425.0,460.0
1288,335.0,383.9
1289,100.0,541.7
1290,5.0,417.8
1291,260.0,485.0
1292,100.0,285.0
1293,0.0,390.0
1294,305.0,468.9
1295,190.0,432.8
1296,65.0,413.9
1297,300.0,430.0
1298,255.0,528.9
1299,55.0,527.8
1300,454.0,448.9
1301,170.0,388.9
1302,70.0,578.9
1303,190.0,485.0
1304,235.0,498.9
1305,195.0,435.0
1306,95.0,529.5
1307,180.0,422.8
1308,100.0,413.9
1309,260.0,330.0
1310,185.0,468.9
1311,75.0,490.0
1312,235.0,360.0
1313,420.0,420.0
1314,320.0,423.9
1315,360.0,428.9
1316,0.0,458.9
1317,260.0,468.9
1318,105.0,468.9
1319,305.0,458.9
1320,435.0,443.9
1321,405.0,475.0
1322,175.0,335.0
1323,350.0,443.9
1324,260.0,510.0
1325,245.0,438.9
1326,445.0,340.0
1327,55.0,323.9
1328,265.0,308.9
1329,215.0,427.8
1330,150.0,358.9
1331,100.0,340.0
1332,175.0,418.9
1333,235.0,443.9
1334,265.0,482.9
1335,380.0,470.0
1336,380.0,418.9
1337,175.0,470.0
1338,340.0,490.0
1339,410.0,405.0
1340,100.0,348.9
1341,405.0,485.0
1342,175.0,458.9
1343,320.0,320.0
1344,275.0,468.9
1345,125.0,428.9
1346,180.0,415.0
1347,150.0,470.0
1348,90.0,390.0
1349,365.0,435.0
1350,375.0,485.0
1351,55.0,347.8
1352,260.0,443.9
1353,320.0,450.0
1354,185.0,325.0
1355,185.0,478.9
