,p1_switches_count
1055,8
1056,6
1057,6
1058,8
1059,10
1060,9
1061,10
1062,12
1063,10
1064,12
1065,7
1066,5
1067,7
1068,9
1069,4
1070,0
1071,9
1072,1
1073,10
1074,12
1075,12
1076,2
1077,9
1078,10
1079,6
1080,5
1081,6
1082,9
1083,7
1084,13
1085,5
1086,5
1087,11
1088,8
1089,9
1090,8
1091,9
1092,9
1093,10
1094,11
1095,8
1096,9
1097,8
1098,4
1099,6
1100,10
1101,2
1102,7
1103,11
1104,11
1105,11
1106,5
1107,7
1108,9
1109,7
1110,7
1111,10
1112,8
1113,6
1114,7
1115,8
1116,6
1117,14
1118,10
1119,9
1120,12
1121,2
1122,4
1123,6
1124,6
1125,6
1126,7
1127,9
1128,10
1129,7
1130,10
1131,10
1132,6
1133,9
1134,7
1135,2
1136,5
1137,7
1138,6
1139,7
1140,12
1141,7
1142,5
1143,13
1144,4
1145,8
1146,4
1147,8
1148,9
1149,12
1150,4
1151,9
1152,7
1153,6
1154,10
1155,3
1156,10
1157,7
1158,9
1159,6
1160,6
1161,10
1162,1
1163,12
1164,9
1165,11
1166,11
1167,6
1168,10
1169,13
1170,6
1171,10
1172,5
1173,4
1174,6
1175,9
1176,11
1177,8
1178,6
1179,6
1180,12
1181,9
1182,11
1183,11
1184,9
1185,8
1186,11
1187,6
1188,10
1189,7
1190,8
1191,10
1192,8
1193,7
1194,3
1195,9
1196,9
1197,10
1198,11
1199,11
1200,8
1201,7
1202,9
1203,10
1204,11
1205,10
1206,11
1207,7
1208,7
1209,5
1210,6
1211,6
1212,4
1213,6
1214,7
1215,8
1216,8
1217,6
1218,15
1219,8
1220,12
1221,9
1222,7
1223,10
1224,9
1225,10
1226,14
1227,7
1228,11
1229,7
1230,11
1231,7
1232,7
1233,11
1234,13
1235,7
1236,10
1237,7
1238,5
1239,4
1240,10
1241,6
1242,8
1243,10
1244,6
1245,4
1246,12
1247,12
1248,7
1249,12
1250,7
1251,4
1252,14
1253,5
1254,9
1255,9
1256,4
1257,7
1258,10
1259,5
1260,10
1261,10
1262,9
1263,10
1264,8
1265,8
1266,15
1267,9
1268,11
1269,8
1270,10
1271,10
1272,11
1273,10
1274,9
1275,6
1276,11
1277,12
1278,12
1279,10
1280,5
1281,1
1282,4
1283,7
1284,9
1285,7
1286,5
1287,8
1288,10
1289,6
1290,7
1291,9
1292,7
1293,4
1294,10
1295,7
1296,5
1297,9
1298,7
1299,1
1300,8
1301,8
1302,10
1303,10
1304,6
1305,6
1306,0
1307,3
1308,12
1309,8
1310,7
1311,7
1312,12
1313,10
1314,9
1315,8
1316,9
1317,5
1318,5
1319,8
1320,10
1321,9
1322,9
1323,6
1324,5
1325,2
1326,5
1327,5
1328,8
1329,20
1330,8
1331,4
1332,9
1333,9
1334,8
1335,9
1336,7
1337,9
1338,10
1339,9
1340,6
1341,9
1342,9
1343,11
1344,4
1345,9
1346,9
1347,4
1348,7
1349,9
1350,9
1351,7
1352,7
1353,7
1354,11
1355,7
1356,12
1357,2
1358,6
1359,9
1360,11
1361,11
1362,6
1363,9
1364,11
1365,5
1366,12
1367,5
1368,6
1369,8
1370,9
1371,6
1372,8
1373,8
1374,11
1375,11
1376,8
1377,11
1378,8
1379,7
1380,8
1381,1
1382,4
1383,9
1384,10
1385,6
1386,4
1387,8
1388,4
1389,3
1390,8
1391,11
1392,11
1393,9
1394,9
1395,5
1396,6
1397,7
1398,6
1399,6
1400,12
1401,8
1402,7
1403,4
1404,6
1405,10
1406,6
1407,8
1408,9
1409,12
1410,9
1411,7
1412,14
1413,13
1414,6
1415,8
1416,12
1417,15
1418,7
1419,6
1420,8
1421,7
1422,11
1423,8
1424,8
1425,8
1426,8
1427,9
1428,5
1429,10
1430,8
1431,6
1432,2
1433,10
1434,7
1435,8
1436,10
1437,13
1438,12
1439,9
1440,8
1441,11
1442,9
1443,5
1444,10
1445,7
1446,7
1447,9
1448,5
1449,10
1450,10
1451,10
1452,6
1453,9
1454,10
1455,7
1456,7
1457,9
1458,9
1459,13
1460,10
1461,9
1462,7
1463,11
1464,7
1465,6
1466,8
1467,10
1468,8
1469,6
1470,6
1471,8
1472,5
1473,7
1474,2
1475,4
1476,4
1477,5
1478,7
1479,7
1480,10
1481,12
1482,9
1483,10
1484,11
1485,4
1486,10
1487,6
1488,9
1489,10
1490,4
1491,13
1492,12
1493,8
1494,10
1495,6
1496,9
1497,7
1498,6
1499,5
1500,9
1501,11
1502,8
1503,8
1504,11
1505,6
1506,8
1507,8
1508,9
1509,6
1510,15
1511,4
1512,1
1513,8
1514,11
1515,6
1516,9
1517,9
1518,7
1519,7
1520,4
1521,9
1522,7
1523,10
1524,8
1525,6
1526,8
1527,4
1528,11
1529,13
1530,4
1531,3
1532,9
1533,2
1534,5
1535,8
1536,7
1537,10
1538,4
1539,12
1540,5
1541,8
1542,10
1543,10
1544,10
1545,6
1546,8
1547,9
1548,8
1549,11
1550,7
1551,10
1552,9
1553,4
1554,6
1555,5
1556,13
1557,9
1558,6
1559,9
1560,3
1561,5
1562,2
1563,14
1564,11
1565,14
1566,6
1567,9
1568,4
1569,7
1570,8
1571,6
1572,5
1573,6
1574,6
1575,8
1576,2
1577,8
1578,10
1579,8
1580,5
1581,8
1582,5
1583,6
1584,9
1585,4
1586,7
1587,9
1588,7
1589,3
1590,7
1591,2
1592,7
1593,12
1594,6
1595,10
1596,8
1597,6
1598,8
1599,7
1600,8
1601,10
1602,9
1603,7
1604,6
1605,4
1606,9
1607,4
1608,10
1609,6
1610,9
1611,9
1612,9
1613,7
1614,8
1615,4
1616,9
1617,9
1618,9
1619,7
1620,9
1621,10
1622,7
1623,5
1624,8
1625,5
1626,5
1627,13
1628,10
1629,3
1630,10
1631,4
1632,11
1633,9
1634,7
1635,6
1636,6
1637,12
1638,5
1639,7
1640,8
1641,8
1642,7
1643,8
1644,10
1645,13
1646,5
1647,11
1648,11
1649,9
1650,3
1651,10
1652,7
1653,3
1654,7
1655,7
1656,11
1657,5
1658,9
1659,3
1660,11
1661,6
1662,11
1663,10
1664,11
1665,7
1666,9
1667,10
1668,4
1669,9
1670,10
1671,13
1672,10
1673,4
1674,2
1675,6
1676,12
1677,8
1678,8
1679,10
1680,9
1681,8
1682,9
1683,12
1684,8
1685,5
1686,4
1687,4
1688,15
1689,9
1690,9
1691,2
1692,9
1693,8
1694,12
1695,7
1696,8
1697,8
1698,5
1699,7
1700,9
1701,6
1702,8
1703,12
1704,7
1705,13
1706,7
1707,6
1708,12
1709,8
1710,8
1711,3
1712,11
1713,5
1714,5
1715,9
1716,10
1717,2
1718,6
1719,5
1720,5
1721,10
1722,7
1723,4
1724,8
1725,9
1726,9
1727,7
1728,10
1729,5
1730,4
1731,5
1732,10
1733,7
1734,11
1735,6
1736,13
1737,10
1738,9
1739,13
1740,9
1741,9
1742,8
1743,9
1744,13
1745,10
1746,6
1747,2
1748,11
1749,2
1750,6
1751,11
1752,11
1753,8
1754,1
1755,9
1756,11
1757,5
1758,7
1759,9
1760,6
1761,4
1762,5
1763,5
1764,6
1765,7
1766,11
1767,13
1768,7
1769,2
1770,10
1771,4
1772,5
1773,5
1774,10
1775,9
1776,10
1777,7
1778,5
1779,6
1780,10
1781,11
1782,4
1783,9
1784,9
1785,5
1786,6
1787,7
1788,10
1789,7
1790,11
1791,6
1792,10
1793,4
1794,11
1795,3
1796,9
1797,10
1798,8
1799,10
1800,7
1801,7
1802,9
1803,6
1804,7
1805,6
1806,6
1807,8
1808,3
1809,6
1810,8
1811,8
1812,7
1813,5
1814,11
1815,9
1816,13
1817,4
1818,10
1819,8
1820,3
1821,9
1822,6
1823,7
1824,5
1825,7
1826,7
1827,9
1828,3
1829,11
1830,8
1831,9
1832,9
1833,11
1834,5
1835,5
1836,8
1837,10
1838,6
1839,11
1840,4
1841,7
1842,10
1843,9
1844,5
1845,5
1846,9
1847,8
1848,11
1849,4
1850,8
1851,6
1852,9
1853,5
1854,10
1855,6
1856,7
1857,9
1858,5
1859,10
1860,7
1861,7
1862,5
1863,11
1864,8
1865,4
1866,11
1867,9
1868,7
1869,8
1870,15
1871,8
1872,3
1873,7
1874,10
1875,9
1876,4
1877,6
1878,9
1879,7
1880,10
1881,8
1882,11
1883,6
1884,8
1885,7
1886,8
1887,13
1888,10
1889,7
1890,6
1891,4
1892,8
1893,2
1894,11
1895,5
1896,3
1897,6
1898,5
1899,12
1900,5
1901,4
1902,7
1903,10
1904,3
1905,7
1906,6
1907,2
1908,5
1909,7
1910,8
1911,7
1912,2
1913,5
1914,6
1915,12
1916,8
1917,7
1918,5
1919,11
1920,8
1921,4
1922,13
1923,11
1924,6
1925,10
1926,7
1927,5
1928,12
1929,4
1930,11
1931,10
1932,7
1933,9
1934,9
1935,10
1936,8
1937,10
1938,9
1939,11
1940,8
1941,8
1942,4
1943,8
1944,11
1945,9
1946,11
1947,8
1948,5
1949,10
1950,12
1951,11
1952,8
1953,11
1954,6
1955,4
1956,7
1957,4
1958,7
1959,9
1960,6
1961,6
1962,6
1963,16
1964,9
1965,12
1966,11
1967,12
1968,11
1969,11
1970,9
1971,18
1972,12
1973,11
1974,7
1975,12
1976,7
1977,8
1978,8
1979,6
1980,3
1981,9
1982,6
1983,10
1984,8
1985,4
1986,2
1987,11
1988,10
1989,5
1990,8
1991,6
1992,5
1993,5
1994,6
1995,9
1996,12
1997,9
1998,11
1999,11
2000,8
2001,7
2002,7
2003,11
2004,8
2005,7
2006,7
2007,5
2008,6
2009,7
2010,2
2011,9
2012,10
2013,4
2014,7
2015,9
2016,9
2017,9
2018,12
2019,14
2020,8
2021,7
2022,6
2023,10
2024,5
2025,9
2026,8
2027,8
2028,9
2029,9
2030,8
2031,7
2032,14
2033,10
2034,11
2035,8
2036,4
2037,8
2038,8
2039,7
2040,5
2041,5
2042,5
2043,7
2044,6
2045,9
2046,4
2047,7
2048,10
2049,11
2050,5
2051,8
2052,9
2053,4
2054,7
2055,9
2056,8
2057,6
2058,6
2059,12
2060,8
2061,13
2062,6
2063,8
2064,5
2065,7
2066,8
2067,9
2068,10
2069,7
2070,9
2071,8
2072,5
2073,7
2074,5
2075,9
2076,8
2077,9
2078,7
2079,10
2080,8
2081,10
2082,12
2083,4
2084,9
2085,11
2086,9
2087,8
2088,8
2089,5
2090,5
2091,5
2092,9
2093,9
2094,11
2095,10
2096,10
2097,6
2098,4
2099,5
2100,6
2101,6
2102,9
2103,7
2104,5
2105,4
2106,6
2107,13
2108,3
2109,8
2110,8
2111,8
2112,8
2113,3
2114,6
2115,11
2116,11
2117,7
2118,4
2119,12
2120,6
2121,3
2122,11
2123,6
2124,5
2125,6
2126,8
2127,6
2128,4
2129,15
2130,7
2131,10
2132,9
2133,7
2134,11
2135,5
2136,11
2137,7
2138,9
2139,10
2140,5
2141,8
2142,8
2143,5
2144,5
2145,9
2146,11
2147,7
2148,7
2149,11
2150,8
2151,5
2152,6
2153,6
2154,8
2155,7
2156,8
2157,8
2158,12
2159,5
2160,7
2161,13
2162,3
2163,4
2164,7
2165,7
2166,8
2167,7
2168,5
2169,9
2170,9
2171,5
2172,6
2173,6
2174,11
2175,7
2176,5
2177,6
2178,9
2179,8
2180,3
2181,11
2182,8
2183,10
2184,6
2185,2
2186,10
2187,7
2188,11
2189,10
2190,3
2191,9
2192,8
2193,12
2194,9
2195,6
2196,3
2197,6
2198,8
2199,8
2200,6
2201,9
2202,7
2203,7
2204,8
2205,9
2206,14
2207,9
2208,6
2209,15
2210,13
2211,5
2212,9
2213,10
2214,8
2215,6
2216,7
2217,4
2218,9
2219,7
2220,7
2221,7
2222,11
2223,11
2224,10
2225,4
2226,7
2227,8
2228,5
2229,10
2230,13
2231,7
2232,9
2233,7
2234,7
2235,7
2236,9
2237,9
2238,8
2239,7
2240,8
2241,10
2242,7
2243,8
2244,8
2245,4
2246,5
2247,5
2248,9
2249,9
2250,9
2251,6
2252,11
2253,8
2254,9
2255,5
2256,12
2257,4
2258,10
2259,10
2260,8
2261,5
2262,6
2263,7
2264,8
2265,9
2266,5
2267,9
2268,7
2269,9
2270,5
2271,10
2272,7
2273,8
2274,8
2275,6
2276,7
2277,11
2278,11
2279,8
2280,7
2281,8
2282,12
2283,15
2284,8
2285,6
2286,9
2287,11
2288,11
2289,6
2290,8
2291,12
2292,4
2293,10
2294,11
2295,7
2296,8
2297,8
2298,10
2299,8
2300,8
2301,9
2302,8
2303,6
2304,9
2305,11
2306,5
2307,6
2308,8
2309,10
2310,10
2311,10
2312,4
2313,4
2314,13
2315,7
2316,12
2317,4
2318,6
2319,10
2320,5
2321,10
2322,9
2323,10
2324,10
2325,8
2326,14
2327,10
2328,12
2329,7
2330,11
2331,8
2332,5
2333,11
2334,8
2335,9
2336,10
2337,11
2338,8
2339,7
2340,12
2341,8
2342,7
2343,7
2344,9
2345,8
2346,6
2347,8
2348,4
2349,3
2350,5
2351,12
2352,6
2353,13
2354,11
2355,6
2356,7
2357,9
2358,5
2359,7
2360,10
2361,12
2362,9
2363,6
2364,7
2365,9
2366,5
2367,6
2368,13
2369,5
2370,6
2371,6
2372,12
2373,5
2374,7
2375,9
2376,7
2377,7
2378,1
2379,6
2380,11
2381,11
2382,10
2383,8
2384,13
2385,11
2386,10
2387,8
2388,10
2389,11
2390,6
2391,3
2392,6
2393,12
2394,17
2395,6
2396,3
2397,7
2398,8
2399,6
2400,14
2401,6
2402,10
2403,11
2404,3
2405,9
2406,12
2407,1
2408,4
2409,6
2410,7
2411,8
2412,7
2413,11
2414,5
2415,10
2416,4
2417,6
2418,7
2419,12
2420,8
2421,3
2422,5
2423,6
2424,9
2425,13
2426,6
2427,9
2428,12
2429,6
2430,10
2431,9
2432,5
2433,7
2434,10
2435,9
2436,6
2437,7
2438,8
2439,8
2440,7
2441,7
2442,7
2443,10
2444,5
2445,10
2446,4
2447,8
2448,5
2449,9
2450,9
2451,2
2452,7
2453,3
2454,12
2455,8
2456,5
2457,11
2458,2
2459,14
2460,10
2461,9
2462,8
2463,11
2464,7
2465,9
2466,3
2467,7
2468,3
2469,6
2470,10
2471,3
2472,5
2473,10
2474,5
2475,7
2476,12
2477,9
2478,5
2479,8
2480,5
2481,10
2482,11
2483,8
2484,12
2485,10
2486,8
2487,7
2488,6
2489,8
2490,10
2491,7
2492,11
2493,9
2494,3
2495,6
2496,8
2497,9
2498,11
2499,5
2500,6
2501,16
2502,17
2503,4
2504,6
2505,12
2506,10
2507,2
2508,7
2509,4
2510,7
2511,8
2512,5
2513,8
2514,11
2515,7
2516,9
2517,7
2518,6
2519,6
2520,8
2521,7
2522,9
2523,7
2524,4
2525,8
2526,7
2527,4
2528,6
2529,6
2530,8
2531,8
2532,8
2533,14
2534,9
2535,8
2536,6
2537,8
2538,5
2539,9
2540,14
2541,8
2542,9
2543,7
2544,9
2545,7
2546,10
2547,3
2548,8
2549,7
2550,6
2551,3
2552,6
2553,11
2554,12
2555,8
2556,10
2557,6
2558,9
2559,7
2560,6
2561,4
2562,9
2563,5
2564,6
2565,12
2566,7
2567,9
2568,10
2569,13
2570,8
2571,10
2572,10
2573,10
2574,4
2575,12
2576,5
2577,8
2578,7
2579,11
2580,8
2581,15
2582,12
2583,6
2584,8
2585,9
2586,3
2587,8
2588,7
2589,11
2590,5
2591,12
2592,9
2593,9
2594,5
2595,12
2596,11
2597,4
2598,5
2599,14
2600,7
2601,4
2602,5
2603,8
2604,7
2605,13
2606,9
2607,5
2608,9
2609,6
2610,7
2611,8
2612,8
2613,12
2614,14
2615,8
2616,9
2617,10
2618,10
2619,7
2620,10
2621,12
2622,5
2623,5
2624,10
2625,10
2626,2
2627,7
2628,9
2629,6
2630,10
2631,9
2632,7
2633,8
2634,15
2635,9
2636,11
2637,7
2638,8
2639,5
2640,11
2641,7
2642,4
2643,10
2644,4
2645,10
2646,6
2647,9
2648,9
2649,11
2650,9
2651,12
2652,11
2653,4
2654,4
2655,10
2656,4
2657,10
2658,14
2659,11
2660,9
2661,9
2662,6
2663,6
2664,5
2665,10
2666,6
2667,10
2668,5
2669,7
2670,4
2671,11
2672,7
2673,9
2674,11
2675,7
2676,8
2677,6
2678,8
2679,11
2680,6
2681,6
2682,9
2683,7
2684,9
2685,5
2686,12
2687,9
2688,8
2689,11
2690,8
2691,9
2692,9
2693,7
2694,9
2695,6
2696,6
2697,7
2698,7
2699,11
2700,6
2701,11
2702,9
2703,6
2704,11
2705,7
2706,13
2707,6
2708,12
2709,11
2710,9
2711,8
2712,12
2713,6
2714,8
2715,6
2716,10
2717,11
2718,7
2719,5
2720,9
2721,7
2722,11
2723,2
2724,6
2725,7
2726,5
2727,8
2728,2
2729,8
2730,8
2731,7
2732,9
2733,9
2734,10
2735,4
2736,6
2737,10
2738,5
2739,9
2740,13
2741,8
2742,5
2743,8
2744,11
2745,9
2746,7
2747,10
2748,4
2749,3
2750,7
2751,5
2752,10
2753,9
2754,8
2755,7
2756,9
2757,8
2758,5
2759,12
2760,8
2761,4
2762,8
2763,9
2764,14
2765,5
2766,5
2767,9
2768,6
2769,7
2770,3
2771,8
2772,3
2773,10
2774,16
2775,8
2776,4
2777,7
2778,7
2779,11
2780,9
2781,6
2782,7
2783,10
2784,7
2785,7
2786,8
2787,7
2788,11
2789,9
2790,7
2791,7
2792,11
2793,10
2794,9
2795,8
2796,4
2797,12
2798,8
2799,8
2800,3
2801,9
2802,8
2803,8
2804,10
2805,8
2806,4
2807,11
2808,8
2809,10
2810,10
2811,8
2812,10
2813,5
2814,11
2815,11
2816,12
2817,5
2818,12
2819,6
2820,7
2821,6
2822,5
2823,11
2824,8
2825,11
2826,10
2827,10
2828,7
2829,7
2830,8
2831,8
2832,6
2833,4
2834,7
2835,8
2836,5
2837,11
2838,5
2839,7
2840,6
2841,10
2842,10
2843,8
2844,7
2845,7
2846,11
2847,9
2848,3
2849,11
2850,7
2851,6
2852,7
2853,6
2854,6
2855,3
2856,10
2857,10
2858,3
2859,7
2860,6
2861,3
2862,13
2863,6
2864,7
2865,6
2866,6
2867,3
2868,10
2869,10
2870,9
2871,9
2872,11
2873,9
2874,11
2875,10
2876,8
2877,10
2878,7
2879,4
2880,11
2881,7
2882,13
2883,8
2884,10
2885,9
2886,12
2887,12
2888,4
2889,12
2890,11
2891,10
2892,6
2893,10
2894,8
2895,11
2896,12
2897,10
2898,8
2899,8
2900,11
2901,11
2902,10
2903,6
2904,10
2905,7
2906,6
2907,5
2908,9
2909,8
2910,7
2911,4
2912,9
2913,8
2914,8
2915,6
2916,12
2917,8
2918,12
2919,10
2920,8
2921,13
2922,7
2923,8
2924,9
2925,7
2926,10
2927,3
2928,8
2929,10
2930,2
2931,10
2932,14
2933,11
2934,10
2935,7
2936,6
2937,8
2938,9
2939,8
2940,10
2941,10
2942,12
2943,7
2944,10
2945,9
2946,10
2947,7
2948,6
2949,8
2950,12
2951,10
2952,7
2953,6
2954,7
2955,4
2956,13
2957,10
2958,8
2959,8
2960,1
2961,10
2962,11
2963,13
2964,6
2965,10
2966,10
2967,1
2968,3
2969,14
2970,10
2971,9
2972,3
2973,9
2974,9
2975,10
2976,6
2977,9
2978,8
2979,7
2980,12
2981,5
2982,9
2983,9
2984,13
2985,11
2986,7
2987,4
2988,7
2989,9
2990,9
2991,7
2992,11
2993,8
2994,8
2995,8
