,p1_sum_def_last,p2_sum_def_last
124,245.0,416.9
125,215.0,291.9
126,135.0,376.9
127,220.0,441.9
128,165.0,330.0
129,320.0,471.9
130,255.0,405.0
131,155.0,380.0
132,100.0,376.9
133,95.0,308.8
134,365.0,510.0
135,235.0,521.9
136,315.0,385.0
137,60.0,491.9
138,230.0,370.0
139,115.0,408.8
140,195.0,391.9
141,285.0,420.0
142,170.0,486.9
143,215.0,515.0
144,215.0,375.0
145,245.0,406.9
146,350.0,380.0
147,45.0,320.0
148,355.0,361.9
149,385.0,595.0
150,365.0,410.0
151,235.0,350.0
152,290.0,295.0
153,155.0,450.0
154,315.0,520.0
155,280.0,405.0
156,325.0,451.9
157,210.0,455.0
158,200.0,330.0
159,245.0,366.9
160,220.0,416.9
161,350.0,380.0
162,305.0,420.0
163,50.0,435.0
164,185.0,285.0
165,245.0,391.9
166,230.0,500.0
167,50.0,376.9
168,215.0,425.0
169,150.0,505.0
170,85.0,340.0
171,305.0,415.0
172,400.0,441.9
173,105.0,335.0
174,255.0,415.0
175,305.0,355.0
176,135.0,325.0
177,90.0,416.9
178,190.0,430.0
179,190.0,370.0
180,275.0,366.9
181,175.0,330.0
182,235.0,370.0
183,190.0,416.9
184,275.0,400.0
185,280.0,335.0
186,185.0,370.0
187,135.0,380.0
188,60.0,345.0
189,370.0,501.9
190,155.0,441.9
191,175.0,245.0
192,265.0,455.0
193,5.0,398.8
194,245.0,335.0
195,100.0,396.9
196,255.0,438.8
197,315.0,370.0
198,95.0,416.9
199,140.0,356.9
200,50.0,465.0
201,90.0,455.0
202,260.0,420.0
203,240.0,550.0
204,255.0,451.9
205,95.0,390.0
206,425.0,363.8
207,340.0,455.0
208,305.0,478.8
209,170.0,370.70000000000005
210,430.0,353.8
211,285.0,406.9
212,235.0,440.0
213,225.0,455.0
214,265.0,411.9
215,325.0,395.0
216,440.0,536.9
217,180.0,471.9
218,265.0,376.9
219,180.0,270.0
220,180.0,410.0
221,270.0,441.9
222,85.0,225.0
223,125.0,440.0
224,175.0,345.0
225,135.0,380.0
226,225.0,356.9
227,160.0,496.9
228,155.0,200.0
229,405.0,353.8
230,135.0,370.0
231,155.0,453.8
232,240.0,440.70000000000005
233,185.0,480.0
234,200.0,441.9
235,245.0,330.0
236,235.0,378.8
237,185.0,381.9
238,155.0,405.0
239,365.0,395.0
240,165.0,370.0
241,105.0,295.0
242,145.0,504.5
243,150.0,458.8
244,185.0,450.0
245,375.0,405.0
246,340.0,455.0
247,240.0,395.0
248,215.0,370.0
249,130.0,355.0
250,200.0,366.9
251,230.0,390.0
252,70.0,510.70000000000005
253,210.0,381.9
254,200.0,446.9
255,205.0,255.0
256,150.0,326.9
257,475.0,441.9
258,180.0,410.0
259,215.0,285.0
260,270.0,431.9
261,135.0,435.0
262,180.0,465.0
263,110.0,471.9
264,395.0,341.9
265,280.0,621.9
266,85.0,366.9
267,255.0,465.0
268,270.0,391.9
269,95.0,441.9
270,40.0,641.9
271,100.0,416.9
272,135.0,363.8
273,235.0,353.8
274,365.0,415.0
275,155.0,370.0
276,150.0,430.0
277,155.0,410.0
278,395.0,381.9
279,280.0,485.0
280,45.0,460.0
281,145.0,435.0
282,285.0,366.9
283,150.0,295.0
284,155.0,416.9
285,415.0,363.8
286,145.0,390.0
287,460.0,325.0
288,260.0,490.0
289,200.0,391.9
290,330.0,356.9
291,390.0,295.0
292,225.0,480.0
293,225.0,370.0
294,160.0,330.0
295,185.0,450.0
296,310.0,391.9
297,335.0,395.0
298,270.0,326.9
299,370.0,345.0
300,155.0,380.0
301,290.0,363.8
302,160.0,380.0
303,105.0,411.9
304,140.0,305.0
305,330.0,335.0
306,310.0,406.9
307,335.0,566.9
308,240.0,528.0
309,280.0,345.0
310,225.0,356.9
311,245.0,416.9
312,205.0,381.9
313,420.0,353.8
314,80.0,386.9
315,220.0,361.9
316,45.0,446.9
317,130.0,380.0
318,300.0,395.0
319,175.0,421.9
320,310.0,405.0
321,230.0,490.0
322,290.0,515.0
323,380.0,441.9
324,290.0,285.0
325,0.0,325.0
326,195.0,521.9
327,235.0,474.9
328,305.0,425.0
329,195.0,371.9
330,385.0,375.0
331,220.0,341.9
332,65.0,455.0
333,290.0,415.0
334,65.0,216.9
335,280.0,310.0
336,40.0,405.0
337,365.0,346.9
338,90.0,230.0
339,245.0,296.9
340,155.0,270.0
341,240.0,455.0
342,210.0,585.0
343,220.0,306.9
344,430.0,421.9
345,335.0,490.0
346,240.0,446.9
347,130.0,340.0
348,175.0,436.9
349,190.0,356.9
350,290.0,345.0
351,295.0,506.9
352,170.0,411.9
353,170.0,455.0
354,230.0,411.9
355,250.0,515.0
356,450.0,415.0
357,175.0,445.0
358,90.0,396.9
359,285.0,465.0
360,70.0,366.9
361,255.0,370.0
362,265.0,446.9
363,100.0,416.9
364,140.0,270.0
365,335.0,406.9
366,395.0,365.0
367,5.0,435.0
368,165.0,375.0
369,220.0,493.8
370,95.0,415.0
371,85.0,471.9
372,235.0,395.0
373,155.0,555.0
374,130.0,375.0
375,215.0,486.9
376,180.0,380.0
377,265.0,474.5
378,240.0,405.0
379,50.0,290.0
380,185.0,503.8
381,165.0,480.0
382,215.0,421.9
383,230.0,411.9
384,370.0,445.0
385,175.0,330.0
386,155.0,400.70000000000005
387,185.0,355.0
388,125.0,405.0
389,335.0,390.0
390,310.0,311.9
391,225.0,421.9
392,250.0,360.0
393,295.0,436.9
394,165.0,295.0
395,195.0,396.9
396,165.0,380.0
397,265.0,295.0
398,185.0,375.0
399,100.0,376.9
400,185.0,456.9
401,225.0,330.0
402,220.0,391.9
403,240.0,300.0
404,145.0,326.9
405,355.0,433.8
406,225.0,331.9
407,215.0,355.0
408,260.0,436.9
409,240.0,365.0
410,45.0,420.0
411,185.0,356.9
412,135.0,586.9
413,250.0,425.0
414,180.0,266.9
415,225.0,545.0
416,110.0,500.0
417,190.0,180.0
418,210.0,291.9
419,185.0,475.0
420,210.0,325.0
421,265.0,395.0
422,380.0,430.0
423,405.0,380.0
424,235.0,380.0
425,160.0,345.0
426,240.0,521.9
427,135.0,276.9
428,205.0,391.9
429,235.0,460.0
430,300.0,330.0
431,185.0,335.0
432,395.0,380.0
433,220.0,406.9
434,250.0,440.0
435,155.0,403.8
436,155.0,395.0
437,155.0,370.0
438,225.0,365.0
439,225.0,450.0
440,335.0,491.9
441,315.0,470.0
442,145.0,441.9
443,230.0,501.9
444,130.0,345.0
445,230.0,416.9
446,265.0,550.0
447,90.0,336.9
448,230.0,415.0
449,340.0,378.8
450,225.0,416.9
451,130.0,410.0
452,335.0,330.0
453,285.0,460.0
454,185.0,380.0
455,0.0,350.0
456,40.0,440.0
457,530.0,330.0
458,260.0,395.70000000000005
459,145.0,406.9
460,210.0,391.9
461,310.0,395.0
462,240.0,275.0
463,180.0,436.9
464,155.0,366.9
465,225.0,355.0
466,230.0,390.0
467,155.0,366.9
468,320.0,225.0
469,210.0,471.9
470,100.0,335.0
471,180.0,441.9
472,230.0,425.0
473,165.0,396.9
474,265.0,330.0
475,390.0,508.8
476,60.0,535.0
477,130.0,376.9
478,240.0,340.0
479,255.0,306.9
480,135.0,411.9
481,85.0,365.0
482,170.0,371.8
483,65.0,450.0
484,205.0,413.8
485,90.0,344.9
486,310.0,441.9
487,275.0,481.9
488,150.0,290.0
489,250.0,406.9
490,350.0,476.9
491,215.0,526.9
492,380.0,356.9
493,195.0,431.9
494,5.0,455.0
495,275.0,190.0
496,300.0,371.9
497,375.0,480.0
498,210.0,380.0
499,330.0,285.0
500,330.0,416.9
501,100.0,375.0
502,100.0,530.0
503,160.0,200.0
504,105.0,430.0
505,155.0,481.9
506,305.0,431.9
507,165.0,390.0
508,310.0,295.0
509,470.0,420.0
510,190.0,403.8
511,295.0,405.0
512,120.0,315.0
513,250.0,430.0
514,180.0,378.8
515,320.0,426.9
516,200.0,425.0
517,270.0,455.0
518,245.0,340.0
519,390.0,455.0
520,130.0,271.9
521,270.0,380.0
522,370.0,375.0
523,180.0,435.0
524,85.0,195.0
525,240.0,381.9
526,220.0,481.9
527,245.0,486.9
528,185.0,375.0
529,300.0,486.9
530,505.0,345.0
531,135.0,395.0
532,195.0,363.8
533,215.0,355.0
534,195.0,315.0
535,250.0,421.9
536,150.0,335.0
537,155.0,455.0
538,270.0,455.0
539,145.0,380.0
540,305.0,511.9
541,145.0,456.9
542,90.0,365.0
543,160.0,353.8
544,0.0,465.0
545,185.0,496.9
546,225.0,375.0
547,215.0,456.9
548,135.0,395.0
549,105.0,443.8
550,315.0,366.9
551,255.0,380.0
552,70.0,425.0
553,155.0,345.0
554,315.0,380.0
555,220.0,333.8
556,170.0,523.0
557,320.0,515.0
558,155.0,335.0
559,230.0,440.0
560,270.0,460.0
561,350.0,395.0
562,70.0,301.9
563,240.0,396.9
564,415.0,474.5
565,245.0,361.9
566,200.0,405.0
567,145.0,406.9
568,225.0,355.0
569,280.0,411.9
570,240.0,411.9
571,180.0,446.9
572,70.0,285.0
573,240.0,455.0
574,130.0,381.8
575,185.0,330.0
576,160.0,380.0
577,200.0,391.9
578,295.0,426.9
579,240.0,385.0
580,180.0,245.0
581,205.0,341.9
582,100.0,435.0
583,165.0,455.0
584,235.0,335.0
585,295.0,455.0
586,155.0,356.9
587,280.0,361.9
588,330.0,511.9
589,275.0,356.9
590,285.0,496.9
591,60.0,403.8
592,130.0,395.0
593,100.0,285.0
594,200.0,455.0
595,125.0,281.9
596,130.0,500.70000000000005
597,155.0,415.0
598,305.0,421.9
599,210.0,345.0
600,50.0,366.9
601,255.0,370.0
602,195.0,310.0
603,270.0,475.0
604,120.0,420.0
605,135.0,470.0
606,45.0,566.9
607,335.0,416.9
608,85.0,293.8
609,275.0,330.0
610,280.0,406.9
611,130.0,355.0
612,155.0,413.8
613,450.0,346.9
614,270.0,490.0
615,380.0,615.0
616,235.0,415.0
617,250.0,295.0
618,305.0,445.0
619,245.0,455.0
620,335.0,440.0
621,95.0,380.0
622,170.0,403.8
623,40.0,350.0
624,220.0,535.0
625,230.0,455.0
626,200.0,441.9
627,205.0,225.0
628,170.0,320.0
629,385.0,511.9
630,265.0,436.9
631,245.0,295.0
632,145.0,491.9
633,100.0,335.0
634,345.0,306.9
635,280.0,421.9
636,245.0,436.9
637,130.0,370.0
638,205.0,635.0
639,220.0,340.0
640,130.0,505.0
641,105.0,368.8
642,165.0,421.9
643,220.0,371.9
644,85.0,298.8
645,390.0,335.0
646,310.0,320.0
647,95.0,356.9
648,250.0,366.9
649,155.0,335.0
650,285.0,535.0
651,155.0,420.0
652,270.0,491.9
653,85.0,281.9
654,125.0,340.0
655,200.0,451.8
656,470.0,496.9
657,335.0,455.0
658,245.0,365.0
659,260.0,430.0
660,120.0,341.9
661,295.0,351.9
662,85.0,425.0
663,230.0,575.0
664,210.0,406.9
665,425.0,431.9
666,165.0,415.0
667,200.0,425.0
668,155.0,421.9
669,85.0,465.0
670,360.0,411.9
671,85.0,375.0
672,145.0,341.9
673,145.0,460.0
674,205.0,300.0
675,280.0,415.0
676,180.0,415.0
677,180.0,461.9
678,0.0,416.9
679,150.0,421.9
680,275.0,530.0
681,285.0,330.0
682,170.0,520.0
683,265.0,455.0
684,320.0,416.9
685,285.0,285.0
686,205.0,415.0
687,230.0,455.0
688,135.0,290.0
689,305.0,381.9
690,100.0,296.9
691,490.0,400.0
692,95.0,335.0
693,235.0,475.0
694,175.0,376.9
695,335.0,435.0
696,345.0,420.0
697,410.0,521.9
698,170.0,366.9
699,100.0,365.0
700,415.0,501.9
701,250.0,281.9
702,215.0,365.0
703,425.0,470.0
704,175.0,441.9
705,230.0,391.9
706,300.0,275.0
707,250.0,425.0
708,375.0,281.9
709,335.0,485.0
710,195.0,265.0
711,185.0,458.8
712,135.0,398.8
713,250.0,466.9
714,230.0,380.0
715,145.0,330.0
716,155.0,415.0
717,235.0,496.9
718,135.0,345.0
719,285.0,391.9
720,115.0,615.0
721,415.0,420.0
722,200.0,576.9
723,85.0,331.9
724,325.0,341.9
725,90.0,436.9
726,175.0,400.0
727,325.0,380.0
728,260.0,435.0
729,90.0,211.9
730,185.0,366.9
731,100.0,410.0
732,245.0,426.9
733,250.0,468.8
734,175.0,461.9
735,320.0,380.0
736,230.0,511.9
737,225.0,430.0
738,135.0,495.0
739,180.0,398.8
740,245.0,520.0
741,130.0,290.0
742,360.0,391.9
743,45.0,376.9
744,360.0,378.8
745,145.0,400.0
746,125.0,381.9
747,295.0,410.0
748,155.0,403.8
749,185.0,470.0
750,230.0,408.8
751,155.0,386.9
752,130.0,376.9
753,180.0,370.0
754,225.0,341.9
755,310.0,366.9
756,230.0,380.0
757,320.0,370.0
758,210.0,361.9
759,410.0,355.0
760,240.0,441.9
761,155.0,370.0
762,155.0,455.0
763,175.0,438.8
764,210.0,426.9
765,455.0,366.9
766,290.0,331.9
767,160.0,366.9
768,95.0,306.9
769,200.0,528.8
770,250.0,415.0
771,370.0,356.9
772,390.0,455.0
773,305.0,455.0
774,130.0,375.0
775,100.0,446.9
776,175.0,273.8
777,360.0,471.9
778,320.0,378.8
779,355.0,465.0
780,330.0,395.0
781,195.0,471.9
782,215.0,380.0
783,140.0,455.0
784,340.0,356.9
785,260.0,465.70000000000005
786,355.0,441.9
787,310.0,591.9
788,250.0,330.0
789,150.0,380.0
790,205.0,361.9
791,310.0,411.9
792,135.0,385.0
793,90.0,435.0
794,450.0,380.0
795,180.0,390.0
796,125.0,380.0
797,330.0,403.8
798,125.0,435.0
799,360.0,381.9
800,270.0,378.8
801,80.0,345.0
802,255.0,390.0
803,210.0,465.0
804,220.0,406.9
805,185.0,525.0
806,145.0,396.9
807,165.0,380.0
808,180.0,550.0
809,90.0,380.0
810,195.0,331.9
811,225.0,380.0
812,270.0,405.0
813,370.0,425.0
814,85.0,335.0
815,150.0,455.0
816,300.0,630.7
817,100.0,415.0
818,185.0,531.9
819,160.0,300.0
820,195.0,366.9
821,495.0,481.9
822,225.0,345.0
823,230.0,470.0
824,115.0,477.6
825,160.0,366.9
826,125.0,405.0
827,155.0,415.0
828,375.0,370.0
829,335.0,385.0
830,85.0,375.0
831,0.0,335.0
832,155.0,366.9
833,90.0,366.9
834,195.0,381.9
835,200.0,458.8
836,45.0,421.9
837,90.0,408.8
838,100.0,300.0
839,155.0,370.0
840,245.0,451.9
841,220.0,376.9
842,405.0,475.0
843,205.0,470.0
844,300.0,355.0
845,190.0,440.0
846,200.0,331.9
847,365.0,370.0
848,135.0,290.0
849,150.0,451.9
850,210.0,376.9
851,380.0,365.0
852,325.0,405.0
853,150.0,446.9
854,145.0,498.8
855,435.0,380.0
856,165.0,330.0
857,100.0,451.9
858,348.0,435.0
859,215.0,345.0
860,245.0,465.0
861,385.0,270.0
862,365.0,420.0
863,270.0,351.9
864,260.0,318.8
865,90.0,355.0
866,290.0,455.0
867,450.0,381.9
868,260.0,356.9
869,180.0,555.0
870,265.0,428.8
871,310.0,406.9
872,170.0,490.0
873,165.0,450.0
874,285.0,345.0
875,80.0,480.0
876,390.0,430.0
877,155.0,493.8
878,125.0,515.0
879,290.0,366.9
880,130.0,421.9
881,240.0,291.9
882,220.0,405.0
883,170.0,521.9
884,285.0,380.0
885,145.0,330.0
886,460.0,460.0
887,110.0,355.0
888,260.0,401.9
889,280.0,480.0
890,265.0,380.0
891,370.0,370.0
892,215.0,360.0
893,200.0,381.9
894,150.0,370.0
895,170.0,490.70000000000005
896,315.0,355.0
897,135.0,395.0
898,285.0,373.8
899,275.0,376.9
900,325.0,310.0
901,145.0,416.9
902,200.0,401.9
903,135.0,470.0
904,205.0,550.0
905,250.0,365.0
906,180.0,241.9
907,85.0,390.0
908,200.0,335.0
909,160.0,370.0
910,230.0,410.0
911,225.0,475.0
912,215.0,415.0
913,355.0,381.9
914,205.0,416.9
915,355.0,415.0
916,185.0,341.9
917,80.0,365.0
918,290.0,361.9
919,340.0,443.8
920,345.0,245.0
921,360.0,500.0
922,265.0,391.9
923,90.0,415.0
924,250.0,406.9
925,220.0,425.0
926,250.0,455.70000000000005
927,65.0,270.0
928,285.0,331.9
929,285.0,356.9
930,360.0,490.0
931,185.0,460.0
932,100.0,506.9
933,90.0,220.0
934,115.0,366.9
935,65.0,380.0
936,265.0,512.6
937,360.0,391.9
938,150.0,355.0
939,455.0,515.0
940,305.0,373.8
941,5.0,490.0
942,190.0,465.0
943,145.0,391.9
944,250.0,471.9
945,245.0,295.0
946,90.0,515.0
947,70.0,430.0
948,115.0,281.9
949,65.0,410.0
950,230.0,353.8
951,90.0,416.9
952,90.0,300.0
953,225.0,345.0
954,250.0,441.9
955,185.0,380.0
956,35.0,455.0
957,165.0,506.9
958,185.0,480.0
959,415.0,470.0
960,220.0,420.0
961,350.0,320.0
962,125.0,450.0
963,150.0,370.0
964,150.0,395.0
965,175.0,290.0
966,95.0,391.9
967,250.0,410.0
968,445.0,475.0
969,335.0,450.0
970,155.0,403.8
971,180.0,441.9
972,0.0,416.9
973,100.0,415.0
974,105.0,455.0
975,270.0,330.0
976,205.0,425.0
977,175.0,351.9
978,195.0,356.9
979,220.0,370.0
980,70.0,376.9
981,285.0,391.9
982,115.0,353.8
983,360.0,330.0
984,285.0,438.8
985,290.0,356.9
986,85.0,446.9
987,365.0,395.0
988,220.0,376.9
989,85.0,295.0
990,285.0,330.0
991,295.0,450.0
992,250.0,375.0
993,220.0,271.9
994,70.0,361.9
995,280.0,395.0
996,65.0,275.0
997,320.0,416.9
998,180.0,401.9
999,220.0,331.9
1000,135.0,330.0
1001,220.0,431.9
1002,170.0,390.0
1003,225.0,366.9
1004,5.0,310.0
1005,165.0,503.0
1006,260.0,455.0
1007,230.0,456.9
1008,210.0,306.9
1009,360.0,295.0
1010,210.0,376.9
1011,235.0,450.0
1012,360.0,331.9
1013,275.0,408.8
1014,140.0,340.0
1015,235.0,571.9
1016,200.0,478.0
1017,155.0,380.0
1018,360.0,316.9
1019,185.0,613.8
1020,205.0,451.9
1021,200.0,416.9
1022,175.0,431.9
1023,190.0,425.0
1024,110.0,390.0
1025,240.0,510.0
1026,220.0,380.0
1027,180.0,395.0
1028,175.0,500.0
1029,225.0,370.0
1030,85.0,376.9
1031,285.0,381.9
1032,305.0,375.0
1033,185.0,455.0
1034,185.0,370.0
1035,290.0,391.9
1036,60.0,366.9
1037,205.0,326.9
1038,200.0,366.9
1039,180.0,396.9
1040,170.0,551.9
1041,175.0,395.0
1042,375.0,401.9
1043,100.0,130.0
1044,70.0,403.8
1045,130.0,250.0
1046,130.0,220.0
1047,185.0,375.0
1048,185.0,450.0
1049,145.0,335.0
1050,455.0,435.0
1051,240.0,350.0
1052,180.0,330.0
1053,135.0,380.0
1054,320.0,391.9
1055,240.0,310.0
1056,250.0,466.9
1057,345.0,595.0
1058,340.0,458.8
1059,230.0,280.0
1060,395.0,370.0
1061,340.0,281.9
1062,260.0,350.0
1063,240.0,285.0
1064,250.0,466.9
1065,150.0,340.0
1066,120.0,376.9
1067,345.0,380.0
1068,335.0,395.0
1069,155.0,458.8
1070,45.0,386.9
1071,240.0,460.0
1072,105.0,458.8
1073,300.0,440.0
1074,315.0,281.9
1075,170.0,426.9
1076,130.0,381.9
1077,285.0,281.9
1078,185.0,376.9
1079,150.0,401.9
1080,240.0,455.0
1081,100.0,370.0
1082,535.0,390.0
1083,90.0,451.9
1084,355.0,520.0
1085,270.0,416.9
1086,100.0,340.0
1087,350.0,380.0
1088,115.0,363.8
1089,370.0,366.9
1090,240.0,465.0
1091,230.0,380.0
1092,235.0,310.0
1093,285.0,455.0
1094,50.0,400.0
1095,200.0,391.9
1096,195.0,413.8
1097,45.0,349.9
1098,245.0,435.0
1099,250.0,400.0
1100,175.0,281.9
1101,185.0,345.0
1102,260.0,295.0
1103,250.0,285.0
1104,40.0,360.0
1105,240.0,456.9
1106,90.0,311.9
1107,395.0,541.9
1108,100.0,358.0
1109,65.0,385.0
1110,155.0,480.0
1111,240.0,345.0
1112,295.0,461.9
1113,150.0,380.0
1114,65.0,350.0
1115,225.0,290.0
1116,290.0,455.0
1117,450.0,430.0
1118,215.0,605.0
1119,220.0,390.0
1120,250.0,330.0
1121,180.0,506.9
1122,240.0,411.9
1123,65.0,471.9
1124,70.0,335.0
1125,280.0,391.9
1126,185.0,315.0
1127,170.0,455.0
1128,235.0,375.0
1129,135.0,285.0
1130,415.0,360.0
1131,345.0,490.0
1132,95.0,380.0
1133,140.0,315.0
1134,200.0,370.0
1135,85.0,480.0
1136,225.0,455.0
1137,145.0,355.0
1138,540.0,340.0
1139,260.0,356.9
1140,95.0,300.0
1141,205.0,405.0
1142,50.0,366.9
1143,270.0,391.9
1144,145.0,431.9
1145,360.0,410.0
1146,220.0,378.8
1147,155.0,310.0
1148,180.0,310.0
1149,310.0,420.0
1150,130.0,271.9
1151,395.0,416.9
1152,135.0,375.0
1153,355.0,446.9
1154,130.0,310.0
1155,100.0,603.8
1156,185.0,398.8
1157,455.0,425.0
1158,300.0,380.0
1159,65.0,610.0
1160,215.0,450.0
1161,135.0,335.0
1162,110.0,630.0
1163,220.0,316.9
1164,285.0,416.9
1165,285.0,411.9
1166,195.0,438.8
1167,195.0,375.0
1168,240.0,446.9
1169,165.0,386.9
1170,145.0,390.0
1171,410.0,330.0
1172,155.0,413.8
1173,215.0,391.9
1174,310.0,390.0
1175,165.0,386.9
1176,335.0,375.0
1177,305.0,305.0
1178,175.0,390.0
1179,280.0,391.9
1180,210.0,318.8
1181,220.0,390.0
1182,175.0,326.9
1183,315.0,370.0
1184,180.0,381.9
1185,330.0,395.0
1186,335.0,416.9
1187,175.0,455.0
1188,265.0,316.9
1189,220.0,391.9
1190,115.0,318.8
1191,305.0,395.0
1192,180.0,341.9
1193,350.0,403.8
1194,110.0,296.9
1195,390.0,440.0
1196,100.0,370.0
1197,300.0,370.0
1198,180.0,340.0
1199,180.0,635.0
1200,305.0,410.0
1201,270.0,441.9
1202,155.0,365.0
1203,100.0,273.8
1204,165.0,416.9
1205,385.0,315.0
1206,350.0,456.9
1207,185.0,465.0
1208,290.0,393.8
1209,245.0,380.0
1210,90.0,420.0
1211,265.0,530.0
1212,70.0,450.0
1213,215.0,508.8
1214,185.0,266.9
1215,100.0,396.9
1216,265.0,396.9
1217,285.0,403.8
1218,395.0,475.0
1219,185.0,380.0
1220,190.0,361.9
1221,310.0,336.9
1222,35.0,495.0
1223,145.0,401.9
1224,160.0,440.0
1225,250.0,486.9
1226,245.0,475.0
1227,5.0,266.9
1228,250.0,416.9
1229,70.0,250.0
1230,235.0,391.9
1231,285.0,366.9
1232,360.0,426.9
1233,260.0,506.9
1234,165.0,435.0
1235,200.0,370.0
1236,545.0,551.9
1237,135.0,470.0
1238,250.0,295.0
1239,100.0,335.0
1240,245.0,438.8
1241,240.0,511.9
1242,130.0,410.0
1243,230.0,345.0
1244,280.0,500.0
1245,155.0,265.0
1246,200.0,361.9
1247,485.0,455.0
1248,155.0,380.0
1249,300.0,501.9
1250,240.0,331.9
1251,295.0,476.9
1252,200.0,456.9
1253,90.0,555.0
1254,285.0,450.0
1255,145.0,425.0
1256,200.0,416.9
1257,210.0,380.0
1258,265.0,365.0
1259,370.0,451.9
1260,90.0,386.9
1261,180.0,445.0
1262,220.0,415.0
1263,185.0,395.0
1264,220.0,490.0
1265,345.0,465.0
1266,240.0,458.8
1267,130.0,515.0
1268,240.0,380.0
1269,350.0,370.0
1270,245.0,281.9
1271,305.0,351.9
1272,160.0,255.0
1273,105.0,431.9
1274,390.0,416.9
1275,275.0,375.0
1276,425.0,366.9
1277,275.0,370.0
1278,135.0,380.0
1279,115.0,395.0
1280,250.0,313.8
1281,65.0,345.0
1282,250.0,345.0
1283,200.0,295.0
1284,125.0,415.0
1285,50.0,356.9
1286,275.0,356.9
1287,445.0,545.0
1288,270.0,366.9
1289,95.0,475.70000000000005
1290,5.0,393.8
1291,205.0,510.0
1292,95.0,260.0
1293,0.0,310.0
1294,400.0,416.9
1295,155.0,373.8
1296,60.0,386.9
1297,265.0,435.0
1298,195.0,456.9
1299,50.0,463.8
1300,528.0,436.9
1301,170.0,376.9
1302,65.0,601.9
1303,165.0,430.0
1304,195.0,441.9
1305,185.0,365.0
1306,85.0,474.5
1307,185.0,403.8
1308,90.0,386.9
1309,255.0,260.0
1310,215.0,416.9
1311,85.0,415.0
1312,215.0,360.0
1313,370.0,345.0
1314,275.0,366.9
1315,295.0,416.9
1316,0.0,391.9
1317,200.0,416.9
1318,85.0,416.9
1319,405.0,471.9
1320,370.0,366.9
1321,380.0,420.0
1322,175.0,285.0
1323,300.0,376.9
1324,240.0,475.0
1325,225.0,506.9
1326,460.0,285.0
1327,50.0,291.9
1328,210.0,326.9
1329,165.0,498.8
1330,140.0,351.9
1331,95.0,295.0
1332,175.0,366.9
1333,175.0,471.9
1334,200.0,386.9
1335,330.0,405.0
1336,335.0,366.9
1337,175.0,480.0
1338,275.0,465.0
1339,380.0,355.0
1340,95.0,321.9
1341,390.0,415.0
1342,180.0,406.9
1343,275.0,315.0
1344,305.0,416.9
1345,130.0,376.9
1346,185.0,465.0
1347,130.0,490.0
1348,85.0,375.0
1349,325.0,380.0
1350,310.0,490.0
1351,40.0,293.8
1352,200.0,376.9
1353,275.0,450.0
1354,175.0,265.0
1355,150.0,411.9
