,p1_sum_spd_last,p2_sum_spd_last
125,360.0,489.75
126,365.0,469.75
127,245.0,539.75
128,430.0,535.0
129,290.0,599.75
130,380.0,505.0
131,180.0,420.0
132,175.0,594.75
133,70.0,384.5
134,280.0,595.0
135,290.0,484.75
136,440.0,480.0
137,110.0,564.75
138,435.0,560.0
139,305.0,524.5
140,325.0,604.75
141,320.0,590.0
142,190.0,574.75
143,390.0,550.0
144,265.0,595.0
145,260.0,519.75
146,420.0,625.0
147,135.0,415.0
148,335.0,619.75
149,340.0,575.0
150,385.0,530.0
151,290.0,535.0
152,395.0,435.0
153,295.0,580.0
154,370.0,520.0
155,355.0,580.0
156,395.0,594.75
157,250.0,510.0
158,430.0,595.0
159,260.0,444.75
160,370.0,559.75
161,340.0,600.0
162,320.0,590.0
163,240.0,480.0
164,300.0,460.0
165,430.0,604.75
166,435.0,550.0
167,240.0,469.75
168,265.0,520.0
169,190.0,550.0
170,125.0,515.0
171,235.0,425.0
172,345.0,539.75
173,245.0,490.0
174,355.0,515.0
175,320.0,565.0
176,270.0,565.0
177,205.0,559.75
178,215.0,500.0
179,215.0,560.0
180,420.0,649.75
181,355.0,390.0
182,230.0,560.0
183,390.0,559.75
184,340.0,595.0
185,330.0,465.0
186,360.0,385.0
187,270.0,625.0
188,65.0,525.0
189,385.0,574.75
190,295.0,604.75
191,355.0,350.0
192,210.0,510.0
193,105.0,479.5
194,260.0,465.0
195,175.0,534.75
196,390.0,609.5
197,400.0,560.0
198,100.0,559.75
199,205.0,609.75
200,240.0,520.0
201,230.0,510.0
202,455.0,590.0
203,325.0,605.0
204,350.0,504.75
205,70.0,490.0
206,345.0,619.5
207,430.0,510.0
208,310.0,604.5
209,225.0,609.25
210,425.0,554.5
211,460.0,599.75
212,290.0,585.0
213,305.0,510.0
214,295.0,454.75
215,520.0,620.0
216,400.0,544.75
217,85.0,514.75
218,395.0,449.75
219,195.0,505.0
220,270.0,600.0
221,400.0,534.75
222,125.0,405.0
223,325.0,595.0
224,330.0,465.0
225,270.0,600.0
226,330.0,409.75
227,135.0,579.75
228,200.0,405.0
229,375.0,634.5
230,270.0,585.0
231,270.0,584.5
232,395.0,609.25
233,300.0,415.0
234,430.0,404.75
235,430.0,460.0
236,290.0,614.5
237,300.0,599.75
238,270.0,480.0
239,475.0,620.0
240,240.0,385.0
241,265.0,500.0
242,255.0,573.75
243,365.0,564.5
244,300.0,590.0
245,290.0,505.0
246,415.0,510.0
247,260.0,600.0
248,180.0,410.0
249,165.0,630.0
250,430.0,624.75
251,410.0,445.0
252,170.0,584.25
253,320.0,619.75
254,225.0,629.75
255,145.0,315.0
256,165.0,329.75
257,450.0,534.75
258,170.0,590.0
259,290.0,460.0
260,380.0,554.75
261,270.0,580.0
262,270.0,520.0
263,200.0,589.75
264,490.0,654.75
265,355.0,549.75
266,125.0,559.75
267,350.0,520.0
268,380.0,569.75
269,70.0,534.75
270,200.0,514.75
271,175.0,559.75
272,365.0,619.5
273,290.0,579.5
274,455.0,545.0
275,295.0,585.0
276,190.0,450.0
277,270.0,530.0
278,200.0,484.75
279,215.0,575.0
280,135.0,415.0
281,235.0,650.0
282,460.0,624.75
283,165.0,500.0
284,295.0,559.75
285,455.0,594.5
286,230.0,495.0
287,300.0,595.0
288,400.0,580.0
289,335.0,504.75
290,250.0,584.75
291,335.0,500.0
292,125.0,550.0
293,330.0,560.0
294,170.0,595.0
295,275.0,590.0
296,475.0,624.75
297,285.0,595.0
298,315.0,584.75
299,450.0,480.0
300,295.0,625.0
301,370.0,619.5
302,135.0,625.0
303,265.0,579.75
304,205.0,495.0
305,310.0,490.0
306,415.0,619.75
307,310.0,524.75
308,395.0,550.0
309,425.0,625.0
310,330.0,609.75
311,260.0,559.75
312,270.0,619.75
313,410.0,554.5
314,95.0,484.75
315,395.0,424.75
316,135.0,549.75
317,235.0,600.0
318,240.0,575.0
319,165.0,524.75
320,430.0,435.0
321,355.0,580.0
322,270.0,600.0
323,490.0,534.75
324,395.0,460.0
325,0.0,490.0
326,195.0,599.75
327,290.0,509.75
328,405.0,555.0
329,230.0,614.75
330,340.0,595.0
331,395.0,654.75
332,65.0,510.0
333,190.0,580.0
334,65.0,434.75
335,180.0,450.0
336,200.0,480.0
337,305.0,624.75
338,230.0,230.0
339,335.0,499.75
340,200.0,385.0
341,395.0,510.0
342,250.0,475.0
343,395.0,404.75
344,295.0,624.75
345,490.0,580.0
346,395.0,644.75
347,235.0,495.0
348,330.0,619.75
349,390.0,584.75
350,395.0,570.0
351,390.0,609.75
352,295.0,579.75
353,255.0,510.0
354,410.0,519.75
355,305.0,535.0
356,405.0,545.0
357,190.0,470.0
358,230.0,644.75
359,435.0,545.0
360,170.0,459.75
361,455.0,585.0
362,395.0,639.75
363,160.0,559.75
364,205.0,235.0
365,465.0,614.75
366,425.0,480.0
367,105.0,625.0
368,240.0,595.0
369,265.0,634.5
370,160.0,560.0
371,100.0,554.75
372,290.0,585.0
373,200.0,400.0
374,260.0,525.0
375,265.0,479.75
376,170.0,600.0
377,185.0,538.75
378,280.0,485.0
379,240.0,395.0
380,300.0,584.5
381,305.0,580.0
382,290.0,514.75
383,410.0,554.75
384,520.0,545.0
385,330.0,460.0
386,270.0,579.25
387,275.0,605.0
388,300.0,480.0
389,380.0,445.0
390,455.0,529.75
391,330.0,469.75
392,340.0,590.0
393,500.0,594.75
394,240.0,500.0
395,365.0,534.75
396,240.0,420.0
397,295.0,475.0
398,275.0,605.0
399,175.0,594.75
400,275.0,589.75
401,330.0,595.0
402,285.0,529.75
403,325.0,470.0
404,235.0,489.75
405,370.0,594.5
406,330.0,434.75
407,360.0,605.0
408,535.0,614.75
409,240.0,530.0
410,135.0,590.0
411,300.0,409.75
412,340.0,579.75
413,365.0,555.0
414,195.0,394.75
415,405.0,590.0
416,200.0,580.0
417,275.0,405.0
418,285.0,544.75
419,275.0,585.0
420,375.0,315.0
421,395.0,620.0
422,600.0,545.0
423,580.0,600.0
424,500.0,600.0
425,305.0,675.0
426,395.0,604.75
427,270.0,419.75
428,270.0,589.75
429,290.0,440.0
430,215.0,530.0
431,300.0,465.0
432,595.0,600.0
433,220.0,449.75
434,365.0,595.0
435,270.0,584.5
436,135.0,595.0
437,135.0,525.0
438,330.0,380.0
439,290.0,610.0
440,515.0,519.75
441,370.0,545.0
442,235.0,534.75
443,410.0,574.75
444,260.0,590.0
445,435.0,559.75
446,320.0,470.0
447,230.0,549.75
448,410.0,520.0
449,330.0,594.5
450,310.0,559.75
451,165.0,615.0
452,465.0,460.0
453,350.0,600.0
454,300.0,600.0
455,0.0,525.0
456,200.0,550.0
457,565.0,595.0
458,245.0,644.25
459,310.0,599.75
460,425.0,529.75
461,530.0,540.0
462,230.0,320.0
463,175.0,619.75
464,295.0,624.75
465,330.0,630.0
466,410.0,575.0
467,270.0,554.75
468,390.0,405.0
469,275.0,604.75
470,175.0,465.0
471,295.0,534.75
472,385.0,555.0
473,180.0,449.75
474,395.0,485.0
475,510.0,584.5
476,110.0,470.0
477,260.0,594.75
478,395.0,430.0
479,390.0,499.75
480,365.0,649.75
481,335.0,515.0
482,210.0,589.5
483,235.0,590.0
484,145.0,529.5
485,230.0,519.75
486,530.0,534.75
487,315.0,569.75
488,190.0,470.0
489,340.0,634.75
490,340.0,604.75
491,145.0,564.75
492,420.0,584.75
493,400.0,574.75
494,105.0,415.0
495,365.0,390.0
496,215.0,549.75
497,495.0,490.0
498,275.0,625.0
499,360.0,460.0
500,275.0,544.75
501,160.0,595.0
502,175.0,565.0
503,135.0,335.0
504,245.0,450.0
505,295.0,534.75
506,520.0,599.75
507,240.0,490.0
508,415.0,500.0
509,355.0,590.0
510,215.0,584.5
511,500.0,455.0
512,195.0,560.0
513,380.0,460.0
514,200.0,589.5
515,385.0,589.75
516,430.0,540.0
517,385.0,510.0
518,235.0,310.0
519,445.0,535.0
520,235.0,459.75
521,400.0,600.0
522,410.0,435.0
523,270.0,590.0
524,125.0,325.0
525,215.0,644.75
526,465.0,564.75
527,370.0,574.75
528,275.0,595.0
529,390.0,529.75
530,570.0,590.0
531,270.0,620.0
532,325.0,619.5
533,360.0,510.0
534,325.0,535.0
535,365.0,509.75
536,190.0,490.0
537,270.0,510.0
538,400.0,495.0
539,190.0,600.0
540,330.0,544.75
541,190.0,589.75
542,230.0,605.0
543,135.0,554.5
544,0.0,625.0
545,275.0,579.75
546,330.0,595.0
547,425.0,589.75
548,270.0,540.0
549,230.0,519.5
550,380.0,529.75
551,390.0,420.0
552,170.0,555.0
553,200.0,545.0
554,550.0,600.0
555,490.0,649.5
556,225.0,600.0
557,475.0,585.0
558,270.0,465.0
559,410.0,585.0
560,425.0,620.0
561,420.0,595.0
562,170.0,464.75
563,395.0,644.75
564,515.0,573.75
565,335.0,619.75
566,430.0,480.0
567,310.0,499.75
568,330.0,315.0
569,245.0,579.75
570,395.0,529.75
571,195.0,629.75
572,170.0,530.0
573,255.0,495.0
574,235.0,509.5
575,300.0,475.0
576,320.0,600.0
577,430.0,604.75
578,375.0,419.75
579,255.0,650.0
580,195.0,405.0
581,320.0,559.75
582,160.0,445.0
583,240.0,510.0
584,390.0,490.0
585,375.0,510.0
586,295.0,409.75
587,425.0,619.75
588,400.0,544.75
589,340.0,409.75
590,435.0,589.75
591,110.0,584.5
592,300.0,595.0
593,175.0,460.0
594,300.0,510.0
595,300.0,429.75
596,260.0,554.25
597,270.0,520.0
598,310.0,584.75
599,250.0,555.0
600,240.0,444.75
601,420.0,560.0
602,230.0,495.0
603,400.0,615.0
604,45.0,480.0
605,270.0,490.0
606,135.0,569.75
607,355.0,559.75
608,125.0,489.5
609,315.0,595.0
610,525.0,614.75
611,260.0,630.0
612,295.0,554.5
613,330.0,489.75
614,400.0,535.0
615,395.0,530.0
616,230.0,460.0
617,305.0,500.0
618,345.0,595.0
619,235.0,480.0
620,465.0,550.0
621,70.0,600.0
622,295.0,554.5
623,200.0,480.0
624,490.0,545.0
625,435.0,510.0
626,405.0,514.75
627,270.0,405.0
628,285.0,580.0
629,340.0,609.75
630,220.0,604.75
631,185.0,475.0
632,310.0,614.75
633,175.0,490.0
634,415.0,444.75
635,525.0,509.75
636,150.0,509.75
637,280.0,560.0
638,320.0,595.0
639,370.0,520.0
640,260.0,545.0
641,230.0,509.5
642,430.0,509.75
643,220.0,489.75
644,125.0,554.5
645,360.0,465.0
646,430.0,520.0
647,70.0,514.75
648,365.0,624.75
649,270.0,465.0
650,415.0,455.0
651,295.0,590.0
652,385.0,534.75
653,125.0,499.75
654,300.0,415.0
655,430.0,569.5
656,510.0,529.75
657,465.0,510.0
658,430.0,555.0
659,340.0,520.0
660,195.0,589.75
661,375.0,519.75
662,100.0,390.0
663,380.0,545.0
664,375.0,614.75
665,455.0,574.75
666,240.0,545.0
667,405.0,555.0
668,295.0,654.75
669,125.0,520.0
670,440.0,649.75
671,125.0,520.0
672,255.0,629.75
673,160.0,460.0
674,270.0,550.0
675,260.0,585.0
676,270.0,545.0
677,195.0,639.75
678,0.0,559.75
679,190.0,649.75
680,290.0,595.0
681,325.0,480.0
682,325.0,530.0
683,295.0,510.0
684,360.0,559.75
685,460.0,460.0
686,270.0,520.0
687,340.0,510.0
688,270.0,565.0
689,365.0,619.75
690,125.0,479.75
691,310.0,560.0
692,70.0,465.0
693,315.0,615.0
694,330.0,594.75
695,465.0,565.0
696,375.0,510.0
697,550.0,604.75
698,325.0,419.75
699,205.0,385.0
700,400.0,574.75
701,340.0,499.75
702,115.0,550.0
703,375.0,650.0
704,330.0,534.75
705,435.0,569.75
706,240.0,475.0
707,305.0,615.0
708,580.0,524.75
709,310.0,475.0
710,195.0,320.0
711,300.0,564.5
712,365.0,574.5
713,340.0,489.75
714,435.0,420.0
715,310.0,595.0
716,135.0,545.0
717,320.0,494.75
718,365.0,525.0
719,460.0,504.75
720,305.0,530.0
721,545.0,570.0
722,335.0,534.75
723,125.0,439.75
724,250.0,629.75
725,230.0,619.75
726,355.0,550.0
727,405.0,600.0
728,290.0,625.0
729,230.0,374.75
730,300.0,624.75
731,175.0,565.0
732,275.0,529.75
733,475.0,494.5
734,295.0,469.75
735,360.0,625.0
736,435.0,539.75
737,330.0,575.0
738,365.0,580.0
739,270.0,539.5
740,235.0,500.0
741,335.0,470.0
742,440.0,604.75
743,135.0,514.75
744,440.0,614.5
745,310.0,375.0
746,325.0,569.75
747,500.0,610.0
748,295.0,584.5
749,110.0,660.0
750,435.0,479.5
751,270.0,614.75
752,260.0,594.75
753,270.0,410.0
754,310.0,654.75
755,455.0,624.75
756,355.0,625.0
757,445.0,585.0
758,405.0,459.75
759,520.0,585.0
760,395.0,539.75
761,180.0,410.0
762,270.0,510.0
763,355.0,504.5
764,375.0,359.75
765,510.0,529.75
766,285.0,459.75
767,285.0,554.75
768,70.0,424.75
769,430.0,469.5
770,365.0,545.0
771,385.0,609.75
772,335.0,510.0
773,320.0,510.0
774,165.0,500.0
775,175.0,374.75
776,435.0,539.5
777,420.0,504.75
778,335.0,594.5
779,525.0,570.0
780,360.0,520.0
781,325.0,539.75
782,430.0,625.0
783,205.0,615.0
784,510.0,609.75
785,270.0,584.25
786,335.0,534.75
787,450.0,564.75
788,325.0,510.0
789,190.0,600.0
790,145.0,544.75
791,470.0,569.75
792,270.0,630.0
793,230.0,615.0
794,405.0,625.0
795,170.0,495.0
796,230.0,600.0
797,360.0,584.5
798,325.0,570.0
799,280.0,619.75
800,260.0,649.5
801,230.0,525.0
802,425.0,570.0
803,355.0,545.0
804,395.0,614.75
805,145.0,470.0
806,310.0,654.75
807,180.0,600.0
808,170.0,495.0
809,230.0,490.0
810,300.0,459.75
811,370.0,625.0
812,400.0,620.0
813,300.0,625.0
814,100.0,465.0
815,360.0,510.0
816,550.0,539.25
817,175.0,515.0
818,300.0,499.75
819,285.0,470.0
820,400.0,529.75
821,415.0,549.75
822,330.0,545.0
823,435.0,525.0
824,305.0,544.0
825,255.0,554.75
826,325.0,580.0
827,295.0,545.0
828,595.0,560.0
829,465.0,525.0
830,200.0,495.0
831,0.0,465.0
832,270.0,624.75
833,230.0,554.75
834,205.0,619.75
835,300.0,569.5
836,135.0,514.75
837,205.0,524.5
838,175.0,475.0
839,295.0,385.0
840,295.0,514.75
841,370.0,594.75
842,585.0,580.0
843,170.0,570.0
844,375.0,605.0
845,215.0,575.0
846,430.0,434.75
847,450.0,585.0
848,340.0,540.0
849,190.0,504.75
850,355.0,614.75
851,515.0,580.0
852,450.0,505.0
853,190.0,574.75
854,255.0,499.5
855,495.0,600.0
856,275.0,475.0
857,175.0,544.75
858,465.0,640.0
859,360.0,555.0
860,235.0,545.0
861,340.0,400.0
862,360.0,480.0
863,235.0,494.75
864,270.0,459.5
865,230.0,565.0
866,395.0,510.0
867,345.0,599.75
868,455.0,609.75
869,170.0,575.0
870,255.0,574.5
871,415.0,584.75
872,250.0,535.0
873,240.0,505.0
874,385.0,590.0
875,95.0,550.0
876,335.0,460.0
877,295.0,589.5
878,150.0,585.0
879,395.0,529.75
880,195.0,579.75
881,245.0,624.75
882,395.0,505.0
883,325.0,554.75
884,325.0,490.0
885,255.0,360.0
886,265.0,530.0
887,80.0,585.0
888,315.0,609.75
889,525.0,500.0
890,375.0,600.0
891,490.0,560.0
892,115.0,590.0
893,430.0,619.75
894,400.0,480.0
895,325.0,559.25
896,535.0,630.0
897,365.0,575.0
898,515.0,564.5
899,315.0,594.75
900,315.0,495.0
901,160.0,559.75
902,430.0,569.75
903,365.0,520.0
904,440.0,605.0
905,340.0,420.0
906,195.0,399.75
907,125.0,490.0
908,270.0,490.0
909,135.0,585.0
910,410.0,620.0
911,290.0,530.0
912,360.0,545.0
913,385.0,644.75
914,270.0,559.75
915,605.0,520.0
916,275.0,654.75
917,230.0,455.0
918,395.0,494.75
919,330.0,674.5
920,325.0,470.0
921,490.0,545.0
922,350.0,564.75
923,230.0,515.0
924,340.0,519.75
925,490.0,540.0
926,305.0,639.25
927,215.0,505.0
928,285.0,469.75
929,555.0,609.75
930,440.0,580.0
931,330.0,625.0
932,175.0,509.75
933,230.0,465.0
934,305.0,529.75
935,170.0,600.0
936,210.0,569.0
937,440.0,529.75
938,400.0,605.0
939,310.0,600.0
940,325.0,564.5
941,105.0,475.0
942,390.0,605.0
943,310.0,589.75
944,365.0,539.75
945,445.0,500.0
946,230.0,580.0
947,170.0,575.0
948,305.0,429.75
949,235.0,415.0
950,435.0,579.5
951,205.0,559.75
952,230.0,360.0
953,330.0,375.0
954,365.0,614.75
955,300.0,600.0
956,95.0,510.0
957,240.0,564.75
958,300.0,490.0
959,515.0,570.0
960,220.0,590.0
961,425.0,540.0
962,325.0,405.0
963,190.0,385.0
964,190.0,595.0
965,165.0,395.0
966,70.0,504.75
967,485.0,615.0
968,385.0,580.0
969,310.0,485.0
970,270.0,609.5
971,195.0,539.75
972,0.0,559.75
973,160.0,545.0
974,265.0,510.0
975,400.0,595.0
976,420.0,555.0
977,355.0,494.75
978,195.0,459.75
979,220.0,560.0
980,170.0,594.75
981,460.0,504.75
982,305.0,579.5
983,465.0,595.0
984,460.0,504.5
985,470.0,584.75
986,125.0,444.75
987,490.0,595.0
988,220.0,594.75
989,125.0,500.0
990,530.0,570.0
991,500.0,505.0
992,345.0,595.0
993,280.0,484.75
994,170.0,619.75
995,355.0,595.0
996,100.0,420.0
997,475.0,539.75
998,170.0,454.75
999,370.0,459.75
1000,270.0,595.0
1001,285.0,434.75
1002,225.0,490.0
1003,310.0,529.75
1004,105.0,430.0
1005,180.0,475.0
1006,340.0,510.0
1007,230.0,589.75
1008,275.0,464.75
1009,440.0,500.0
1010,250.0,569.75
1011,285.0,405.0
1012,320.0,434.75
1013,315.0,634.5
1014,205.0,430.0
1015,290.0,614.75
1016,335.0,555.0
1017,295.0,625.0
1018,445.0,619.75
1019,300.0,534.5
1020,270.0,584.75
1021,430.0,659.75
1022,330.0,519.75
1023,390.0,600.0
1024,200.0,435.0
1025,300.0,470.0
1026,395.0,600.0
1027,170.0,595.0
1028,330.0,550.0
1029,330.0,585.0
1030,125.0,594.75
1031,460.0,619.75
1032,385.0,595.0
1033,275.0,510.0
1034,285.0,560.0
1035,370.0,604.75
1036,130.0,624.75
1037,145.0,354.75
1038,430.0,554.75
1039,195.0,594.75
1040,225.0,574.75
1041,435.0,425.0
1042,595.0,584.75
1043,175.0,335.0
1044,170.0,584.5
1045,165.0,365.0
1046,165.0,465.0
1047,275.0,595.0
1048,430.0,600.0
1049,235.0,490.0
1050,510.0,630.0
1051,240.0,520.0
1052,195.0,425.0
1053,270.0,395.0
1054,290.0,504.75
1055,395.0,495.0
1056,345.0,489.75
1057,415.0,575.0
1058,450.0,579.5
1059,410.0,450.0
1060,450.0,585.0
1061,370.0,499.75
1062,425.0,495.0
1063,230.0,435.0
1064,255.0,489.75
1065,190.0,430.0
1066,220.0,569.75
1067,325.0,600.0
1068,465.0,595.0
1069,295.0,569.5
1070,135.0,569.75
1071,265.0,535.0
1072,265.0,579.5
1073,405.0,605.0
1074,355.0,499.75
1075,250.0,419.75
1076,235.0,464.75
1077,460.0,499.75
1078,275.0,594.75
1079,190.0,569.75
1080,235.0,510.0
1081,160.0,585.0
1082,455.0,590.0
1083,230.0,654.75
1084,525.0,515.0
1085,400.0,559.75
1086,175.0,440.0
1087,425.0,625.0
1088,305.0,619.5
1089,475.0,554.75
1090,395.0,585.0
1091,290.0,600.0
1092,440.0,505.0
1093,350.0,510.0
1094,240.0,400.0
1095,430.0,604.75
1096,325.0,469.5
1097,135.0,544.75
1098,235.0,625.0
1099,340.0,375.0
1100,330.0,524.75
1101,190.0,430.0
1102,245.0,475.0
1103,305.0,460.0
1104,200.0,490.0
1105,325.0,589.75
1106,230.0,489.75
1107,450.0,529.75
1108,175.0,265.0
1109,100.0,340.0
1110,230.0,580.0
1111,240.0,545.0
1112,390.0,584.75
1113,280.0,600.0
1114,235.0,425.0
1115,370.0,470.0
1116,345.0,510.0
1117,430.0,520.0
1118,180.0,500.0
1119,220.0,470.0
1120,340.0,420.0
1121,195.0,624.75
1122,395.0,579.75
1123,235.0,584.75
1124,170.0,335.0
1125,180.0,549.75
1126,300.0,560.0
1127,255.0,510.0
1128,290.0,290.0
1129,365.0,460.0
1130,485.0,490.0
1131,555.0,535.0
1132,70.0,635.0
1133,205.0,535.0
1134,335.0,585.0
1135,125.0,535.0
1136,305.0,455.0
1137,160.0,425.0
1138,470.0,460.0
1139,245.0,584.75
1140,70.0,340.0
1141,150.0,445.0
1142,240.0,649.75
1143,400.0,604.75
1144,160.0,614.75
1145,440.0,635.0
1146,285.0,534.5
1147,295.0,470.0
1148,195.0,530.0
1149,495.0,590.0
1150,165.0,484.75
1151,400.0,559.75
1152,365.0,595.0
1153,315.0,569.75
1154,335.0,430.0
1155,160.0,524.5
1156,275.0,479.5
1157,510.0,585.0
1158,215.0,600.0
1159,235.0,585.0
1160,460.0,405.0
1161,270.0,465.0
1162,80.0,570.0
1163,370.0,594.75
1164,435.0,559.75
1165,530.0,514.75
1166,430.0,609.5
1167,300.0,495.0
1168,325.0,584.75
1169,220.0,469.75
1170,255.0,590.0
1171,620.0,570.0
1172,270.0,539.5
1173,425.0,589.75
1174,510.0,590.0
1175,275.0,519.75
1176,490.0,550.0
1177,320.0,365.0
1178,330.0,445.0
1179,325.0,504.75
1180,250.0,484.5
1181,300.0,425.0
1182,300.0,539.75
1183,535.0,560.0
1184,405.0,599.75
1185,385.0,595.0
1186,310.0,559.75
1187,330.0,510.0
1188,295.0,619.75
1189,370.0,564.75
1190,305.0,459.5
1191,465.0,520.0
1192,195.0,559.75
1193,340.0,584.5
1194,200.0,439.75
1195,495.0,545.0
1196,175.0,490.0
1197,460.0,585.0
1198,250.0,515.0
1199,195.0,595.0
1200,320.0,635.0
1201,400.0,534.75
1202,135.0,305.0
1203,175.0,559.5
1204,180.0,559.75
1205,340.0,370.0
1206,480.0,589.75
1207,300.0,465.0
1208,285.0,624.5
1209,380.0,625.0
1210,230.0,590.0
1211,295.0,525.0
1212,170.0,625.0
1213,360.0,589.5
1214,300.0,394.75
1215,175.0,614.75
1216,395.0,534.75
1217,435.0,584.5
1218,595.0,585.0
1219,300.0,625.0
1220,390.0,449.75
1221,455.0,484.75
1222,95.0,540.0
1223,310.0,459.75
1224,135.0,465.0
1225,340.0,639.75
1226,345.0,560.0
1227,105.0,379.75
1228,365.0,559.75
1229,170.0,280.0
1230,390.0,564.75
1231,350.0,649.75
1232,440.0,624.75
1233,540.0,629.75
1234,220.0,625.0
1235,405.0,585.0
1236,530.0,609.75
1237,340.0,480.0
1238,340.0,520.0
1239,175.0,465.0
1240,405.0,504.5
1241,395.0,519.75
1242,235.0,410.0
1243,280.0,415.0
1244,180.0,550.0
1245,215.0,335.0
1246,405.0,619.75
1247,475.0,510.0
1248,180.0,600.0
1249,215.0,514.75
1250,325.0,589.75
1251,330.0,604.75
1252,335.0,474.75
1253,205.0,595.0
1254,435.0,575.0
1255,310.0,610.0
1256,430.0,559.75
1257,375.0,560.0
1258,395.0,555.0
1259,560.0,479.75
1260,230.0,519.75
1261,250.0,520.0
1262,395.0,545.0
1263,275.0,595.0
1264,260.0,570.0
1265,345.0,580.0
1266,395.0,579.5
1267,235.0,395.0
1268,395.0,600.0
1269,480.0,585.0
1270,260.0,524.75
1271,390.0,599.75
1272,305.0,315.0
1273,265.0,539.75
1274,335.0,559.75
1275,315.0,520.0
1276,470.0,554.75
1277,340.0,560.0
1278,270.0,625.0
1279,305.0,645.0
1280,365.0,454.5
1281,65.0,395.0
1282,365.0,615.0
1283,430.0,520.0
1284,230.0,545.0
1285,240.0,434.75
1286,435.0,584.75
1287,485.0,625.0
1288,235.0,419.75
1289,70.0,529.25
1290,105.0,624.5
1291,270.0,485.0
1292,70.0,400.0
1293,0.0,335.0
1294,370.0,559.75
1295,270.0,584.5
1296,130.0,439.75
1297,530.0,550.0
1298,325.0,614.75
1299,240.0,549.5
1300,550.0,634.75
1301,225.0,469.75
1302,215.0,524.75
1303,355.0,495.0
1304,300.0,534.75
1305,300.0,305.0
1306,125.0,538.75
1307,275.0,549.5
1308,230.0,499.75
1309,350.0,465.0
1310,155.0,559.75
1311,100.0,545.0
1312,460.0,490.0
1313,385.0,590.0
1314,315.0,529.75
1315,500.0,569.75
1316,0.0,589.75
1317,430.0,559.75
1318,335.0,559.75
1319,210.0,524.75
1320,410.0,554.75
1321,445.0,590.0
1322,330.0,530.0
1323,525.0,594.75
1324,325.0,535.0
1325,330.0,524.75
1326,440.0,435.0
1327,240.0,544.75
1328,375.0,539.75
1329,240.0,474.5
1330,205.0,494.75
1331,70.0,475.0
1332,330.0,624.75
1333,370.0,554.75
1334,335.0,569.75
1335,360.0,480.0
1336,465.0,624.75
1337,330.0,580.0
1338,340.0,520.0
1339,490.0,585.0
1340,70.0,354.75
1341,445.0,585.0
1342,170.0,614.75
1343,315.0,535.0
1344,215.0,559.75
1345,235.0,494.75
1346,275.0,435.0
1347,165.0,560.0
1348,125.0,665.0
1349,495.0,600.0
1350,475.0,520.0
1351,200.0,489.5
1352,430.0,614.75
1353,315.0,510.0
1354,165.0,400.0
1355,165.0,479.75
1356,360.0,590.0
1357,200.0,570.0
1358,425.0,600.0
