,p1_sum_hp_last,p2_sum_hp_last
184,745.0,520.0
185,410.0,635.0
186,680.0,650.0
187,445.0,725.0
188,65.0,710.0
189,715.0,701.95
190,640.0,701.95
191,435.0,485.0
192,235.0,745.0
193,485.0,498.9
194,425.0,635.0
195,385.0,716.95
196,635.0,623.9
197,455.0,705.0
198,511.0,731.95
199,365.0,751.95
200,305.0,720.0
201,560.0,745.0
202,550.0,730.0
203,390.0,536.0
204,405.0,776.95
205,235.0,450.0
206,630.0,738.9
207,325.0,745.0
208,645.0,504.9
209,360.0,680.85
210,655.0,718.9
211,640.0,746.95
212,390.0,685.0
213,440.0,745.0
214,225.0,481.95
215,710.0,730.0
216,340.0,522.95
217,115.0,466.95
218,605.0,571.95
219,260.0,600.0
220,455.0,735.0
221,585.0,761.95
222,235.0,510.0
223,485.0,520.0
224,585.0,671.0
225,450.0,695.0
226,395.0,666.95
227,235.0,571.95
228,195.0,525.0
229,335.0,638.9
230,495.0,735.0
231,630.0,568.9
232,730.0,580.85
233,415.0,375.0
234,555.0,481.95
235,480.0,710.0
236,700.0,748.9
237,640.0,721.95
238,650.0,715.0
239,585.0,730.0
240,575.0,650.0
241,605.0,635.0
242,560.0,550.75
243,470.0,693.9
244,570.0,650.0
245,375.0,750.0
246,555.0,745.0
247,456.0,690.0
248,320.0,680.0
249,195.0,695.0
250,695.0,711.95
251,535.0,585.0
252,710.0,530.85
253,440.0,716.95
254,695.0,511.95
255,260.0,495.0
256,385.0,386.95
257,570.0,761.95
258,545.0,510.0
259,295.0,640.0
260,605.0,706.95
261,545.0,640.0
262,520.0,720.0
263,420.0,576.95
264,350.0,711.95
265,645.0,471.95
266,580.0,717.95
267,320.0,720.0
268,540.0,736.95
269,75.0,761.95
270,405.0,546.95
271,325.0,731.95
272,540.0,743.9
273,720.0,753.9
274,545.0,740.0
275,640.0,735.0
276,330.0,630.0
277,705.0,645.0
278,230.0,386.95
279,260.0,540.0
280,115.0,470.0
281,220.0,535.0
282,710.0,711.95
283,390.0,635.0
284,565.0,731.95
285,715.0,708.9
286,195.0,485.0
287,310.0,605.0
288,415.0,690.0
289,700.0,731.95
290,435.0,721.95
291,560.0,630.0
292,245.0,690.0
293,285.0,705.0
294,155.0,700.0
295,385.0,650.0
296,645.0,696.95
297,275.0,700.0
298,685.0,756.95
299,645.0,645.0
300,575.0,725.0
301,695.0,743.9
302,235.0,725.0
303,735.0,731.95
304,440.0,545.0
305,400.0,670.0
306,570.0,701.95
307,305.0,666.95
308,690.0,603.0
309,475.0,670.0
310,565.0,751.95
311,635.0,731.95
312,395.0,716.95
313,280.0,718.9
314,195.0,481.95
315,545.0,451.95
316,185.0,546.95
317,440.0,695.0
318,580.0,705.0
319,330.0,711.95
320,285.0,600.0
321,375.0,690.0
322,335.0,480.0
323,650.0,761.95
324,385.0,640.0
325,125.0,450.0
326,220.0,511.95
327,390.0,634.95
328,480.0,715.0
329,300.0,691.95
330,335.0,765.0
331,735.0,711.95
332,515.0,745.0
333,315.0,495.0
334,285.0,456.95
335,340.0,610.0
336,405.0,715.0
337,435.0,731.95
338,445.0,405.0
339,615.0,661.95
340,200.0,480.0
341,640.0,745.0
342,560.0,535.0
343,540.0,671.95
344,410.0,662.95
345,670.0,690.0
346,760.0,551.95
347,190.0,565.0
348,480.0,661.95
349,735.0,721.95
350,635.0,710.0
351,715.0,621.95
352,575.0,731.95
353,530.0,745.0
354,440.0,551.95
355,325.0,515.0
356,495.0,740.0
357,225.0,395.0
358,610.0,746.95
359,705.0,695.0
360,555.0,511.95
361,370.0,735.0
362,710.0,661.95
363,550.0,731.95
364,130.0,360.0
365,695.0,746.95
366,595.0,485.0
367,475.0,505.0
368,575.0,765.0
369,295.0,638.9
370,380.0,770.0
371,295.0,681.95
372,640.0,620.0
373,195.0,460.0
374,375.0,685.0
375,300.0,436.95
376,350.0,695.0
377,510.0,619.75
378,200.0,395.0
379,380.0,380.0
380,420.0,519.9
381,421.0,525.0
382,720.0,751.95
383,535.0,801.95
384,486.0,735.0
385,405.0,710.0
386,746.0,780.85
387,545.0,660.0
388,575.0,715.0
389,555.0,585.0
390,315.0,566.95
391,475.0,486.95
392,640.0,700.0
393,695.0,537.95
394,710.0,630.0
395,546.0,716.95
396,545.0,660.0
397,225.0,600.0
398,675.0,630.0
399,385.0,721.95
400,385.0,536.95
401,475.0,700.0
402,660.0,766.95
403,225.0,665.0
404,160.0,471.95
405,410.0,693.9
406,225.0,636.95
407,445.0,660.0
408,635.0,666.95
409,355.0,740.0
410,55.0,730.0
411,545.0,666.95
412,705.0,482.95
413,575.0,715.0
414,165.0,511.95
415,510.0,646.0
416,540.0,650.0
417,205.0,445.0
418,610.0,591.95
419,580.0,685.0
420,540.0,395.0
421,550.0,730.0
422,695.0,695.0
423,730.0,695.0
424,665.0,695.0
425,570.0,651.0
426,695.0,526.95
427,565.0,396.95
428,385.0,731.95
429,385.0,440.0
430,240.0,535.0
431,480.0,635.0
432,700.0,695.0
433,590.0,551.95
434,725.0,571.0
435,730.0,748.9
436,140.0,700.0
437,140.0,570.0
438,330.0,720.0
439,275.0,666.0
440,725.0,706.95
441,475.0,795.0
442,255.0,756.95
443,535.0,706.95
444,275.0,700.0
445,565.0,731.95
446,350.0,350.0
447,400.0,461.95
448,545.0,705.0
449,605.0,753.9
450,675.0,731.95
451,235.0,540.0
452,640.0,710.0
453,260.0,535.0
454,420.0,695.0
455,75.0,445.0
456,390.0,720.0
457,630.0,700.0
458,730.0,680.85
459,440.0,746.95
460,595.0,766.95
461,605.0,740.0
462,455.0,580.0
463,386.0,661.95
464,635.0,711.95
465,315.0,695.0
466,440.0,691.0
467,650.0,736.95
468,385.0,510.0
469,360.0,666.95
470,380.0,635.0
471,620.0,761.95
472,240.0,655.0
473,570.0,531.95
474,550.0,640.0
475,735.0,623.9
476,315.0,355.0
477,285.0,726.95
478,640.0,620.0
479,570.0,601.95
480,570.0,661.95
481,535.0,540.0
482,220.0,656.9
483,545.0,650.0
484,165.0,728.9
485,420.0,419.95
486,605.0,761.95
487,635.0,571.95
488,250.0,670.0
489,695.0,716.95
490,535.0,706.95
491,196.0,481.95
492,660.0,716.95
493,700.0,671.95
494,325.0,375.0
495,460.0,570.0
496,400.0,506.95
497,695.0,780.0
498,450.0,725.0
499,450.0,645.0
500,395.0,731.95
501,455.0,765.0
502,325.0,475.0
503,485.0,550.0
504,120.0,630.0
505,635.0,546.95
506,575.0,541.95
507,485.0,445.0
508,645.0,635.0
509,385.0,730.0
510,685.0,748.9
511,630.0,595.0
512,215.0,565.0
513,700.0,515.0
514,571.0,713.9
515,555.0,571.95
516,655.0,650.0
517,455.0,745.0
518,295.0,400.0
519,585.0,775.0
520,190.0,626.95
521,535.0,695.0
522,685.0,580.0
523,720.0,730.0
524,90.0,305.0
525,201.0,746.95
526,695.0,566.95
527,590.0,726.95
528,745.0,765.0
529,295.0,691.95
530,595.0,705.0
531,485.0,730.0
532,700.0,743.9
533,285.0,575.0
534,475.0,535.0
535,690.0,646.95
536,345.0,670.0
537,545.0,745.0
538,480.0,745.0
539,155.0,695.0
540,590.0,721.95
541,280.0,536.95
542,410.0,691.0
543,420.0,718.9
544,125.0,545.0
545,490.0,571.95
546,220.0,765.0
547,640.0,536.95
548,680.0,740.0
549,475.0,543.9
550,655.0,701.95
551,475.0,660.0
552,410.0,715.0
553,225.0,675.0
554,725.0,695.0
555,715.0,648.9
556,315.0,494.0
557,740.0,605.0
558,545.0,635.0
559,440.0,685.0
560,510.0,535.0
561,380.0,700.0
562,600.0,541.95
563,730.0,746.95
564,725.0,539.75
565,615.0,781.95
566,685.0,715.0
567,380.0,386.95
568,225.0,390.0
569,650.0,731.95
570,745.0,766.95
571,265.0,511.95
572,525.0,615.0
573,545.0,745.0
574,350.0,407.9
575,420.0,580.0
576,745.0,695.0
577,725.0,746.95
578,565.0,626.95
579,370.0,715.0
580,330.0,445.0
581,295.0,701.95
582,425.0,420.0
583,550.0,745.0
584,710.0,670.0
585,585.0,745.0
586,640.0,666.95
587,695.0,781.95
588,585.0,721.95
589,685.0,666.95
590,715.0,551.95
591,315.0,743.9
592,670.0,700.0
593,385.0,640.0
594,575.0,745.0
595,540.0,641.95
596,635.0,530.85
597,650.0,705.0
598,645.0,526.95
599,505.0,565.0
600,470.0,676.95
601,735.0,705.0
602,390.0,635.0
603,475.0,540.0
604,265.0,400.0
605,470.0,555.0
606,380.0,531.95
607,650.0,731.95
608,340.0,653.9
609,225.0,700.0
610,795.0,746.95
611,150.0,695.0
612,670.0,763.9
613,370.0,641.95
614,580.0,660.0
615,565.0,520.0
616,450.0,435.0
617,330.0,630.0
618,525.0,820.0
619,350.0,365.0
620,745.0,720.0
621,75.0,695.0
622,500.0,538.9
623,315.0,580.0
624,565.0,561.0
625,605.0,745.0
626,695.0,731.95
627,290.0,510.0
628,485.0,400.0
629,335.0,541.95
630,435.0,666.95
631,130.0,600.0
632,380.0,616.95
633,420.0,670.0
634,650.0,641.95
635,765.0,746.95
636,285.0,546.95
637,645.0,705.0
638,455.0,445.0
639,530.0,420.0
640,220.0,495.0
641,605.0,403.9
642,660.0,746.95
643,430.0,471.95
644,260.0,583.9
645,560.0,635.0
646,285.0,570.0
647,125.0,531.95
648,745.0,711.95
649,470.0,640.0
650,505.0,390.0
651,640.0,730.0
652,640.0,581.95
653,245.0,616.95
654,435.0,555.0
655,635.0,541.9
656,740.0,711.95
657,745.0,745.0
658,480.0,770.0
659,576.0,750.0
660,500.0,716.95
661,585.0,601.95
662,60.0,465.0
663,245.0,520.0
664,590.0,746.95
665,725.0,506.95
666,540.0,740.0
667,525.0,715.0
668,580.0,556.95
669,325.0,720.0
670,745.0,661.95
671,215.0,475.0
672,280.0,676.95
673,365.0,410.0
674,540.0,655.0
675,470.0,800.0
676,455.0,735.0
677,165.0,556.95
678,160.0,731.95
679,405.0,521.95
680,240.0,485.0
681,625.0,435.0
682,545.0,620.0
683,225.0,745.0
684,300.0,731.95
685,645.0,645.0
686,290.0,705.0
687,660.0,745.0
688,485.0,535.0
689,450.0,716.95
690,90.0,331.95
691,265.0,385.0
692,75.0,635.0
693,450.0,540.0
694,570.0,726.95
695,690.0,640.0
696,580.0,416.0
697,380.0,486.95
698,695.0,641.95
699,446.0,555.0
700,500.0,701.95
701,635.0,616.95
702,180.0,460.0
703,396.0,580.0
704,520.0,761.95
705,470.0,736.95
706,275.0,620.0
707,325.0,630.0
708,505.0,651.95
709,465.0,440.0
710,165.0,260.0
711,725.0,693.9
712,470.0,673.9
713,600.0,761.95
714,565.0,660.0
715,535.0,700.0
716,200.0,740.0
717,690.0,676.95
718,475.0,710.0
719,700.0,731.95
720,465.0,520.0
721,740.0,725.0
722,605.0,641.95
723,640.0,666.95
724,245.0,676.95
725,345.0,661.95
726,540.0,520.0
727,385.0,695.0
728,380.0,505.0
729,420.0,566.95
730,660.0,711.95
731,535.0,610.0
732,525.0,706.95
733,675.0,573.9
734,410.0,456.95
735,300.0,725.0
736,615.0,466.95
737,275.0,710.0
738,695.0,681.0
739,550.0,753.9
740,400.0,605.0
741,435.0,670.0
742,730.0,746.95
743,290.0,461.95
744,745.0,748.9
745,440.0,465.0
746,700.0,511.95
747,635.0,640.0
748,725.0,748.9
749,355.0,445.0
750,635.0,529.9
751,720.0,666.95
752,565.0,726.95
753,455.0,685.0
754,220.0,706.95
755,565.0,711.95
756,305.0,725.0
757,725.0,735.0
758,631.0,596.95
759,520.0,665.0
760,695.0,711.95
761,140.0,680.0
762,650.0,745.0
763,540.0,758.9
764,540.0,301.95
765,745.0,701.95
766,580.0,671.95
767,750.0,736.95
768,75.0,316.95
769,695.0,583.9
770,640.0,740.0
771,650.0,391.95
772,465.0,745.0
773,490.0,745.0
774,360.0,475.0
775,380.0,491.95
776,695.0,553.9
777,640.0,546.95
778,466.0,753.9
779,570.0,455.0
780,640.0,725.0
781,695.0,676.95
782,630.0,725.0
783,130.0,605.0
784,565.0,751.95
785,415.0,535.85
786,495.0,761.95
787,705.0,561.95
788,580.0,545.0
789,610.0,695.0
790,240.0,491.95
791,700.0,666.95
792,495.0,720.0
793,415.0,661.0
794,745.0,725.0
795,230.0,485.0
796,370.0,695.0
797,730.0,748.9
798,735.0,540.0
799,220.0,716.95
800,210.0,713.9
801,350.0,496.0
802,535.0,775.0
803,445.0,695.0
804,535.0,746.95
805,185.0,465.0
806,380.0,656.95
807,300.0,695.0
808,545.0,735.0
809,340.0,360.0
810,275.0,671.95
811,690.0,725.0
812,640.0,631.0
813,315.0,610.0
814,650.0,640.0
815,730.0,745.0
816,730.0,525.85
817,325.0,725.0
818,415.0,586.95
819,440.0,665.0
820,765.0,701.95
821,515.0,591.95
822,475.0,675.0
823,695.0,520.0
824,725.0,587.8
825,150.0,376.95
826,535.0,730.0
827,560.0,740.0
828,765.0,705.0
829,640.0,490.0
830,550.0,445.0
831,55.0,635.0
832,700.0,711.95
833,485.0,736.95
834,605.0,716.95
835,520.0,698.9
836,130.0,551.95
837,590.0,798.9
838,420.0,420.0
839,505.0,650.0
840,245.0,661.95
841,540.0,726.95
842,580.0,576.0
843,200.0,550.0
844,295.0,660.0
845,730.0,520.0
846,635.0,636.95
847,550.0,735.0
848,415.0,500.0
849,630.0,776.95
850,515.0,786.95
851,685.0,705.0
852,320.0,750.0
853,250.0,576.95
854,390.0,488.9
855,555.0,695.0
856,510.0,575.0
857,650.0,736.95
858,603.0,476.0
859,260.0,565.0
860,635.0,690.0
861,335.0,475.0
862,500.0,400.0
863,435.0,571.95
864,545.0,653.9
865,410.0,700.0
866,440.0,745.0
867,260.0,721.95
868,570.0,751.95
869,200.0,520.0
870,230.0,684.9
871,645.0,541.95
872,260.0,660.0
873,485.0,815.0
874,680.0,705.0
875,265.0,690.0
876,465.0,750.0
877,630.0,568.9
878,355.0,485.0
879,630.0,701.95
880,231.0,546.95
881,385.0,681.95
882,545.0,750.0
883,710.0,601.95
884,610.0,360.0
885,150.0,390.0
886,485.0,555.0
887,480.0,755.0
888,320.0,816.95
889,765.0,530.0
890,660.0,695.0
891,515.0,705.0
892,180.0,700.0
893,655.0,711.95
894,605.0,350.0
895,675.0,565.85
896,635.0,695.0
897,540.0,705.0
898,715.0,723.9
899,725.0,726.95
900,395.0,640.0
901,365.0,731.95
902,765.0,756.95
903,400.0,540.0
904,490.0,536.0
905,545.0,460.0
906,170.0,476.95
907,150.0,445.0
908,195.0,670.0
909,360.0,735.0
910,490.0,725.0
911,475.0,455.0
912,270.0,740.0
913,395.0,746.95
914,605.0,731.95
915,660.0,705.0
916,635.0,711.95
917,210.0,455.0
918,490.0,602.95
919,605.0,503.9
920,640.0,605.0
921,555.0,590.0
922,640.0,696.95
923,345.0,725.0
924,600.0,376.95
925,565.0,650.0
926,330.0,555.85
927,390.0,600.0
928,590.0,556.95
929,650.0,751.95
930,760.0,690.0
931,561.0,565.0
932,325.0,591.95
933,340.0,460.0
934,540.0,701.95
935,315.0,695.0
936,685.0,667.8
937,745.0,766.95
938,605.0,660.0
939,295.0,480.0
940,645.0,723.9
941,440.0,720.0
942,700.0,580.0
943,580.0,731.95
944,635.0,676.95
945,495.0,635.0
946,405.0,570.0
947,515.0,710.0
948,540.0,641.95
949,500.0,455.0
950,540.0,753.9
951,650.0,731.95
952,340.0,425.0
953,280.0,325.0
954,575.0,662.95
955,505.0,695.0
956,395.0,395.0
957,575.0,551.95
958,475.0,780.0
959,430.0,650.0
960,495.0,730.0
961,600.0,336.0
962,640.0,495.0
963,330.0,650.0
964,325.0,700.0
965,265.0,385.0
966,165.0,731.95
967,490.0,540.0
968,720.0,545.0
969,555.0,530.0
970,745.0,778.9
971,420.0,766.95
972,485.0,731.95
973,450.0,740.0
974,695.0,745.0
975,480.0,700.0
976,600.0,715.0
977,510.0,566.95
978,220.0,551.95
979,430.0,700.0
980,635.0,726.95
981,695.0,731.95
982,600.0,753.9
983,700.0,700.0
984,705.0,758.9
985,670.0,721.95
986,250.0,436.95
987,675.0,700.0
988,430.0,721.95
989,195.0,630.0
990,695.0,665.0
991,730.0,815.0
992,650.0,765.0
993,220.0,656.95
994,500.0,781.95
995,485.0,700.0
996,80.0,290.0
997,725.0,726.95
998,135.0,391.95
999,450.0,666.95
1000,485.0,700.0
1001,660.0,536.95
1002,225.0,450.0
1003,295.0,701.95
1004,325.0,285.0
1005,485.0,543.0
1006,576.0,745.0
1007,495.0,536.95
1008,450.0,636.95
1009,670.0,630.0
1010,650.0,691.95
1011,601.0,495.0
1012,431.0,636.95
1013,725.0,678.9
1014,190.0,620.0
1015,480.0,456.95
1016,550.0,553.0
1017,500.0,725.0
1018,675.0,716.95
1019,480.0,443.9
1020,540.0,606.95
1021,635.0,461.95
1022,725.0,621.95
1023,645.0,485.0
1024,320.0,490.0
1025,195.0,470.0
1026,480.0,695.0
1027,225.0,700.0
1028,495.0,710.0
1029,220.0,735.0
1030,95.0,726.95
1031,330.0,716.95
1032,540.0,765.0
1033,440.0,745.0
1034,540.0,705.0
1035,350.0,746.95
1036,505.0,711.95
1037,240.0,421.95
1038,730.0,731.95
1039,170.0,531.95
1040,495.0,537.95
1041,600.0,595.0
1042,765.0,786.95
1043,325.0,435.0
1044,700.0,748.9
1045,200.0,575.0
1046,230.0,460.0
1047,475.0,765.0
1048,670.0,515.0
1049,155.0,670.0
1050,745.0,540.0
1051,230.0,640.0
1052,225.0,460.0
1053,390.0,625.0
1054,365.0,731.95
1055,565.0,635.0
1056,745.0,761.95
1057,450.0,560.0
1058,475.0,698.9
1059,440.0,400.0
1060,630.0,735.0
1061,500.0,616.95
1062,290.0,610.0
1063,460.0,610.0
1064,595.0,761.95
1065,420.0,620.0
1066,535.0,691.95
1067,650.0,695.0
1068,640.0,695.0
1069,640.0,593.9
1070,700.0,722.95
1071,480.0,380.0
1072,530.0,698.9
1073,301.0,446.0
1074,495.0,616.95
1075,260.0,626.95
1076,565.0,472.95
1077,640.0,616.95
1078,585.0,726.95
1079,775.0,756.95
1080,360.0,745.0
1081,315.0,735.0
1082,465.0,770.0
1083,420.0,436.95
1084,570.0,670.0
1085,545.0,731.95
1086,480.0,585.0
1087,530.0,725.0
1088,725.0,743.9
1089,695.0,736.95
1090,730.0,665.0
1091,295.0,695.0
1092,545.0,570.0
1093,640.0,745.0
1094,410.0,500.0
1095,630.0,746.95
1096,450.0,403.9
1097,55.0,344.95
1098,440.0,500.0
1099,635.0,465.0
1100,480.0,651.95
1101,625.0,575.0
1102,500.0,600.0
1103,320.0,640.0
1104,390.0,555.0
1105,385.0,536.95
1106,475.0,431.95
1107,730.0,631.95
1108,325.0,418.0
1109,80.0,335.0
1110,246.0,520.0
1111,715.0,675.0
1112,590.0,666.95
1113,630.0,695.0
1114,370.0,530.0
1115,605.0,670.0
1116,620.0,745.0
1117,525.0,750.0
1118,265.0,550.0
1119,430.0,455.0
1120,545.0,645.0
1121,625.0,636.95
1122,705.0,731.95
1123,385.0,541.95
1124,460.0,335.0
1125,650.0,731.95
1126,415.0,565.0
1127,455.0,745.0
1128,370.0,375.0
1129,475.0,645.0
1130,480.0,495.0
1131,570.0,660.0
1132,75.0,615.0
1133,260.0,535.0
1134,600.0,735.0
1135,565.0,655.0
1136,440.0,425.0
1137,365.0,625.0
1138,400.0,420.0
1139,495.0,721.95
1140,75.0,430.0
1141,170.0,580.0
1142,470.0,741.95
1143,530.0,746.95
1144,425.0,731.95
1145,745.0,510.0
1146,580.0,753.9
1147,640.0,605.0
1148,255.0,605.0
1149,695.0,730.0
1150,355.0,656.95
1151,765.0,731.95
1152,460.0,765.0
1153,390.0,511.95
1154,435.0,645.0
1155,600.0,468.9
1156,445.0,493.9
1157,745.0,650.0
1158,240.0,695.0
1159,455.0,535.0
1160,685.0,495.0
1161,445.0,640.0
1162,640.0,441.0
1163,705.0,681.95
1164,660.0,731.95
1165,695.0,736.95
1166,540.0,623.9
1167,350.0,445.0
1168,535.0,691.95
1169,280.0,467.95
1170,635.0,770.0
1171,725.0,665.0
1172,710.0,708.9
1173,685.0,731.95
1174,730.0,770.0
1175,465.0,446.95
1176,725.0,690.0
1177,585.0,355.0
1178,540.0,585.0
1179,550.0,731.95
1180,470.0,688.9
1181,260.0,455.0
1182,275.0,586.95
1183,535.0,705.0
1184,640.0,721.95
1185,420.0,700.0
1186,360.0,731.95
1187,535.0,745.0
1188,375.0,716.95
1189,705.0,696.95
1190,645.0,653.9
1191,675.0,725.0
1192,165.0,701.95
1193,695.0,748.9
1194,670.0,661.95
1195,510.0,446.0
1196,430.0,515.0
1197,640.0,735.0
1198,505.0,570.0
1199,230.0,445.0
1200,490.0,510.0
1201,545.0,761.95
1202,140.0,430.0
1203,325.0,548.9
1204,235.0,731.95
1205,335.0,415.0
1206,580.0,536.95
1207,525.0,400.0
1208,340.0,658.9
1209,405.0,725.0
1210,505.0,730.0
1211,320.0,655.0
1212,540.0,545.0
1213,700.0,473.9
1214,515.0,511.95
1215,380.0,661.95
1216,710.0,716.95
1217,715.0,748.9
1218,700.0,685.0
1219,580.0,725.0
1220,270.0,486.95
1221,420.0,566.95
1222,65.0,550.0
1223,475.0,386.95
1224,235.0,460.0
1225,545.0,436.95
1226,555.0,650.0
1227,415.0,406.95
1228,580.0,731.95
1229,570.0,580.0
1230,710.0,696.95
1231,695.0,741.95
1232,745.0,626.95
1233,700.0,541.95
1234,460.0,505.0
1235,525.0,735.0
1236,400.0,441.95
1237,365.0,430.0
1238,600.0,695.0
1239,580.0,640.0
1240,495.0,758.9
1241,730.0,686.95
1242,190.0,475.0
1243,375.0,650.0
1244,400.0,710.0
1245,370.0,355.0
1246,600.0,781.95
1247,440.0,745.0
1248,300.0,695.0
1249,545.0,591.95
1250,480.0,686.95
1251,435.0,706.95
1252,360.0,521.95
1253,565.0,421.0
1254,610.0,645.0
1255,380.0,545.0
1256,700.0,731.95
1257,630.0,736.0
1258,550.0,775.0
1259,705.0,741.95
1260,415.0,446.95
1261,505.0,740.0
1262,485.0,740.0
1263,490.0,700.0
1264,625.0,675.0
1265,630.0,680.0
1266,730.0,698.9
1267,440.0,355.0
1268,745.0,695.0
1269,645.0,735.0
1270,330.0,651.95
1271,490.0,691.95
1272,385.0,495.0
1273,475.0,541.95
1274,530.0,731.95
1275,650.0,475.0
1276,460.0,736.95
1277,705.0,705.0
1278,450.0,725.0
1279,630.0,785.0
1280,640.0,723.9
1281,685.0,655.0
1282,685.0,605.0
1283,635.0,695.0
1284,260.0,740.0
1285,380.0,701.95
1286,635.0,721.95
1287,570.0,625.0
1288,435.0,641.95
1289,130.0,595.85
1290,415.0,658.9
1291,290.0,385.0
1292,75.0,255.0
1293,250.0,375.0
1294,550.0,731.95
1295,650.0,783.9
1296,165.0,616.95
1297,540.0,620.0
1298,475.0,566.95
1299,710.0,608.9
1300,603.0,441.95
1301,230.0,601.95
1302,315.0,461.95
1303,210.0,715.0
1304,350.0,761.95
1305,415.0,435.0
1306,725.0,619.75
1307,545.0,753.9
1308,420.0,496.95
1309,245.0,610.0
1310,140.0,731.95
1311,115.0,740.0
1312,620.0,555.0
1313,650.0,700.0
1314,650.0,701.95
1315,715.0,711.95
1316,75.0,731.95
1317,695.0,731.95
1318,541.0,731.95
1319,295.0,676.95
1320,680.0,736.95
1321,520.0,730.0
1322,480.0,620.0
1323,700.0,726.95
1324,230.0,545.0
1325,585.0,621.95
1326,440.0,610.0
1327,400.0,591.95
1328,635.0,586.95
1329,565.0,368.9
1330,235.0,571.95
1331,385.0,600.0
1332,510.0,711.95
1333,605.0,681.95
1334,640.0,787.95
1335,440.0,715.0
1336,730.0,711.95
1337,630.0,465.0
1338,740.0,715.0
1339,360.0,665.0
1340,170.0,326.95
1341,585.0,800.0
1342,135.0,746.95
1343,650.0,530.0
1344,600.0,731.95
1345,190.0,471.95
1346,385.0,635.0
1347,450.0,695.0
1348,90.0,595.0
1349,635.0,695.0
1350,645.0,725.0
1351,580.0,653.9
1352,635.0,786.95
1353,650.0,715.0
1354,205.0,350.0
1355,295.0,511.95
1356,640.0,650.0
1357,525.0,725.0
1358,605.0,695.0
